,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2017-12-27,1299,0.24,6074,0.356,1070761,0.39,0.31,1973650400,1909449900,331736,324568,2277747900,367067,2
1,2017-12-28,1233,0.224,5645,0.327,969574,0.351,0.228,1655660700,-317989700,221304,-110432,3933408600,588371,2
2,2017-12-29,1170,0.209,5519,0.309,931532,0.327,0.329,2560147830,904487130,306562,85258,6493556430,894933,2
3,2017-12-30,1079,0.187,5122,0.275,830642,0.28,0.586,4075364307,1515216477,487098,180536,10568920737,1382031,2
4,2017-12-31,1082,0.187,5089,0.272,819068,0.275,0.684,4685083300,609718993,560046,72948,15254004037,1942077,2
5,2018-01-01,1097,0.194,4982,0.278,793990,0.278,0.669,4460462100,-224621200,531469,-28577,19714466137,2473546,2
6,2018-01-02,1063,0.199,5044,0.292,802143,0.291,0.271,1643436600,-2817025500,217247,-314222,21357902737,2690793,2
7,2018-01-03,964,0.181,4231,0.243,693569,0.249,0.252,1329337000,-314099600,174979,-42268,22687239737,2865772,2
8,2018-01-04,986,0.176,4260,0.243,704405,0.251,0.232,1240939300,-88397700,163429,-11550,23928179037,3029201,2
9,2018-01-05,1012,0.181,4456,0.25,748365,0.263,0.27,1708090697,467151397,202189,38760,25636269734,3231390,2
10,2018-01-06,1094,0.188,4812,0.262,821796,0.28,0.531,3672225298,1964134601,436755,234566,29308495032,3668145,2
11,2018-01-07,1067,0.186,4738,0.262,810005,0.28,0.52,3539227900,-132997398,421153,-15602,32847722932,4089298,2
12,2018-01-08,1012,0.193,4545,0.264,781718,0.283,0.23,1368413800,-2170814100,179970,-241183,34216136732,4269268,1
13,2018-01-09,1052,0.196,4598,0.268,788434,0.286,0.223,1333191300,-35222500,175793,-4177,35549328032,4445061,1
14,2018-01-10,1080,0.2,4666,0.274,801840,0.294,0.208,1264934200,-68257100,166737,-9056,36814262232,4611798,1
