,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2019-01-23,1553,0.254,8463,0.458,1557839,0.533,0.237,3004762990,2967223090,368582,365372,3227938890,392773,1
1,2019-01-24,1658,0.262,8797,0.477,1604151,0.551,0.207,2710335900,-294427090,331924,-36658,5938274790,724697,1
2,2019-01-25,1741,0.276,9467,0.504,1705003,0.576,0.227,3480111958,769776058,386371,54447,9418386748,1111068,1
3,2019-01-26,1910,0.289,10462,0.527,1839896,0.592,0.541,8915603012,5435491054,995406,609035,18333989760,2106474,1
4,2019-01-27,1978,0.304,10631,0.547,1861175,0.611,0.555,9194797790,279194778,1033089,37683,27528787550,3139563,1
5,2019-01-28,1766,0.299,9914,0.547,1763596,0.614,0.225,3252003460,-5942794330,397188,-635901,30780791010,3536751,1
6,2019-01-29,1827,0.3,10033,0.546,1778334,0.614,0.201,2903928330,-348075130,358186,-39002,33684719340,3894937,1
7,2019-01-30,1574,0.303,7882,0.414,1363036,0.457,0.414,3517853520,613925190,564825,206639,37202572860,4459762,1
8,2019-01-31,1548,0.282,7878,0.404,1395387,0.459,0.251,2831862480,-685991040,350685,-214140,40034435340,4810447,1
9,2019-02-01,1701,0.314,8829,0.444,1552434,0.5,0.298,4127228578,1295366098,462875,112190,44161663918,5273322,1
10,2019-02-02,1890,0.331,10140,0.484,1778285,0.545,0.541,8539444625,4412216047,962555,499680,52701108543,6235877,1
11,2019-02-03,1949,0.338,10419,0.497,1823040,0.558,0.581,9458521400,919076775,1058680,96125,62159629943,7294557,1
12,2019-02-04,2003,0.358,10906,0.524,1921486,0.591,0.508,8847871110,-610650290,975927,-82753,71007501053,8270484,1
13,2019-02-05,1844,0.329,10199,0.496,1826728,0.569,0.619,10402919640,1555048530,1130176,154249,81410420693,9400660,1
14,2019-02-06,1835,0.301,9924,0.485,1785861,0.56,0.634,10088847220,-314072420,1131697,1521,91499267913,10532357,1
15,2019-02-07,1558,0.268,8509,0.44,1544309,0.51,0.298,3705773310,-6383073910,460448,-671249,95205041223,10992805,1
16,2019-02-08,1595,0.274,8784,0.45,1584881,0.519,0.259,3614329334,-91443976,409794,-50654,98819370557,11402599,1
17,2019-02-09,1703,0.283,9526,0.471,1701505,0.539,0.456,6788968315,3174638981,776215,366421,105608338872,12178814,1
18,2019-02-10,1707,0.289,9392,0.475,1679970,0.543,0.393,5742771100,-1046197215,660049,-116166,111351109972,12838863,1
19,2019-02-11,1571,0.294,8681,0.47,1565772,0.538,0.137,1713728960,-4029042140,214339,-445710,113064838932,13053202,1
20,2019-02-12,1571,0.28,8617,0.464,1555260,0.533,0.127,1558951830,-154777130,198064,-16275,114623790762,13251266,1
21,2019-02-13,1193,0.229,6439,0.344,1162765,0.397,0.148,1357402220,-201549610,172086,-25978,115981192982,13423352,1
22,2019-02-14,1027,0.169,5217,0.271,976845,0.326,0.172,1321606500,-35795720,167585,-4501,117302799482,13590937,1
23,2019-02-15,1059,0.172,5451,0.281,1016598,0.335,0.188,1639898261,318291761,191503,23918,118942697743,13782440,1
24,2019-02-16,1158,0.175,6016,0.299,1131610,0.361,0.358,3470459023,1830560762,405476,213973,122413156766,14187916,1
25,2019-02-17,1166,0.175,5916,0.3,1110549,0.361,0.314,2982662800,-487796223,348325,-57151,125395819566,14536241,1
26,2019-02-18,1071,0.176,5461,0.295,1014850,0.349,0.113,904081680,-2078581120,114307,-234018,126299901246,14650548,1
27,2019-02-19,1073,0.171,5431,0.293,1005452,0.345,0.114,902272650,-1809030,114270,-37,127202173896,14764818,2
28,2019-02-20,836,0.136,3673,0.197,581889,0.2,0.158,720005250,-182267400,91845,-22425,127922179146,14856663,2
29,2019-02-21,807,0.126,3546,0.192,561899,0.195,0.147,649660250,-70345000,82354,-9491,128571839396,14939017,2
30,2019-02-22,858,0.131,3644,0.194,570027,0.194,0.164,804511810,154851560,93652,11298,129376351206,15032669,2
31,2019-02-23,890,0.13,3795,0.194,593449,0.195,0.335,1722151350,917639540,199025,105373,131098502556,15231694,2
32,2019-02-24,905,0.132,3751,0.195,581052,0.195,0.319,1603161120,-118990230,185583,-13442,132701663676,15417277,2
33,2019-02-25,827,0.132,3580,0.197,548509,0.193,0.119,515400560,-1087760560,65055,-120528,133217064236,15482332,3
34,2019-02-26,840,0.131,3577,0.196,544643,0.192,0.112,479163430,-36237130,61140,-3915,133696227666,15543472,3
35,2019-02-27,646,0.097,2524,0.132,395560,0.133,0.225,542183650,63020220,89179,28039,134238411316,15632651,4
36,2019-02-28,638,0.096,2548,0.131,397723,0.131,0.168,522682860,-19500790,66832,-22347,134761094176,15699483,4
37,2019-03-01,669,0.091,2532,0.124,390588,0.123,0.345,1190333970,667651110,134879,68047,135951428146,15834362,4
38,2019-03-02,728,0.098,2580,0.127,394701,0.125,0.285,1005346390,-184987580,112618,-22261,136956774536,15946980,4
39,2019-03-03,698,0.097,2522,0.129,386035,0.126,0.215,739691620,-265654770,82814,-29804,137696466156,16029794,4
40,2019-03-04,613,0.103,2418,0.14,364890,0.133,0.074,218563760,-521127860,26877,-55937,137915029916,16056671,4
41,2019-03-05,620,0.105,2405,0.142,362483,0.135,0.071,206317910,-12245850,25684,-1193,138121347826,16082355,3
42,2019-03-06,460,0.091,902,0.05,105831,0.037,0.116,97516410,-108801500,12235,-13449,138218864236,16094590,5
43,2019-03-07,491,0.094,884,0.049,103196,0.037,0.116,95973520,-1542890,12010,-225,138314837756,16106600,5
44,2019-03-08,489,0.092,950,0.052,110819,0.039,0.126,124334750,28361230,13978,1968,138439172506,16120578,5
45,2019-03-09,523,0.09,974,0.05,114059,0.038,0.251,258820490,134485740,28632,14654,138697992996,16149210,5
46,2019-03-10,507,0.088,962,0.051,111899,0.038,0.262,265625830,6805340,29335,703,138963618826,16178545,5
47,2019-03-11,530,0.106,1071,0.063,128586,0.048,0.085,87818580,-177807250,10946,-18389,139051437406,16189491,3
48,2019-03-12,531,0.103,1073,0.063,129292,0.048,0.091,90720730,2902150,11755,809,139142158136,16201246,3
49,2019-03-13,510,0.092,959,0.056,117714,0.044,0.078,72160670,-18560060,9226,-2529,139214318806,16210472,4
50,2019-03-14,305,0.054,480,0.027,56144,0.02,0.096,39260770,-32899900,5386,-3840,139253579576,16215858,6
51,2019-03-15,317,0.056,523,0.029,60932,0.021,0.089,46177190,6916420,5416,30,139299756766,16221274,6
52,2019-03-16,348,0.052,568,0.029,69134,0.023,0.163,99931090,53753900,11243,5827,139399687856,16232517,6
53,2019-03-17,347,0.053,567,0.03,68302,0.023,0.157,94837820,-5093270,10714,-529,139494525676,16243231,6
54,2019-03-18,339,0.063,597,0.035,74293,0.028,0.061,34344980,-60492840,4531,-6183,139528870656,16247762,5
55,2019-03-19,340,0.062,579,0.035,70431,0.027,0.068,37019810,2674830,4813,282,139565890466,16252575,5
56,2019-03-20,83,0.016,103,0.006,12364,0.005,0.097,8570460,-28449350,1205,-3608,139574460926,16253780,11
57,2019-03-21,78,0.015,94,0.005,10410,0.004,0.12,7770350,-800110,1248,43,139582231276,16255028,12
58,2019-03-22,72,0.014,93,0.005,10698,0.004,0.087,6939280,-831070,932,-316,139589170556,16255960,11
59,2019-03-23,60,0.01,74,0.004,8024,0.003,0.146,9558760,2619480,1170,238,139598729316,16257130,14
60,2019-03-24,58,0.01,73,0.004,8202,0.003,0.121,7738650,-1820110,989,-181,139606467966,16258119,13
61,2019-03-25,69,0.014,87,0.005,10431,0.004,0.059,4205080,-3533570,620,-369,139610673046,16258739,17
62,2019-03-26,67,0.013,85,0.005,10000,0.004,0.058,3911450,-293630,575,-45,139614584496,16259314,18
