,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2016-07-20,1571,0.33,8831,0.537,1668254,0.613,0.523,6562420000,6550218000,872673,871022,11477315100,1437959,1
1,2016-07-21,1613,0.335,9092,0.547,1710278,0.622,0.388,5006286500,-1556133500,663365,-209308,16483601600,2101324,1
2,2016-07-22,1667,0.338,9501,0.555,1779554,0.631,0.415,6263817426,1257530926,738823,75458,22747419026,2840147,1
3,2016-07-23,1788,0.349,10300,0.577,1917786,0.653,0.668,10904532450,4640715024,1282013,543190,33651951476,4122160,1
4,2016-07-24,1775,0.353,10057,0.577,1867827,0.652,0.64,10187889700,-716642750,1195273,-86740,43839841176,5317433,1
5,2016-07-25,1622,0.338,9288,0.554,1744626,0.63,0.286,3800105300,-6387784400,499070,-696203,47639946476,5816503,1
6,2016-07-26,1641,0.332,9216,0.551,1726677,0.626,0.243,3180574500,-619530800,419947,-79123,50820520976,6236450,1
7,2016-07-27,1025,0.221,5542,0.321,993069,0.348,0.426,2677372100,-503202400,422625,2678,53497893076,6659075,2
8,2016-07-28,1018,0.215,5563,0.318,1000444,0.346,0.299,2269970500,-407401600,299267,-123358,55767863576,6958342,2
9,2016-07-29,1021,0.215,5580,0.312,1000431,0.338,0.338,2875572996,605602496,337649,38382,58643436572,7295991,2
10,2016-07-30,1001,0.201,5401,0.293,953817,0.314,0.608,4934742867,2059169871,579808,242159,63578179439,7875799,2
11,2016-07-31,976,0.201,5263,0.29,925684,0.308,0.58,4575932900,-358809967,537035,-42773,68154112339,8412834,2
12,2016-08-01,933,0.204,5063,0.286,855463,0.293,0.406,2638300120,-1937632780,347408,-189627,70792412459,8760242,2
13,2016-08-02,925,0.196,5035,0.284,851904,0.291,0.356,2290624200,-347675920,303302,-44106,73083036659,9063544,2
14,2016-08-03,586,0.117,2322,0.13,352395,0.12,0.546,1447094000,-843530200,192508,-110794,74530130659,9256052,4
15,2016-08-04,587,0.111,2227,0.124,335375,0.114,0.489,1232820500,-214273500,163943,-28565,75762951159,9419995,4
16,2016-08-05,594,0.111,2261,0.124,337627,0.113,0.508,1445738859,212918359,171553,7610,77208690018,9591548,4
17,2016-08-06,614,0.112,2269,0.122,333875,0.109,0.689,1931736150,485997291,230186,58633,79140426168,9821734,5
18,2016-08-07,636,0.117,2305,0.126,340877,0.114,0.649,1863929100,-67807050,221087,-9099,81004355268,10042821,5
19,2016-08-08,590,0.12,2281,0.13,339524,0.118,0.391,994224980,-869704120,132709,-88378,81998580248,10175530,3
20,2016-08-09,593,0.118,2300,0.131,340358,0.118,0.353,894476760,-99748220,120124,-12585,82893057008,10295654,3
21,2016-08-10,479,0.091,1397,0.081,184910,0.065,0.408,564702600,-329774160,75390,-44734,83457759608,10371044,4
22,2016-08-11,492,0.09,1444,0.083,193564,0.068,0.387,561692100,-3010500,74831,-559,84019451708,10445875,5
23,2016-08-12,523,0.094,1498,0.085,200968,0.069,0.405,685987100,124295000,81460,6629,84705438808,10527335,4
24,2016-08-13,562,0.093,1488,0.082,200346,0.067,0.625,1050308700,364321600,125119,43659,85755747508,10652454,5
25,2016-08-14,558,0.092,1495,0.083,202495,0.068,0.691,1185062600,134753900,139865,14746,86940810108,10792319,5
26,2016-08-15,538,0.093,1482,0.084,199885,0.069,0.63,1051740400,-133322200,125893,-13972,87992550508,10918212,5
27,2016-08-16,473,0.089,1432,0.085,196129,0.071,0.266,391477600,-660262800,52165,-73728,88384028108,10970377,5
28,2016-08-17,413,0.073,1001,0.06,130686,0.048,0.285,279908000,-111569600,37250,-14915,88663936108,11007627,6
29,2016-08-18,421,0.072,1008,0.06,130940,0.047,0.27,266070200,-13837800,35379,-1871,88930006308,11043006,6
30,2016-08-19,417,0.071,1018,0.059,132316,0.047,0.299,334712700,68642500,39545,4166,89264719008,11082551,5
31,2016-08-20,452,0.074,1072,0.061,140092,0.048,0.52,616473200,281760500,72894,33349,89881192208,11155445,6
32,2016-08-21,459,0.076,1063,0.062,138481,0.049,0.492,577667120,-38806080,68138,-4756,90458859328,11223583,6
33,2016-08-22,407,0.074,1069,0.066,139469,0.052,0.211,222847300,-354819820,29471,-38667,90681706628,11253054,5
34,2016-08-23,412,0.074,1053,0.065,137675,0.052,0.191,196650400,-26196900,26248,-3223,90878357028,11279302,5
35,2016-08-24,409,0.075,1050,0.064,137680,0.051,0.173,178842400,-17808000,23819,-2429,91057199428,11303121,6
36,2016-08-25,347,0.058,732,0.044,98005,0.036,0.18,131905900,-46936500,17647,-6172,91189105328,11320768,7
37,2016-08-26,373,0.061,780,0.046,106088,0.038,0.196,175224600,43318700,20767,3120,91364329928,11341535,6
38,2016-08-27,397,0.06,848,0.047,116492,0.04,0.357,354813520,179588920,41626,20859,91719143448,11383161,7
39,2016-08-28,393,0.06,810,0.047,110901,0.039,0.365,345111400,-9702120,40508,-1118,92064254848,11423669,7
40,2016-08-29,371,0.065,787,0.049,101446,0.038,0.142,108695500,-236415900,14435,-26073,92172950348,11438104,6
41,2016-08-30,377,0.064,780,0.049,101104,0.038,0.13,97936200,-10759300,13194,-1241,92270886548,11451298,6
42,2016-08-31,302,0.05,617,0.037,77432,0.028,0.188,90930600,-7005600,14523,1329,92361817148,11465821,8
43,2016-09-01,300,0.051,614,0.038,77310,0.029,0.116,66471200,-24459400,8965,-5558,92428288348,11474786,6
44,2016-09-02,304,0.051,621,0.037,78438,0.028,0.135,88720100,22248900,10601,1636,92517008448,11485387,7
45,2016-09-03,324,0.051,684,0.038,84497,0.029,0.276,199183100,110463000,23318,12717,92716191548,11508705,8
46,2016-09-04,328,0.053,685,0.039,85809,0.03,0.27,197978500,-1204600,23161,-157,92914170048,11531866,7
47,2016-09-05,329,0.059,688,0.045,86671,0.033,0.095,61200500,-136778000,8215,-14946,92975370548,11540081,7
48,2016-09-06,332,0.058,664,0.044,83215,0.033,0.084,51694200,-9506300,6997,-1218,93027064748,11547078,6
49,2016-09-07,78,0.016,106,0.007,12399,0.005,0.076,7064500,-44629700,938,-6059,93034129248,11548016,15
50,2016-09-08,80,0.016,113,0.008,13297,0.005,0.083,8223400,1158900,1100,162,93042352648,11549116,13
51,2016-09-09,82,0.016,112,0.007,12914,0.005,0.151,15585600,7362200,1951,851,93057938248,11551067,10
52,2016-09-10,73,0.013,103,0.006,11968,0.004,0.201,20449400,4863800,2401,450,93078387648,11553468,13
53,2016-09-11,74,0.013,98,0.006,11687,0.004,0.195,19719400,-730000,2281,-120,93098107048,11555749,13
54,2016-09-12,71,0.014,100,0.007,11599,0.005,0.094,7725400,-11994000,1094,-1187,93105832448,11556843,13
55,2016-09-13,62,0.011,81,0.005,9558,0.004,0.108,7677300,-48100,1029,-65,93113509748,11557872,17
