,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2004-02-05,74,0.347,397,0.376,98307,0.476,0.644,387287000,196403000,63289,32402,660478500,107386,1
1,2004-02-06,83,0.377,435,0.404,104880,0.501,0.771,491122000,103835000,80911,17622,1151600500,188297,1
2,2004-02-07,103,0.427,515,0.463,117486,0.548,0.936,694094000,202972000,109972,29061,1845694500,298269,1
3,2004-02-08,104,0.439,504,0.468,114919,0.554,0.956,690235500,-3858500,109834,-138,2535930000,408103,1
4,2004-02-09,88,0.396,440,0.432,106580,0.537,0.663,440303000,-249932500,70696,-39138,2976233000,478799,1
5,2004-02-10,91,0.399,464,0.437,111890,0.54,0.615,429956500,-10346500,68761,-1935,3406189500,547560,1
6,2004-02-11,95,0.399,463,0.426,111951,0.528,0.612,428453000,-1503500,68527,-234,3834642500,616087,1
7,2004-02-12,101,0.443,500,0.47,120010,0.578,0.561,418236500,-10216500,67379,-1148,4252879000,683466,1
8,2004-02-13,107,0.457,548,0.482,129705,0.59,0.615,487159500,68923000,79778,12399,4740038500,763244,1
9,2004-02-14,115,0.466,591,0.505,136057,0.604,0.905,780725500,293566000,123064,43286,5520764000,886308,1
10,2004-02-15,115,0.481,562,0.501,129998,0.602,0.915,751255000,-29470500,118914,-4150,6272019000,1005222,1
11,2004-02-16,102,0.464,500,0.478,119877,0.587,0.47,350639500,-400615500,56349,-62565,6622658500,1061571,1
12,2004-02-17,99,0.465,486,0.478,118673,0.593,0.45,333850500,-16789000,53399,-2950,6956509000,1114970,1
13,2004-02-18,99,0.458,488,0.469,119656,0.586,0.42,315565500,-18285000,50312,-3087,7272074500,1165282,1
14,2004-02-19,74,0.381,399,0.37,98275,0.462,0.474,289618500,-25947000,46558,-3754,7561693000,1211840,1
15,2004-02-20,74,0.372,411,0.358,102193,0.455,0.538,337378000,47759500,54951,8393,7899071000,1266791,1
16,2004-02-21,82,0.387,434,0.372,106093,0.467,0.837,564614500,227236500,88815,33864,8463685500,1355606,1
17,2004-02-22,77,0.374,414,0.367,102585,0.467,0.869,564785500,171000,89099,284,9028471000,1444705,1
18,2004-02-23,70,0.357,373,0.345,95913,0.452,0.445,267317000,-297468500,42719,-46380,9295788000,1487424,1
19,2004-02-24,71,0.355,377,0.346,96537,0.453,0.405,244075500,-23241500,39068,-3651,9539863500,1526492,1
