,연도,한국,한국,한국,한국,한국,외국,외국,외국,외국,외국,전체,전체,전체,전체
,Unnamed: 0_level_1,개봉편수,상영편수,매출액,관객수,점유율,개봉편수,상영편수,매출액,관객수,점유율,개봉편수,상영편수,매출액,관객수
0,2004-01-01 00:00:00,0,4,478781500,74454,0.654,1,3,248223500,39383,0.346,1,7,727005000,113837
1,2004-01-02 00:00:00,0,4,404739500,65382,0.627,0,3,237537000,38975,0.373,0,7,642276500,104357
2,2004-01-03 00:00:00,0,4,502095000,78316,0.625,0,3,294424500,46918,0.375,0,7,796519500,125234
3,2004-01-04 00:00:00,0,4,488389000,76323,0.635,0,3,274882000,43880,0.365,0,7,763271000,120203
4,2004-01-05 00:00:00,0,4,278030000,43420,0.677,0,3,131239500,20760,0.323,0,7,409269500,64180
5,2004-01-06 00:00:00,0,4,276711000,43329,0.686,0,3,124982000,19820,0.314,0,7,401693000,63149
6,2004-01-07 00:00:00,0,4,265123000,41509,0.687,0,3,119766500,18945,0.313,0,7,384889500,60454
7,2004-01-08 00:00:00,0,3,236467500,37429,0.574,0,4,172008000,27751,0.426,0,7,408475500,65180
8,2004-01-09 00:00:00,0,3,278072500,45356,0.551,1,4,227577000,37011,0.449,1,7,505649500,82367
9,2004-01-10 00:00:00,0,3,428365500,66515,0.533,0,4,370617500,58273,0.467,0,7,798983000,124788
10,2004-01-11 00:00:00,0,4,429859500,66931,0.539,0,4,362358000,57227,0.461,0,8,792217500,124158
11,2004-01-12 00:00:00,0,4,227888500,35737,0.582,0,4,162906500,25655,0.418,0,8,390795000,61392
12,2004-01-13 00:00:00,0,3,216007000,33766,0.557,0,4,171030500,26902,0.443,0,7,387037500,60668
13,2004-01-14 00:00:00,0,5,242203500,37824,0.608,0,4,154547500,24411,0.392,0,9,396751000,62235
14,2004-01-15 00:00:00,0,6,370574500,59199,0.781,0,12,104690500,16630,0.219,0,18,475265000,75829
15,2004-01-16 00:00:00,3,5,561182500,92402,0.807,2,5,135999000,22166,0.193,5,10,697181500,114568
16,2004-01-17 00:00:00,0,4,750986000,118160,0.771,0,6,221039500,35098,0.229,0,10,972025500,153258
17,2004-01-18 00:00:00,0,4,720799500,113821,0.769,0,5,214014000,34130,0.231,0,9,934813500,147951
18,2004-01-19 00:00:00,0,4,402352000,63820,0.762,0,6,123573500,19935,0.238,0,10,525925500,83755
19,2004-01-20 00:00:00,0,4,463877500,73351,0.744,0,6,157239500,25198,0.256,0,10,621117000,98549
20,2004-01-21 00:00:00,0,4,537424000,83659,0.717,0,6,210918500,33094,0.283,0,10,748342500,116753
21,2004-01-22 00:00:00,0,4,608165000,93689,0.724,1,6,230906000,35723,0.276,1,10,839071000,129412
22,2004-01-23 00:00:00,0,4,726227500,115854,0.723,0,6,275974000,44459,0.277,0,10,1002201500,160313
23,2004-01-24 00:00:00,0,4,728967500,114382,0.713,0,6,289740000,45966,0.287,0,10,1018707500,160348
24,2004-01-25 00:00:00,0,4,632385000,99342,0.7,0,6,267600500,42531,0.3,0,10,899985500,141873
25,2004-01-26 00:00:00,0,5,305744000,48232,0.692,0,6,135029000,21430,0.308,0,11,440773000,69662
26,2004-01-27 00:00:00,0,4,285426500,45179,0.67,0,7,139286000,22253,0.33,0,11,424712500,67432
27,2004-01-28 00:00:00,0,6,267511500,42159,0.658,0,6,137341500,21947,0.342,0,12,404853000,64106
28,2004-01-29 00:00:00,0,6,270983000,43426,0.71,0,9,108360000,17704,0.29,0,15,379343000,61130
29,2004-01-30 00:00:00,2,6,331179000,55042,0.722,3,8,127812500,21162,0.278,5,14,458991500,76204
30,2004-01-31 00:00:00,0,6,562249500,88030,0.717,0,7,219284500,34692,0.283,0,13,781534000,122722
31,합계,5,133,13278767500,2096038,0.681,8,162,6150908500,980029,0.319,13,295,19429676000,3076067
32,2004-02-01 00:00:00,0,6,561188500,88114,0.723,0,8,213859500,33763,0.277,0,14,775048000,121877
33,2004-02-02 00:00:00,0,6,240780000,37989,0.688,0,8,108083500,17232,0.312,0,14,348863500,55221
34,2004-02-03 00:00:00,0,7,309016000,49239,0.783,0,8,84543500,13680,0.217,0,15,393559500,62919
35,2004-02-04 00:00:00,0,6,345700500,55339,0.839,0,9,66793000,10602,0.161,0,15,412493500,65941
36,2004-02-05 00:00:00,1,6,517358500,83914,0.906,0,7,53860500,8670,0.094,1,13,571219000,92584
37,2004-02-06 00:00:00,0,6,644098500,105722,0.909,1,8,65009000,10575,0.091,1,14,709107500,116297
38,2004-02-07 00:00:00,0,6,939844000,148204,0.893,0,8,113471500,17679,0.107,0,14,1053315500,165883
39,2004-02-08 00:00:00,0,6,943277000,149495,0.896,0,8,110544000,17351,0.104,0,14,1053821000,166846
40,2004-02-09 00:00:00,0,7,542068000,86810,0.934,0,8,39237500,6158,0.066,0,15,581305500,92968
41,2004-02-10 00:00:00,0,7,522583000,83435,0.925,0,8,43150500,6751,0.075,0,15,565733500,90186
42,2004-02-11 00:00:00,0,7,518538000,82816,0.924,0,8,43336500,6796,0.076,0,15,561874500,89612
43,2004-02-12 00:00:00,0,9,493129000,79292,0.918,0,14,44150500,7097,0.082,0,23,537279500,86389
44,2004-02-13 00:00:00,2,6,567961000,92800,0.886,7,9,73257000,11984,0.114,9,15,641218000,104784
45,2004-02-14 00:00:00,0,7,930055000,146141,0.887,0,8,120381000,18606,0.113,0,15,1050436000,164747
46,2004-02-15 00:00:00,0,6,898244500,141875,0.892,0,7,110450000,17139,0.108,0,13,1008694500,159014
47,2004-02-16 00:00:00,0,6,409876500,65753,0.877,0,8,58946000,9210,0.123,0,14,468822500,74963
48,2004-02-17 00:00:00,0,4,397132500,63481,0.866,0,8,62634500,9840,0.134,0,12,459767000,73321
49,2004-02-18 00:00:00,0,6,381204500,60787,0.852,0,9,67482500,10587,0.148,0,15,448687000,71374
50,2004-02-19 00:00:00,0,7,454570000,73508,0.887,0,8,58391500,9321,0.113,0,15,512961500,82829
51,2004-02-20 00:00:00,3,6,594338000,97422,0.888,5,8,76503000,12298,0.112,8,14,670841000,109720
52,2004-02-21 00:00:00,0,6,918881500,145066,0.894,0,6,112760500,17136,0.106,0,12,1031642000,162202
53,2004-02-22 00:00:00,0,6,932311500,147224,0.898,0,7,109623000,16726,0.102,0,13,1041934500,163950
54,2004-02-23 00:00:00,0,6,463803000,74273,0.887,0,6,60713000,9464,0.113,0,12,524516000,83737
55,2004-02-24 00:00:00,0,6,438162500,70293,0.874,0,6,65502500,10161,0.126,0,12,503665000,80454
56,2004-02-25 00:00:00,0,6,432951000,69467,0.874,0,6,64330500,10007,0.126,0,12,497281500,79474
57,2004-02-26 00:00:00,0,6,427072500,69255,0.857,0,10,72676000,11546,0.143,0,16,499748500,80801
58,2004-02-27 00:00:00,0,5,492932500,81630,0.848,9,12,90402000,14629,0.152,9,17,583334500,96259
59,2004-02-28 00:00:00,0,4,824234500,129776,0.875,0,12,120838500,18474,0.125,0,16,945073000,148250
60,2004-02-29 00:00:00,0,4,956057000,150808,0.883,0,12,130378000,19975,0.117,0,16,1086435000,170783
61,합계,6,176,17097369000,2729928,0.877,22,244,2441309000,383457,0.123,28,420,19538678000,3113385
62,2004-03-01 00:00:00,0,4,821178000,129670,0.871,0,12,125755500,19275,0.129,0,16,946933500,148945
63,2004-03-02 00:00:00,0,5,226896000,35614,0.83,0,12,47600500,7270,0.17,0,17,274496500,42884
64,2004-03-03 00:00:00,0,5,203832000,32001,0.816,0,12,47227500,7221,0.184,0,17,251059500,39222
65,2004-03-04 00:00:00,0,5,214226500,34385,0.802,0,17,53950500,8480,0.198,0,22,268177000,42865
66,2004-03-05 00:00:00,1,5,278818000,45169,0.774,3,11,82545000,13168,0.226,4,16,361363000,58337
67,2004-03-06 00:00:00,0,5,593813000,91475,0.811,0,10,140480000,21343,0.189,0,15,734293000,112818
68,2004-03-07 00:00:00,0,5,640760500,99771,0.825,0,10,137921000,21176,0.175,0,15,778681500,120947
69,2004-03-08 00:00:00,0,6,177416500,27901,0.772,0,10,53360500,8256,0.228,0,16,230777000,36157
70,2004-03-09 00:00:00,0,6,170508000,26760,0.743,0,10,60014500,9237,0.257,0,16,230522500,35997
71,2004-03-10 00:00:00,0,5,171938000,26959,0.733,0,10,63946000,9818,0.267,0,15,235884000,36777
72,2004-03-11 00:00:00,0,7,207129000,33210,0.813,0,11,49701500,7644,0.187,0,18,256830500,40854
73,2004-03-12 00:00:00,2,7,277440500,45629,0.824,2,8,60967500,9742,0.176,4,15,338408000,55371
74,2004-03-13 00:00:00,0,7,612969000,94273,0.858,0,10,104940500,15627,0.142,0,17,717909500,109900
75,2004-03-14 00:00:00,0,7,719718000,111559,0.869,0,11,112706500,16802,0.131,0,18,832424500,128361
76,2004-03-15 00:00:00,0,7,187915500,29473,0.839,0,10,37236500,5660,0.161,0,17,225152000,35133
77,2004-03-16 00:00:00,0,7,183106500,28864,0.826,0,10,39933000,6063,0.174,0,17,223039500,34927
78,2004-03-17 00:00:00,0,7,183728000,28901,0.823,0,10,40687000,6201,0.177,0,17,224415000,35102
79,2004-03-18 00:00:00,0,8,169556000,27159,0.754,0,8,56356500,8842,0.246,0,16,225912500,36001
80,2004-03-19 00:00:00,2,9,215612000,35287,0.716,4,8,86801500,14018,0.284,6,17,302413500,49305
81,2004-03-20 00:00:00,0,9,501531000,77629,0.764,0,10,159667500,23982,0.236,0,19,661198500,101611
82,2004-03-21 00:00:00,0,9,512791000,79624,0.792,0,10,139103500,20956,0.208,0,19,651894500,100580
83,2004-03-22 00:00:00,0,9,146724000,23167,0.748,0,11,50748500,7798,0.252,0,20,197472500,30965
84,2004-03-23 00:00:00,0,9,130573000,20763,0.747,0,9,45718000,7038,0.253,0,18,176291000,27801
