,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2014-08-06,786,0.199,3970,0.264,631729,0.257,0.433,2021392600,2020380600,273445,273192,2246871100,308780,2
1,2014-08-07,795,0.19,3932,0.26,624911,0.253,0.408,1890503200,-130889400,254862,-18583,4137374300,563642,2
2,2014-08-08,789,0.19,3947,0.258,621277,0.25,0.479,2325093108,434589908,297432,42570,6462467408,861074,2
3,2014-08-09,826,0.195,4028,0.257,629613,0.246,0.761,3769567017,1444473909,479385,181953,10232034425,1340459,2
4,2014-08-10,838,0.201,4027,0.262,625487,0.249,0.754,3704976600,-64590417,471916,-7469,13937011025,1812375,2
5,2014-08-11,792,0.199,3993,0.27,619440,0.257,0.419,1920733800,-1784242800,259470,-212446,15857744825,2071845,2
6,2014-08-12,827,0.201,4034,0.272,625931,0.259,0.412,1900986100,-19747700,258062,-1408,17758730925,2329907,2
7,2014-08-13,744,0.187,3630,0.238,593965,0.239,0.382,1674554300,-226431800,227125,-30937,19433285225,2557032,2
8,2014-08-14,790,0.191,3796,0.244,617041,0.243,0.456,2077121600,402567300,281635,54510,21510406825,2838667,2
9,2014-08-15,868,0.203,4257,0.263,706625,0.269,0.73,4034789493,1957667893,515794,234159,25545196318,3354461,2
10,2014-08-16,910,0.209,4395,0.272,736952,0.281,0.669,3894189488,-140600005,493044,-22750,29439385806,3847505,2
11,2014-08-17,898,0.208,4248,0.271,718577,0.282,0.623,3529044500,-365144988,447676,-45368,32968430306,4295181,2
12,2014-08-18,781,0.201,3884,0.264,667948,0.279,0.294,1461778100,-2067266400,196322,-251354,34430208406,4491503,2
13,2014-08-19,794,0.197,3873,0.263,664772,0.278,0.274,1346813500,-114964600,182412,-13910,35777021906,4673915,2
14,2014-08-20,667,0.157,3197,0.214,591977,0.244,0.256,1127789700,-219023800,151696,-30716,36904811606,4825611,2
15,2014-08-21,653,0.142,3137,0.211,588160,0.243,0.262,1143887400,16097700,153979,2283,38048699006,4979590,2
16,2014-08-22,703,0.149,3297,0.217,613934,0.249,0.298,1434204600,290317200,182668,28689,39482903606,5162258,1
17,2014-08-23,814,0.16,3740,0.238,693947,0.273,0.566,3111247700,1677043100,392908,210240,42594151306,5555166,1
18,2014-08-24,818,0.162,3667,0.239,685036,0.276,0.551,2975394900,-135852800,377150,-15758,45569546206,5932316,1
19,2014-08-25,701,0.158,3239,0.229,607736,0.263,0.21,953480600,-2021914300,127926,-249224,46523026806,6060242,1
20,2014-08-26,724,0.157,3277,0.23,613426,0.264,0.203,912103900,-41376700,124320,-3606,47435130706,6184562,1
