,Title,Release,Genre,Age,Nation,Type,Director,Main_actor
0,명량,2014-07-30,"사극,액션",15세이상관람가,한국,"필름,2D,4D",김한민,"최민식(이순신 ),류승룡(구루지마 ),조진웅(와키자카 )"
1,극한직업,2019-01-23,코미디,15세이상관람가,한국,2D,이병헌,"류승룡(고반장),이하늬(장형사),진선규(마형사),이동휘(영호),공명(재훈)"
2,신과함께-죄와 벌,2017-12-20,"판타지,드라마",12세이상관람가,한국,"2D,4D",김용화,"하정우(강림),차태현(자홍),주지훈(해원맥),김향기(덕춘),마동석(성주신)"
3,국제시장,2014-12-17,드라마,12세이상관람가,한국,"필름,2D",윤제균,"황정민(덕수),김윤진(영자),오달수(달구),정진영(덕수부)"
4,어벤져스: 엔드게임,2019-04-24,"액션,SF",12세이상관람가,미국,"2D,3D,4D,IMAX","안소니 루소,조 루소","로버트 다우니 주니어,크리스 에반스,마크 러팔로,크리스 헴스워스,스칼렛 요한슨,제레미 레너,돈 치들,폴 러드,브리 라슨,카렌 길런,브래들리 쿠퍼,조슈 브롤린"
5,겨울왕국 2,2019-11-21,애니메이션,전체관람가,미국,"2D,3D,4D,IMAX","크리스 벅,제니퍼 리","크리스틴 벨,이디나 멘젤,조시 게드,조나단 그로프"
6,베테랑,2015-08-05,"액션,드라마",15세이상관람가,한국,"필름,2D",류승완,"황정민(서도철),유아인(조태오),유해진(최 상무),오달수(오 팀장)"
7,아바타,2009-12-17,"SF,액션,어드벤처",12세이상관람가,미국,"필름,2D,3D,4D,IMAX",제임스 카메론,"샘 워싱턴,조 샐다나,시고니 위버"
8,도둑들,2012-07-25,"액션,범죄",15세이상관람가,"한국,홍콩","필름,2D",최동훈,"김윤석(마카오박),김혜수(팹시),이정재(뽀빠이),전지현(예니콜),임달화(첸),김해숙(씹던껌),오달수(앤드류),김수현(잠파노),이심결(줄리),증국상(조니)"
9,7번방의 선물,2013-01-23,"코미디,드라마",15세이상관람가,한국,"필름,2D",이환경,"류승룡(용구),박신혜(큰 예승),갈소원(어린 예승),오달수(방장),박원상(춘호),김정태(만범),정만식(봉식),김기천(서노인)"
10,알라딘,2019-05-23,"어드벤처,가족,판타지",전체관람가,미국,"2D,3D,4D,IMAX,DOLBYCINEMA",가이 리치,"메나 마수드,윌 스미스,나오미 스콧"
11,암살,2015-07-22,"액션,드라마",15세이상관람가,한국,"필름,2D,4D",최동훈,"전지현(안옥윤),이정재(염석진),하정우(하와이 피스톨)"
12,범죄도시2,2022-05-18,"범죄,액션",15세이상관람가,한국,"2D,IMAX",이상용,"마동석(마석도),손석구(강해상),최귀화(전일만)"
13,"광해, 왕이 된 남자",2012-09-13,"사극,드라마",15세이상관람가,한국,"필름,2D",추창민,"이병헌(광해/하선),류승룡(허균),한효주(중전),장광(조내관),김인권(도부장),심은경(사월이),김명곤(박충수)"
14,신과함께-인과 연,2018-08-01,"판타지,드라마",12세이상관람가,한국,"2D,4D,IMAX",김용화,"하정우,주지훈,김향기(덕춘),마동석,김동욱"
15,택시운전사,2017-08-02,드라마,15세이상관람가,한국,"필름,2D",장훈,"송강호(김만섭),토마스 크레취만(위르겐 힌츠페터(피터)),류준열(구재식)"
16,부산행,2016-07-20,"액션,스릴러",15세이상관람가,한국,"2D,4D",연상호,"공유,정유미(성경),마동석,김수안(수안)"
17,변호인,2013-12-18,드라마,15세이상관람가,한국,"필름,2D",양우석,"송강호(송우석),김영애(최순애),오달수(박동호),곽도원(차동영),임시완(진우)"
18,해운대,2009-07-22,"액션,드라마,어드벤처",12세이상관람가,한국,"필름,2D,4D",윤제균,"설경구(최만식),하지원(강연희),박중훈(김휘),엄정화(이유진)"
19,어벤져스: 인피니티 워,2018-04-25,"액션,어드벤처,판타지,SF",12세이상관람가,미국,"2D,3D,4D,IMAX","안소니 루소,조 루소","로버트 다우니 주니어,조슈 브롤린,마크 러팔로,톰 히들스턴,크리스 에반스,크리스 헴스워스,제레미 레너,스칼렛 요한슨,엘리자베스 올슨,안소니 마키,폴 러드,기네스 팰트로우,폴 베타니,돈 치들,베네딕트 컴버배치,톰 홀랜드,크리스 프랫,조 샐다나,카렌 길런,브래들리 쿠퍼,빈 디젤,데이브 바티스타,세바스찬 스탠,채드윅 보스만,코비 스멀더스,베니치오 델 토로,피터 딘클리지,사무엘 L. 잭슨,다네이 거라이라,베네딕트 웡"
20,괴물,2006-07-27,"SF,가족,드라마",12세관람가,한국,"필름,2D",봉준호,"송강호(강두),변희봉(희봉),박해일(남일),배두나(남주),고아성(현서)"
21,아바타: 물의 길,2022-12-14,"액션,어드벤처,SF,스릴러",12세이상관람가,미국,"2D,3D,4D,IMAX,ScreenX,DOLBYCINEMA",제임스 카메론,"조 샐다나,샘 워싱턴,시고니 위버,스티븐 랭,케이트 윈슬렛"
22,왕의 남자,2005-12-29,드라마,15세이상관람가,한국,"필름,2D",이준익,"감우성(광대, 장생),이준기,유해진( 육갑),정진영(연산)"
23,어벤져스: 에이지 오브 울트론,2015-04-23,"액션,어드벤처,판타지,SF",12세이상관람가,미국,"필름,2D,3D,4D,IMAX",조스 웨던,"로버트 다우니 주니어,크리스 헴스워스,마크 러팔로,크리스 에반스,스칼렛 요한슨,제레미 레너,돈 치들,애론 테일러 존슨,엘리자베스 올슨,폴 베타니,코비 스멀더스,제임스 스페이더,사무엘 L. 잭슨,수현(닥터 조)"
24,인터스텔라,2014-11-06,SF,12세이상관람가,"미국,영국","필름,2D,4D,IMAX",크리스토퍼 놀란,"매튜 매커너히,앤 해서웨이,마이클 케인,제시카 차스테인,케이시 애플렉"
25,기생충,2019-05-30,드라마,15세이상관람가,한국,"2D,IMAX,흑백판",봉준호,"송강호(기택),이선균(동익),조여정(연교),최우식(기우),박소담(기정),이정은(문광),장혜진(충숙),박명훈(근세)"
26,겨울왕국,2014-01-16,"애니메이션,어드벤처,가족,코미디,뮤지컬,판타지",전체관람가,미국,"필름,2D,3D,4D","크리스 벅,제니퍼 리","이디나 멘젤(엘사 목소리 ),크리스틴 벨(안나 목소리 ),조나단 그로프(크리스토프 목소리 ),조시 게드(올라프 목소리 )"
27,보헤미안 랩소디,2018-10-31,드라마,12세이상관람가,미국,"2D,IMAX,ScreenX",브라이언 싱어,"라미 말렉,조셉 마젤로,마이크 마이어스,루시 보인턴"
28,검사외전,2016-02-03,"범죄,코미디",15세이상관람가,한국,2D,이일형,"황정민(변재욱),강동원(한치원)"
29,엑시트,2019-07-31,"코미디,액션",12세이상관람가,한국,"2D,4D,IMAX",이상근,"조정석(용남),임윤아(의주),설도희(보습학원 헬기부기장),최재영(다리 밑 드론시민),고두심(현옥),김환영(구름정원알바생2),변건우,황지현(편의점 앞 도망자),황효은(둘째누나)"
30,설국열차,2013-08-01,"SF,액션",15세이상관람가,"한국,체코","필름,2D",봉준호,"크리스 에반스,송강호,에드 해리스,존 허트,틸다 스윈튼,제이미 벨,옥타비아 스펜서,이완 브렘너,고아성,알리슨 필"
31,관상,2013-09-11,"사극,드라마",15세이상관람가,한국,"필름,2D",한재림,"송강호(내경),이정재(수양대군),백윤식(김종서),조정석(팽헌),이종석(내경 아들),김혜수(연홍)"
32,아이언맨 3,2013-04-25,"액션,어드벤처,SF",12세이상관람가,미국,"필름,2D,3D,4D,IMAX",쉐인 블랙,"로버트 다우니 주니어(토니 스타크),기네스 팰트로우(페퍼 포츠),벤 킹슬리(만다린),가이 피어스(올드리치 킬리언 ),레베카 홀(마야 헨슨),폴 베타니(쟈비스),존 파브로(해피 호건)"
33,캡틴 아메리카: 시빌 워,2016-04-27,"액션,SF,스릴러",12세이상관람가,미국,"2D,3D,4D,IMAX","안소니 루소,조 루소","크리스 에반스,로버트 다우니 주니어,스칼렛 요한슨,세바스찬 스탠,안소니 마키,돈 치들,제레미 레너"
34,해적: 바다로 간 산적,2014-08-06,어드벤처,12세이상관람가,한국,"필름,2D,4D",이석훈,"김남길,손예진,신정근"
35,수상한 그녀,2014-01-22,드라마,15세이상관람가,한국,"필름,2D,4D",황동혁,"심은경(오두리),나문희(오말순),박인환(박씨),성동일(현철),이진욱(승우)"
36,백두산,2019-12-19,"어드벤처,드라마",12세이상관람가,한국,"2D,4D","이해준,김병서","이병헌(리준평),하정우(조인창),마동석(강봉래),전혜진(전유경),배수지(최지영)"
37,과속스캔들,2008-12-03,코미디,12세이상관람가,한국,"필름,2D",강형철,"차태현(남현수),박보영(황정남),왕석현(황기동)"
38,탑건: 매버릭,2022-06-22,액션,12세이상관람가,미국,"2D,4D,IMAX,ScreenX,DOLBYCINEMA",조셉 코신스키,"톰 크루즈,마일즈 텔러,제니퍼 코넬리"
39,국가대표,2009-07-29,"드라마,액션,코미디",12세이상관람가,한국,"필름,2D",김용화,"하정우(밥/차헌태),성동일(방 코치 ),김지석(강칠구),김동욱(최흥철),최재환,이재응(강봉구),이은성(방 코치의 딸, 방수연 ),심영(약사1)"
40,스파이더맨: 파 프롬 홈,2019-07-02,"액션,어드벤처,코미디,SF",12세이상관람가,미국,"2D,3D,4D,IMAX,ScreenX,DOLBYCINEMA",존 왓츠,"톰 홀랜드,사무엘 L. 잭슨,젠데이아 콜먼,코비 스멀더스,존 파브로,마리사 토메이,제이크 질렌할,제이콥 배덜런"
41,디워,2007-08-01,"액션,판타지",12세이상관람가,한국,"필름,2D",심형래,"브룩스 아만다,베어 제이슨"
42,공조,2017-01-18,액션,15세이상관람가,한국,"2D,4D",김성훈,"현빈,유해진(강진태),김주혁,장영남,이해영(표반장),임윤아,이동휘"
