Title,Release,Genre,Age,Nation,Type,Director,Main_actor,Audi
명량,2014-07-30,"사극,액션",15세이상관람가,한국,"필름,2D,4D",김한민,"최민식,류승룡,조진웅",17615919
극한직업,2019-01-23,코미디,15세이상관람가,한국,2D,이병헌,"류승룡,이하늬,진선규,이동휘,공명",16266338
신과함께-죄와 벌,2017-12-20,"판타지,드라마",12세이상관람가,한국,"2D,4D",김용화,"하정우,차태현,주지훈,김향기,마동석",14414658
국제시장,2014-12-17,드라마,12세이상관람가,한국,"필름,2D",윤제균,"황정민,김윤진,오달수,정진영",14264478
어벤져스: 엔드게임,2019-04-24,"액션,SF",12세이상관람가,미국,"2D,3D,4D,IMAX","안소니 루소,조 루소","로버트 다우니 주니어,크리스 에반스,마크 러팔로,크리스 헴스워스,스칼렛 요한슨,제레미 레너,돈 치들,폴 러드,브리 라슨,카렌 길런,브래들리 쿠퍼,조슈 브롤린",13977602
겨울왕국 2,2019-11-21,애니메이션,전체관람가,미국,"2D,3D,4D,IMAX","크리스 벅,제니퍼 리","크리스틴 벨,이디나 멘젤,조시 게드,조나단 그로프",13750668
베테랑,2015-08-05,"액션,드라마",15세이상관람가,한국,"필름,2D",류승완,"황정민,유아인,유해진,오달수",13414484
아바타,2009-12-17,"SF,액션,어드벤처",12세이상관람가,미국,"필름,2D,3D,4D,IMAX",제임스 카메론,"샘 워싱턴,조 샐다나,시고니 위버",13338863
도둑들,2012-07-25,"액션,범죄",15세이상관람가,"한국,홍콩","필름,2D",최동훈,"김윤석,김혜수,이정재,전지현,임달화,김해숙,오달수,김수현,이심결,증국상",12984701
7번방의 선물,2013-01-23,"코미디,드라마",15세이상관람가,한국,"필름,2D",이환경,"류승룡,박신혜,갈소원,오달수,박원상,김정태,정만식,김기천",12812144
알라딘,2019-05-23,"어드벤처,가족,판타지",전체관람가,미국,"2D,3D,4D,IMAX,DOLBYCINEMA",가이 리치,"메나 마수드,윌 스미스,나오미 스콧",12797927
암살,2015-07-22,"액션,드라마",15세이상관람가,한국,"필름,2D,4D",최동훈,"전지현,이정재,하정우",12706947
범죄도시2,2022-05-18,"범죄,액션",15세이상관람가,한국,"2D,IMAX",이상용,"마동석,손석구,최귀화",12693415
"광해, 왕이 된 남자",2012-09-13,"사극,드라마",15세이상관람가,한국,"필름,2D",추창민,"이병헌,류승룡,한효주,장광,김인권,심은경,김명곤",12324062
신과함께-인과 연,2018-08-01,"판타지,드라마",12세이상관람가,한국,"2D,4D,IMAX",김용화,"하정우,주지훈,김향기,마동석,김동욱",12278010
