,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2013-01-23,605,0.16,2874,0.224,602838,0.271,0.253,1066485000,999641000 ( 1495.5% ),152808,142082 ( 1324.7% ),1238120000,177508,1
1,2013-01-24,623,0.162,2989,0.229,635671,0.28,0.334,1473455500,406970500 ( 38.2% ),212148,59340 ( 38.8% ),2711575500,389656,1
2,2013-01-25,646,0.164,3137,0.234,665355,0.285,0.411,2007309089,533853589 ( 36.2% ),273136,60988 ( 28.7% ),4718884589,662792,1
3,2013-01-26,752,0.178,3452,0.245,719508,0.296,0.738,3941053113,1933744024 ( 96.3% ),530869,257733 ( 94.4% ),8659937702,1193661,1
4,2013-01-27,787,0.187,3490,0.255,725848,0.307,0.753,4039741500,98688387 ( 2.5% ),546386,15517 ( 2.9% ),12699679202,1740047,1
5,2013-01-28,688,0.179,3316,0.259,704970,0.316,0.448,2190322000,-1849419500 ( -45.8% ),315957,-230429 ( -42.2% ),14890001202,2056004,1
6,2013-01-29,769,0.174,3205,0.249,654237,0.292,0.431,1922162500,-268159500 ( -12.2% ),281677,-34280 ( -10.8% ),16812163702,2337681,1
7,2013-01-30,702,0.19,3431,0.266,632622,0.28,0.406,1752048500,-170114000 ( -8.9% ),256879,-24798 ( -8.8% ),18564212202,2594560,2
8,2013-01-31,717,0.196,3530,0.272,638964,0.283,0.37,1614583000,-137465500 ( -7.8% ),236575,-20304 ( -7.9% ),20178795202,2831135,2
9,2013-02-01,757,0.208,3705,0.282,676398,0.296,0.412,2024934607,410351607 ( 25.4% ),278894,42319 ( 17.9% ),22203729809,3110029,2
10,2013-02-02,850,0.221,4133,0.296,749690,0.311,0.758,4166216670,2141282063 ( 105.7% ),568213,289319 ( 103.7% ),26369946479,3678242,2
11,2013-02-03,866,0.226,4052,0.3,735350,0.315,0.699,3749271500,-416945170 ( -10.0% ),513655,-54558 ( -9.6% ),30119217979,4191897,2
12,2013-02-04,753,0.217,3653,0.295,680409,0.315,0.294,1389444500,-2359827000 ( -62.9% ),199853,-313802 ( -61.1% ),31508662479,4391750,2
13,2013-02-05,761,0.216,3666,0.295,682244,0.314,0.285,1324984000,-64460500 ( -4.6% ),194250,-5603 ( -2.8% ),32833646479,4586000,2
14,2013-02-06,651,0.208,3288,0.25,618364,0.271,0.3,1272644500,-52339500 ( -4.0% ),185267,-8983 ( -4.6% ),34106290979,4771267,2
15,2013-02-07,665,0.195,3197,0.239,611195,0.264,0.33,1382711000,110066500 ( 8.6% ),201847,16580 ( 8.9% ),35489001979,4973114,1
16,2013-02-08,697,0.205,3490,0.249,668559,0.277,0.45,2203143628,820432628 ( 59.3% ),300967,99120 ( 49.1% ),37692145607,5274081,1
17,2013-02-09,785,0.212,3894,0.263,755961,0.297,0.614,3459384563,1256240935 ( 57.0% ),463820,162853 ( 54.1% ),41151530170,5737901,1
18,2013-02-10,802,0.218,3919,0.268,765639,0.304,0.71,4165625000,706240437 ( 20.4% ),543481,79661 ( 17.2% ),45317155170,6281382,1
19,2013-02-11,827,0.217,3912,0.268,763273,0.304,0.824,4636640000,471015000 ( 11.3% ),629055,85574 ( 15.7% ),49953795170,6910437,1
20,2013-02-12,722,0.208,3602,0.262,705415,0.298,0.56,2704160500,-1932479500 ( -41.7% ),395025,-234030 ( -37.2% ),52657955670,7305462,1
21,2013-02-13,724,0.212,3553,0.266,699334,0.304,0.317,1507778000,-1196382500 ( -44.2% ),221426,-173599 ( -43.9% ),54165733670,7526888,1
22,2013-02-14,623,0.179,2991,0.22,625061,0.266,0.337,1441482000,-66296000 ( -4.4% ),210937,-10489 ( -4.7% ),55607215670,7737825,1
23,2013-02-15,637,0.184,3112,0.223,651961,0.271,0.355,1671107000,229625000 ( 15.9% ),231401,20464 ( 9.7% ),57278322670,7969226,1
24,2013-02-16,714,0.191,3512,0.241,737731,0.296,0.629,3396949000,1725842000 ( 103.3% ),464044,232643 ( 100.5% ),60675271670,8433270,1
25,2013-02-17,721,0.193,3404,0.245,712865,0.3,0.609,3165083500,-231865500 ( -6.8% ),434274,-29770 ( -6.4% ),63840355170,8867544,1
26,2013-02-18,662,0.193,3199,0.239,675292,0.294,0.258,1175540500,-1989543000 ( -62.9% ),174459,-259815 ( -59.8% ),65015895670,9042003,1
27,2013-02-19,680,0.194,3218,0.241,675754,0.295,0.263,1193256500,17716000 ( 1.5% ),177998,3539 ( 2.0% ),66209152170,9220001,1
28,2013-02-20,675,0.193,3200,0.24,673727,0.295,0.245,1108143000,-85113500 ( -7.1% ),165208,-12790 ( -7.2% ),67317295170,9385209,1
29,2013-02-21,539,0.146,2568,0.196,516087,0.23,0.283,973416500,-134726500 ( -12.2% ),145870,-19338 ( -11.7% ),68290711670,9531079,2
30,2013-02-22,559,0.15,2698,0.2,537857,0.233,0.298,1140740000,167323500 ( 17.2% ),160340,14470 ( 9.9% ),69431451670,9691419,2
31,2013-02-23,667,0.166,3063,0.218,611881,0.256,0.548,2457293500,1316553500 ( 115.4% ),335608,175268 ( 109.3% ),71888745170,10027027,2
32,2013-02-24,657,0.165,3008,0.22,601060,0.258,0.599,2617655500,160362000 ( 6.5% ),360002,24394 ( 7.3% ),74506400670,10387029,1
33,2013-02-25,575,0.156,2671,0.209,543865,0.248,0.259,942400500,-1675255000 ( -64.0% ),140991,-219011 ( -60.8% ),75448801170,10528020,2
34,2013-02-26,579,0.156,2677,0.208,545257,0.248,0.257,919872500,-22528000 ( -2.4% ),140070,-921 ( -0.7% ),76368673670,10668090,2
35,2013-02-27,564,0.145,2575,0.2,529913,0.241,0.241,839180000,-80692500 ( -8.8% ),127806,-12264 ( -8.8% ),77207853670,10795896,2
36,2013-02-28,478,0.13,2167,0.16,441603,0.19,0.297,867647000,28467000 ( 3.4% ),131102,3296 ( 2.6% ),78075500670,10926998,2
37,2013-03-01,556,0.139,2426,0.17,492792,0.202,0.606,2165796000,1298149000 ( 149.6% ),298862,167760 ( 128.0% ),80241296670,11225860,2
38,2013-03-02,577,0.142,2479,0.174,496346,0.203,0.535,1943597500,-222198500 ( -10.3% ),265741,-33121 ( -11.1% ),82184894170,11491601,2
39,2013-03-03,576,0.144,2405,0.176,482474,0.206,0.442,1547486500,-396111000 ( -20.4% ),213313,-52428 ( -19.7% ),83732380670,11704914,2
40,2013-03-04,495,0.144,2168,0.179,434564,0.207,0.114,341761000,-1205725500 ( -77.9% ),49610,-163703 ( -76.7% ),84074141670,11754524,2
41,2013-03-05,495,0.145,2155,0.182,430699,0.209,0.11,320456500,-21304500 ( -6.2% ),47454,-2156 ( -4.3% ),84394598170,11801978,2
42,2013-03-06,491,0.148,2146,0.181,429891,0.208,0.104,300812500,-19644000 ( -6.1% ),44730,-2724 ( -5.7% ),84695410670,11846708,2
43,2013-03-07,388,0.118,1677,0.141,317295,0.154,0.125,264490000,-36322500 ( -12.1% ),39734,-4996 ( -11.2% ),84959900670,11886442,3
44,2013-03-08,389,0.119,1732,0.139,325855,0.152,0.144,333541000,69051000 ( 26.1% ),46885,7151 ( 18.0% ),85293441670,11933327,3
45,2013-03-09,433,0.115,1881,0.139,355276,0.154,0.348,910623000,577082000 ( 173.0% ),123461,76576 ( 163.3% ),86204064670,12056788,2
46,2013-03-10,428,0.116,1825,0.14,345159,0.156,0.352,887059000,-23564000 ( -2.6% ),121573,-1888 ( -1.5% ),87091123670,12178361,2
47,2013-03-11,386,0.119,1657,0.144,305805,0.156,0.113,230814000,-656245000 ( -74.0% ),34649,-86924 ( -71.5% ),87321937670,12213010,2
48,2013-03-12,387,0.118,1655,0.145,302406,0.156,0.107,213215000,-17599000 ( -7.6% ),32220,-2429 ( -7.0% ),87535152670,12245230,2
49,2013-03-13,393,0.118,1679,0.145,308676,0.157,0.113,229709500,16494500 ( 7.7% ),34760,2540 ( 7.9% ),87764862170,12279990,2
50,2013-03-14,310,0.089,1060,0.088,166743,0.081,0.15,165711000,-63998500 ( -27.9% ),25059,-9701 ( -27.9% ),87930573170,12305049,4
51,2013-03-15,307,0.087,1100,0.088,171753,0.08,0.171,204533000,38822000 ( 23.4% ),29382,4323 ( 17.3% ),88135106170,12334431,4
52,2013-03-16,334,0.085,1198,0.087,186123,0.08,0.416,568810500,364277500 ( 178.1% ),77364,47982 ( 163.3% ),88703916670,12411795,4
53,2013-03-17,348,0.089,1181,0.089,182964,0.082,0.41,538793500,-30017000 ( -5.3% ),74968,-2396 ( -3.1% ),89242710170,12486763,4
