,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2019-11-21,2343,0.397,12998,0.63,2254041,0.7,0.269,4943457300,4932374300 ( 44504.0% ),606618,605453 ( 51970.2% ),4954540300,607783,1
1,2019-11-22,2331,0.397,13387,0.635,2314461,0.706,0.273,5560526180,617068880 ( 12.5% ),632547,25929 ( 4.3% ),10515066480,1240330,1
2,2019-11-23,2642,0.453,16220,0.734,2710933,0.79,0.613,14318356970,8757830790 ( 157.5% ),1661835,1029288 ( 162.7% ),24833423450,2902165,1
3,2019-11-24,2648,0.461,16012,0.739,2672576,0.794,0.575,13191536350,-1126820620 ( -7.9% ),1535569,-126266 ( -7.6% ),38024959800,4437734,1
4,2019-11-25,2190,0.38,12415,0.619,2149121,0.686,0.165,2896394520,-10295141830 ( -78.0% ),353767,-1181802 ( -77.0% ),40921354320,4791501,1
5,2019-11-26,2226,0.379,12315,0.617,2130974,0.684,0.15,2594195740,-302198780 ( -10.4% ),319416,-34351 ( -9.7% ),43515550060,5110917,1
6,2019-11-27,2094,0.333,10610,0.52,1878276,0.591,0.319,3665481480,1071285740 ( 41.3% ),599585,280169 ( 87.7% ),47181031540,5710502,1
7,2019-11-28,1922,0.315,10105,0.497,1782687,0.565,0.161,2298128030,-1367353450 ( -37.3% ),287605,-311980 ( -52.0% ),49479159570,5998107,1
8,2019-11-29,1983,0.323,10757,0.514,1897406,0.584,0.228,3760389730,1462261700 ( 63.6% ),431912,144307 ( 50.2% ),53239549300,6430019,1
9,2019-11-30,2368,0.383,13754,0.621,2338477,0.684,0.502,10046344730,6285955000 ( 167.2% ),1173934,742022 ( 171.8% ),63285894030,7603953,1
10,2019-12-01,2351,0.385,13467,0.625,2299443,0.69,0.426,8392537930,-1653806800 ( -16.5% ),979521,-194413 ( -16.6% ),71678431960,8583474,1
11,2019-12-02,1872,0.325,10131,0.512,1799464,0.583,0.114,1654751450,-6737786480 ( -80.3% ),204404,-775117 ( -79.1% ),73333183410,8787878,1
12,2019-12-03,1914,0.326,10003,0.511,1774511,0.581,0.11,1566122720,-88628730 ( -5.4% ),195430,-8974 ( -4.4% ),74899306130,8983308,1
13,2019-12-04,1557,0.256,7154,0.38,1254398,0.43,0.141,1374256280,-191866440 ( -12.3% ),177351,-18079 ( -9.3% ),76273562410,9160659,1
14,2019-12-05,1413,0.209,6319,0.332,1127275,0.383,0.143,1254853660,-119402620 ( -8.7% ),161584,-15767 ( -8.9% ),77528416070,9322243,1
15,2019-12-06,1524,0.226,6837,0.35,1206387,0.4,0.196,1997209070,742355410 ( 59.2% ),236308,74724 ( 46.2% ),79525625140,9558551,1
16,2019-12-07,1824,0.263,9193,0.441,1625244,0.505,0.378,5305859400,3308650330 ( 165.7% ),613808,377500 ( 159.7% ),84831484540,10172359,1
17,2019-12-08,1835,0.265,9049,0.444,1604387,0.509,0.328,4550962580,-754896820 ( -14.2% ),525742,-88066 ( -14.3% ),89382447120,10698101,1
18,2019-12-09,1426,0.225,6647,0.36,1205122,0.418,0.098,942239190,-3608723390 ( -79.3% ),117696,-408046 ( -77.6% ),90324686310,10815797,1
19,2019-12-10,1472,0.222,6607,0.358,1190138,0.413,0.104,978850950,36611760 ( 3.9% ),123423,5727 ( 4.9% ),91303537260,10939220,1
20,2019-12-11,1272,0.193,5223,0.275,869617,0.295,0.145,971358580,-7492370 ( -0.8% ),125705,2282 ( 1.8% ),92274895840,11064925,1
21,2019-12-12,1304,0.188,5155,0.275,860031,0.295,0.137,917228200,-54130380 ( -5.6% ),117626,-8079 ( -6.4% ),93192124040,11182551,1
22,2019-12-13,1327,0.192,5518,0.286,924092,0.309,0.194,1519292960,602064760 ( 65.6% ),179056,61430 ( 52.2% ),94711417000,11361607,1
23,2019-12-14,1616,0.228,7516,0.365,1250448,0.394,0.316,3410349040,1891056080 ( 124.5% ),395729,216673 ( 121.0% ),98121766040,11757336,1
24,2019-12-15,1608,0.229,7331,0.365,1223232,0.395,0.262,2761196180,-649152860 ( -19.0% ),320681,-75048 ( -19.0% ),100882962220,12078017,1
25,2019-12-16,1292,0.199,5565,0.306,947878,0.334,0.087,653505870,-2107690310 ( -76.3% ),82402,-238279 ( -74.3% ),101536468090,12160419,1
26,2019-12-17,1310,0.199,5592,0.307,947933,0.335,0.101,753642650,100136780 ( 15.3% ),96003,13601 ( 16.5% ),102290110740,12256422,1
27,2019-12-18,1028,0.18,4268,0.219,643188,0.211,0.122,619556910,-134085740 ( -17.8% ),78520,-17483 ( -18.2% ),102909667650,12334942,2
28,2019-12-19,795,0.13,2162,0.11,272128,0.09,0.198,423444640,-196112270 ( -31.7% ),53868,-24652 ( -31.4% ),103333112290,12388810,3
29,2019-12-20,775,0.128,2127,0.106,261850,0.086,0.262,591971630,168526990 ( 39.8% ),68573,14705 ( 27.3% ),103925083920,12457383,3
30,2019-12-21,836,0.138,2307,0.11,274939,0.086,0.523,1245224940,653253310 ( 110.4% ),143908,75335 ( 109.9% ),105170308860,12601291,3
31,2019-12-22,855,0.141,2300,0.112,275311,0.088,0.496,1178727070,-66497870 ( -5.3% ),136597,-7311 ( -5.1% ),106349035930,12737888,3
32,2019-12-23,790,0.136,2175,0.112,267443,0.09,0.201,427415360,-751311710 ( -63.7% ),53848,-82749 ( -60.6% ),106776451290,12791736,3
33,2019-12-24,655,0.101,1550,0.073,184819,0.057,0.359,539119260,111703900 ( 26.1% ),66353,12505 ( 23.2% ),107315570550,12858089,4
