날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,가격
2014-01-16,676,0.149,2558,0.184,448680,0.194,0.358,1170458500,1168379500,160592,160295,1230757500,166215,1,9000
2014-01-17,785,0.169,2936,0.205,520734,0.219,0.327,1297168500,126710000,170315,9723,2527926000,336530,1,10000
2014-01-18,962,0.196,3862,0.258,722428,0.29,0.595,3353864000,2056695500,430189,259874,5881790000,766719,1,10000
2014-01-19,1010,0.207,3970,0.273,739662,0.306,0.589,3400728500,46864500,435610,5421,9282518500,1202329,1,10000
2014-01-20,801,0.183,3448,0.255,659541,0.291,0.239,1188754000,-2211974500,157528,-278082,10471272500,1359857,1,9000
2014-01-21,823,0.184,3475,0.256,663227,0.293,0.283,1404823500,216069500,187623,30095,11876096000,1547480,1,9000
2014-01-22,656,0.173,2827,0.205,478815,0.208,0.338,1216550500,-188273000,161927,-25696,13092646500,1709407,1,9000
2014-01-23,678,0.174,2829,0.203,478130,0.206,0.364,1299410000,82859500,173960,12033,14392056500,1883367,1,9000
2014-01-24,719,0.182,3010,0.209,512580,0.214,0.416,1668801000,369391000,213259,39299,16060857500,2096626,1,10000
2014-01-25,901,0.213,3704,0.247,644795,0.258,0.789,3993965000,2325164000,508745,295486,20054822500,2605371,1,10000
2014-01-26,962,0.231,3860,0.264,678531,0.279,0.772,4117630000,123665000,524034,15289,24172452500,3129405,1,10000
2014-01-27,770,0.2,3338,0.238,579911,0.248,0.366,1637008000,-2480622000,212148,-311886,25809460500,3341553,1,9000
2014-01-28,788,0.205,3446,0.244,599247,0.255,0.396,1823069000,186061000,237432,25284,27632529500,3578985,1,9000
2014-01-29,773,0.184,3659,0.24,704834,0.279,0.455,2441769500,618700500,321038,83606,30074299000,3900023,1,9000
2014-01-30,933,0.208,4338,0.274,830778,0.318,0.563,3882906500,1441137000,468005,146967,33957205500,4368028,1,10000
2014-01-31,955,0.208,4396,0.279,835461,0.32,0.542,3881537500,-1369000,452471,-15534,37838743000,4820499,2,10000
2014-02-01,975,0.204,4485,0.279,851694,0.32,0.742,5289474500,1407937000,632300,179829,43128217500,5452799,2,10000
2014-02-02,965,0.205,4326,0.281,810732,0.318,0.697,4690851000,-598623500,565278,-67022,47819068500,6018077,1,10000
2014-02-03,786,0.194,3704,0.258,696803,0.292,0.287,1622779500,-3068071500,199674,-365604,49441848000,6217751,2,9000
2014-02-04,790,0.194,3624,0.258,678461,0.29,0.219,1215909500,-406870000,148915,-50759,50657757500,6366666,2,9000
2014-02-05,791,0.194,3636,0.261,672865,0.29,0.203,1108641500,-107268000,136310,-12605,51766399000,6502976,2,9000
2014-02-06,696,0.164,3012,0.211,546588,0.23,0.231,1018572000,-90069500,126190,-10120,52784971000,6629166,2,9000
2014-02-07,689,0.162,3124,0.212,567808,0.232,0.288,1383115000,364543000,163361,37171,54168086000,6792527,2,10000
2014-02-08,830,0.184,3787,0.243,675227,0.263,0.751,4133229000,2750114000,506829,343468,58301315000,7299356,1,10000
2014-02-09,942,0.208,3969,0.263,703041,0.282,0.714,4062449000,-70780000,501656,-5173,62363764000,7801012,1,10000
2014-02-10,729,0.178,3283,0.237,594483,0.257,0.191,929160500,-3133288500,113412,-388244,63292924500,7914424,2,9000
2014-02-11,750,0.178,3304,0.239,596972,0.259,0.189,911597500,-17563000,112939,-473,64204522000,8027363,2,9000
2014-02-12,745,0.177,3324,0.238,600423,0.258,0.172,838598500,-72999000,103562,-9377,65043120500,8130925,2,9000
2014-02-13,602,0.146,2633,0.185,457040,0.193,0.177,642277000,-196321500,80787,-22775,65685397500,8211712,3,9000
2014-02-14,624,0.148,2734,0.185,474370,0.194,0.253,1012690000,370413000,120180,39393,66698087500,8331892,3,10000
2014-02-15,776,0.174,3497,0.226,649207,0.253,0.501,2680180500,1667490500,325556,205376,69378268000,8657448,1,10000
2014-02-16,805,0.181,3444,0.23,641210,0.258,0.47,2467245500,-212935000,301646,-23910,71845513500,8959094,1,10000
2014-02-17,636,0.155,2811,0.2,501837,0.215,0.158,623688500,-1843557000,79288,-222358,72469202000,9038382,2,9000
2014-02-18,649,0.152,2814,0.199,499555,0.213,0.161,623030000,-658500,80205,917,73092232000,9118587,2,9000
2014-02-19,643,0.153,2777,0.2,494865,0.214,0.146,560497500,-62532500,72356,-7849,73652729500,9190943,2,9000
2014-02-20,507,0.119,2097,0.147,349319,0.147,0.159,427669500,-132828000,55713,-16643,74080399000,9246656,4,9000
2014-02-21,510,0.121,2179,0.148,363302,0.148,0.182,533355500,105686000,65995,10282,74613754500,9312651,4,10000
2014-02-22,630,0.136,2620,0.17,455341,0.178,0.347,1301609000,768253500,158039,92044,75915363500,9470690,4,10000
2014-02-23,628,0.138,2550,0.171,443960,0.179,0.348,1265717500,-35891500,154501,-3538,77181081000,9625191,3,10000
2014-02-24,493,0.119,2111,0.149,349362,0.148,0.144,383164500,-882553000,50465,-104036,77564245500,9675656,4,9000
2014-02-25,500,0.119,2097,0.148,345173,0.146,0.15,387939400,4774900,51704,1239,77952184900,9727360,4,9000
2014-02-26,501,0.117,2098,0.147,344493,0.146,0.156,386445400,-1494000,53874,2170,78338630300,9781234,4,9000
2014-02-27,433,0.101,1624,0.113,240299,0.1,0.182,321689000,-64756400,43781,-10093,78660319300,9825015,5,9000
2014-02-28,437,0.101,1656,0.112,245043,0.099,0.19,367372800,45683800,46452,2671,79027692100,9871467,5,10000
2014-03-01,515,0.111,1908,0.124,289261,0.112,0.341,813125100,445752300,98529,52077,79840817200,9969996,5,10000
2014-03-02,515,0.113,1859,0.126,280207,0.114,0.292,674900800,-138224300,81958,-16571,80515718000,10051954,4,10000
2014-03-03,401,0.101,1460,0.11,214538,0.096,0.085,143291900,-531608900,18282,-63676,80659009900,10070236,5,9000
2014-03-04,408,0.101,1430,0.108,209202,0.094,0.071,114970700,-28321200,14792,-3490,80773980600,10085028,6,9000
2014-03-05,398,0.1,1379,0.105,202243,0.091,0.065,104815000,-10155700,13120,-1672,80878795600,10098148,6,9000
2014-03-06,327,0.079,899,0.066,122263,0.053,0.071,68882800,-35932200,8704,-4416,80947678400,10106852,8,9000
2014-03-07,335,0.08,945,0.066,128262,0.053,0.076,85605800,16723000,9738,1034,81033284200,10116590,7,10000
2014-03-08,413,0.09,1212,0.079,164134,0.064,0.258,349181200,263575400,42411,32673,81382465400,10159001,5,10000
2014-03-09,421,0.093,1193,0.081,162091,0.065,0.271,357427800,8246600,43941,1530,81739893200,10202942,4,10000
2014-03-10,325,0.081,820,0.062,111299,0.049,0.053,47834400,-309593400,5919,-38022,81787727600,10208861,7,9000
2014-03-11,322,0.079,800,0.061,109157,0.049,0.05,43710100,-4124300,5460,-459,81831437700,10214321,7,9000
2014-03-12,313,0.077,789,0.06,107497,0.048,0.054,45122300,1412200,5806,346,81876560000,10220127,7,9000
2014-03-13,211,0.052,333,0.025,44900,0.02,0.061,21077800,-24044500,2729,-3077,81897637800,10222856,9,9000
2014-03-14,218,0.053,355,0.025,47778,0.02,0.068,26907600,5829800,3258,529,81924545400,10226114,10,10000
2014-03-15,282,0.064,592,0.039,77712,0.031,0.233,140101900,113194300,18096,14838,82064647300,10244210,8,10000
2014-03-16,286,0.065,586,0.04,77135,0.032,0.252,150639700,10537800,19413,1317,82215287000,10263623,7,10000
2014-03-17,201,0.051,314,0.024,42226,0.019,0.053,16398400,-134241300,2231,-17182,82231685400,10265854,9,9000
2014-03-18,200,0.049,318,0.024,43006,0.02,0.049,15218400,-1180000,2088,-143,82246903800,10267942,10,9000
2014-03-19,209,0.052,324,0.025,43508,0.02,0.057,18445400,3227000,2481,393,82265349200,10270423,9,9000
2014-03-20,60,0.015,77,0.006,10538,0.005,0.066,4884000,-13561400,700,-1781,82270233200,10271123,18,9000
2014-03-21,63,0.015,83,0.006,11429,0.005,0.087,7405200,2521200,990,290,82277638400,10272113,13,10000
2014-03-22,140,0.03,207,0.014,26629,0.011,0.208,42340300,34935100,5540,4550,82319978700,10277653,11,10000
2014-03-23,151,0.033,208,0.015,26980,0.012,0.229,47424700,5084400,6172,632,82367403400,10283825,11,10000
