날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,가격
2012-09-13,688,0.201,3362,0.268,733974,0.333,0.231,1172310500,1151373000,169516,166818,1247030000,180410,1,8000
2012-09-14,713,0.202,3556,0.273,772510,0.337,0.309,1753364500,581054000,238750,69234,3000394500,419160,1,9000
2012-09-15,810,0.211,4032,0.29,862570,0.356,0.514,3356051500,1602687000,443243,204493,6356446000,862403,1,9000
2012-09-16,804,0.215,3901,0.293,836506,0.361,0.498,3147397500,-208654000,416964,-26279,9503843500,1279367,1,9000
2012-09-17,712,0.214,3509,0.29,764730,0.357,0.247,1322999000,-1824398500,189055,-227909,10826842500,1468422,1,8000
2012-09-18,739,0.217,3552,0.291,768537,0.357,0.255,1344095500,21096500,195703,6648,12170938000,1664125,1,8000
2012-09-19,749,0.22,3577,0.296,772637,0.363,0.247,1309648000,-34447500,190569,-5134,13480586000,1854694,1,8000
2012-09-20,763,0.229,3604,0.301,756660,0.358,0.239,1240616500,-69031500,180540,-10029,14721202500,2035234,1,8000
2012-09-21,792,0.231,3818,0.303,800655,0.361,0.32,1867274119,626657619,256160,75620,16588476619,2291394,1,9000
2012-09-22,907,0.24,4379,0.322,910606,0.384,0.539,3701157650,1833883531,490571,234411,20289634269,2781965,1,9000
2012-09-23,921,0.244,4262,0.326,887330,0.388,0.503,3341104500,-360053150,445902,-44669,23630738769,3227867,1,9000
2012-09-24,784,0.237,3800,0.323,803977,0.387,0.193,1068452000,-2272652500,154896,-291006,24699190769,3382763,1,8000
2012-09-25,798,0.239,3807,0.323,801605,0.386,0.198,1085031000,16579000,158897,4001,25784221769,3541660,1,8000
2012-09-26,815,0.244,3850,0.326,811120,0.389,0.195,1083793500,-1237500,158128,-769,26868015269,3699788,1,8000
2012-09-27,800,0.25,3896,0.309,838232,0.378,0.185,1068115500,-15678000,155251,-2877,27936130769,3855039,2,8000
2012-09-28,819,0.248,4153,0.305,886941,0.373,0.333,2153095500,1084980000,295749,140498,30089226269,4150788,1,9000
