,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2006-07-27,513,0.304,3002,0.378,714967,0.485,0.554,2382619500,1574841500,395951,265699,3252621500,535205,1
1,2006-07-28,537,0.31,3170,0.382,756722,0.49,0.558,2619295400,236675900,421988,26037,5871916900,957193,1
2,2006-07-29,617,0.336,3642,0.418,844584,0.523,0.798,4193732200,1574436800,673838,251850,10065649100,1631031,1
3,2006-07-30,618,0.34,3533,0.421,816840,0.526,0.782,3990969200,-202763000,638824,-35014,14056618300,2269855,1
4,2006-07-31,561,0.323,3218,0.396,755652,0.503,0.608,2775636000,-1215333200,459149,-179675,16832254300,2729004,1
5,2006-08-01,581,0.33,3307,0.408,768648,0.512,0.602,2796724400,21088400,462351,3202,19628978700,3191355,1
6,2006-08-02,591,0.334,3333,0.41,772056,0.514,0.581,2705506600,-91217800,448539,-13812,22334485300,3639894,1
7,2006-08-03,573,0.345,3344,0.393,771791,0.491,0.533,2489413800,-216092800,411484,-37055,24823899100,4051378,1
8,2006-08-04,589,0.351,3519,0.404,815548,0.505,0.527,2653236700,163822900,430153,18669,27477135800,4481531,1
9,2006-08-05,647,0.37,3838,0.427,879718,0.528,0.755,4117108800,1463872100,664150,233997,31594244600,5145681,1
10,2006-08-06,645,0.383,3598,0.438,819115,0.541,0.691,3522828000,-594280800,565967,-98183,35117072600,5711648,1
11,2006-08-07,564,0.346,3319,0.398,775800,0.502,0.388,1827745600,-1695082400,300729,-265238,36944818200,6012377,1
12,2006-08-08,559,0.346,3286,0.397,766958,0.501,0.338,1561840000,-265905600,258978,-41751,38506658200,6271355,1
13,2006-08-09,552,0.334,3203,0.39,754561,0.496,0.301,1369151400,-192688600,227311,-31667,39875809600,6498666,1
14,2006-08-10,474,0.274,2765,0.321,643364,0.406,0.326,1240180400,-128971000,209860,-17451,41115990000,6708526,1
15,2006-08-11,479,0.277,2882,0.325,677932,0.413,0.34,1386922000,146741600,230212,20352,42502912000,6938738,1
16,2006-08-12,530,0.29,3088,0.337,713886,0.421,0.588,2583382900,1196460900,419805,189593,45086294900,7358543,1
17,2006-08-13,516,0.29,2992,0.337,691952,0.421,0.556,2386617800,-196765100,384951,-34854,47472912700,7743494,1
18,2006-08-14,480,0.276,2883,0.327,675164,0.413,0.376,1527340700,-859277100,253737,-131214,49000253400,7997231,1
19,2006-08-15,517,0.289,2934,0.334,677371,0.417,0.568,2362458000,835117300,384940,131203,51362711400,8382171,1
20,2006-08-16,462,0.269,2722,0.323,636562,0.409,0.237,900432900,-1462025100,151087,-233853,52263144300,8533258,1
21,2006-08-17,356,0.223,1992,0.23,483873,0.303,0.305,863986400,-36446500,147671,-3416,53127130700,8680929,1
22,2006-08-18,360,0.221,2074,0.232,505815,0.306,0.303,914890900,50904500,153122,5451,54042021600,8834051,1
23,2006-08-19,385,0.228,2254,0.245,543252,0.319,0.538,1797275900,882385000,292351,139229,55839297500,9126402,1
24,2006-08-20,380,0.228,2137,0.242,516026,0.316,0.532,1693071100,-104204800,274546,-17805,57532368600,9400948,1
25,2006-08-21,355,0.221,1977,0.235,481271,0.309,0.206,591779000,-1101292100,99238,-175308,58124147600,9500186,1
26,2006-08-22,353,0.221,1971,0.237,473415,0.306,0.195,545033700,-46745300,92505,-6733,58669181300,9592691,1
27,2006-08-23,353,0.22,1965,0.237,475639,0.309,0.172,485278800,-59754900,81807,-10698,59154460100,9674498,1
28,2006-08-24,271,0.164,1511,0.178,360999,0.23,0.185,392045900,-93232900,66688,-15119,59546506000,9741186,1
29,2006-08-25,275,0.165,1583,0.179,381159,0.233,0.188,431060100,39014200,71601,4913,59977566100,9812787,1
