,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2009-07-29,506,0.183,2695,0.222,529087,0.244,0.194,727591500,693592500 ( 2040.0% ),102817,97535 ( 1846.6% ),835073500,120160,2
1,2009-07-30,505,0.179,2752,0.223,525725,0.239,0.263,969645500,242054000 ( 33.3% ),138160,35343 ( 34.4% ),1804719000,258320,2
2,2009-07-31,534,0.183,2791,0.221,522738,0.232,0.33,1251079000,281433500 ( 29.0% ),172722,34562 ( 25.0% ),3055798000,431042,2
3,2009-08-01,570,0.182,2883,0.218,515618,0.218,0.528,1985581000,734502000 ( 58.7% ),272212,99490 ( 57.6% ),5041379000,703254,2
4,2009-08-02,568,0.184,2790,0.218,494581,0.216,0.506,1847484000,-138097000 ( -7.0% ),250263,-21949 ( -8.1% ),6888863000,953517,2
5,2009-08-03,527,0.183,2685,0.217,479655,0.218,0.371,1260033000,-587451000 ( -31.8% ),177908,-72355 ( -28.9% ),8148896000,1131425,2
6,2009-08-04,522,0.181,2682,0.216,481910,0.218,0.388,1319446500,59413500 ( 4.7% ),187184,9276 ( 5.2% ),9468342500,1318609,2
7,2009-08-05,527,0.168,2536,0.204,435987,0.196,0.376,1154839500,-164607000 ( -12.5% ),163875,-23309 ( -12.5% ),10623182000,1482484,2
8,2009-08-06,466,0.169,2199,0.173,359257,0.158,0.415,1054177500,-100662000 ( -8.7% ),149017,-14858 ( -9.1% ),11677359500,1631501,3
9,2009-08-07,471,0.169,2261,0.173,370397,0.159,0.485,1312835000,258657500 ( 24.5% ),179807,30790 ( 20.7% ),12990194500,1811308,3
10,2009-08-08,535,0.18,2496,0.184,417502,0.173,0.721,2179354500,866519500 ( 66.0% ),300995,121188 ( 67.4% ),15169549000,2112303,2
11,2009-08-09,542,0.181,2446,0.185,418292,0.178,0.676,2062664500,-116690000 ( -5.4% ),282662,-18333 ( -6.1% ),17232213500,2394965,2
12,2009-08-10,496,0.178,2321,0.186,404083,0.181,0.377,1078031500,-984633000 ( -47.7% ),152253,-130409 ( -46.1% ),18310245000,2547218,2
13,2009-08-11,509,0.182,2371,0.189,417755,0.187,0.373,1100353500,22322000 ( 2.1% ),155974,3721 ( 2.4% ),19410598500,2703192,2
14,2009-08-12,458,0.155,2119,0.166,429749,0.19,0.376,1145185500,44832000 ( 4.1% ),161528,5554 ( 3.6% ),20555784000,2864720,2
15,2009-08-13,471,0.157,2076,0.161,423776,0.186,0.372,1100521500,-44664000 ( -3.9% ),157465,-4063 ( -2.5% ),21656305500,3022185,1
16,2009-08-14,485,0.159,2230,0.168,454219,0.194,0.444,1456140500,355619000 ( 32.3% ),201572,44107 ( 28.0% ),23112446000,3223757,1
