날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,가격
2014-12-17,931,0.233,4444,0.319,799686,0.35,0.231,1356869800,1331215800,184756,181523,1613334800,217804,2,9000
2014-12-18,954,0.23,4491,0.317,803546,0.347,0.247,1455888000,99018200,198552,13796,3069222800,416356,1,9000
2014-12-19,966,0.235,4644,0.318,821362,0.345,0.294,1868964257,413076257,241578,43026,4938187057,657934,1,10000
2014-12-20,914,0.223,4760,0.304,847562,0.334,0.523,3544494287,1675530030,442930,201352,8482681344,1100864,1,10000
2014-12-21,904,0.224,4659,0.305,827832,0.334,0.549,3637334300,92840013,454191,11261,12120015644,1555055,1,10000
2014-12-22,903,0.229,4438,0.313,785506,0.338,0.26,1519757200,-2117577100,204536,-249655,13639772844,1759591,1,9000
2014-12-23,960,0.215,4269,0.292,755853,0.317,0.288,1579667000,59909800,217631,13095,15219439844,1977222,1,9000
2014-12-24,727,0.167,3523,0.212,654702,0.242,0.512,2551589500,971922500,335504,117873,17771029344,2312726,1,9000
2014-12-25,778,0.17,3622,0.21,680200,0.242,0.799,4328169000,1776579500,543227,207723,22099198344,2855953,1,10000
2014-12-26,812,0.184,3686,0.228,694896,0.263,0.48,2629532127,-1698636873,333668,-209559,24728730471,3189621,1,10000
2014-12-27,941,0.203,4170,0.248,787886,0.288,0.687,4306258725,1676726598,541235,207567,29034989196,3730856,1,10000
2014-12-28,953,0.206,4179,0.256,793440,0.298,0.694,4387140700,80881975,550747,9512,33422129896,4281603,1,10000
2014-12-29,880,0.202,3944,0.256,774445,0.307,0.364,2082243900,-2304896800,282065,-268682,35504373796,4563668,1,9000
2014-12-30,881,0.2,4042,0.259,787327,0.309,0.388,2252810600,170566700,305467,23402,37757184396,4869135,1,9000
2014-12-31,912,0.18,4496,0.269,923035,0.339,0.516,3332383200,1079572600,476542,171075,41089567596,5345677,1,9000
2015-01-01,941,0.191,4650,0.274,964153,0.35,0.78,6129982500,2797599300,751754,275212,47219550096,6097431,1,10000
2015-01-02,930,0.193,4568,0.274,946099,0.35,0.498,3782877729,-2347104771,470690,-281064,51002427825,6568121,1,10000
2015-01-03,1044,0.207,5015,0.294,1019537,0.368,0.621,5102642636,1319764907,632713,162023,56105070461,7200834,1,10000
2015-01-04,1026,0.206,4871,0.295,997317,0.371,0.554,4437089200,-665553436,552069,-80644,60542159661,7752903,1,10000
2015-01-05,910,0.198,4384,0.28,911388,0.357,0.231,1558134100,-2878955100,210765,-341304,62100293761,7963668,1,9000
2015-01-06,904,0.194,4368,0.279,907915,0.355,0.232,1550265000,-7869100,210222,-543,63650558761,8173890,1,9000
2015-01-07,838,0.178,4164,0.268,878197,0.347,0.215,1398815300,-151449700,188721,-21501,65049374061,8362611,1,9000
2015-01-08,840,0.177,4188,0.268,883411,0.347,0.215,1413971800,15156500,189554,833,66463345861,8552165,1,9000
2015-01-09,858,0.177,4375,0.273,920952,0.354,0.227,1663760900,249789100,209260,19706,68127106761,8761425,1,10000
2015-01-10,930,0.181,4807,0.287,1010882,0.372,0.459,3746238400,2082477500,464389,255129,71873345161,9225814,1,10000
2015-01-11,926,0.183,4672,0.286,980694,0.37,0.472,3731772100,-14466300,462989,-1400,75605117261,9688803,1,10000
2015-01-12,843,0.178,4244,0.276,896301,0.357,0.176,1169140700,-2562631400,157483,-305506,76774257961,9846286,1,9000
2015-01-13,850,0.176,4239,0.275,893599,0.356,0.174,1148365300,-20775400,155662,-1821,77922623261,10001948,1,9000
2015-01-14,625,0.135,2839,0.183,534925,0.212,0.27,1068986400,-79378900,144616,-11046,78991609661,10146564,1,9000
2015-01-15,647,0.136,2842,0.183,534847,0.21,0.271,1071601300,2614900,145016,400,80063210961,10291580,2,9000
2015-01-16,673,0.141,2964,0.187,555323,0.214,0.284,1244299887,172698587,157521,12505,81307510848,10449101,2,10000
2015-01-17,742,0.149,3330,0.202,627150,0.233,0.532,2678070482,1433770595,333477,175956,83985581330,10782578,1,10000
2015-01-18,741,0.15,3256,0.203,613339,0.234,0.517,2535865900,-142204582,317114,-16363,86521447230,11099692,1,10000
2015-01-19,681,0.148,3025,0.2,578929,0.234,0.19,812404500,-1723461400,109925,-207189,87333851730,11209617,1,9000
2015-01-20,690,0.149,3030,0.199,571745,0.229,0.185,772653900,-39750600,106049,-3876,88106505630,11315666,1,9000
2015-01-21,562,0.118,2300,0.151,414396,0.167,0.217,658452400,-114201500,89895,-16154,88764958030,11405561,2,9000
2015-01-22,578,0.119,2325,0.152,420615,0.169,0.206,630133200,-28319200,86643,-3252,89395091230,11492204,3,9000
2015-01-23,567,0.116,2394,0.153,432636,0.17,0.215,728671900,98538700,93227,6584,90123763130,11585431,3,10000
2015-01-24,649,0.123,2654,0.164,478564,0.181,0.452,1731840400,1003168500,216226,122999,91855603530,11801657,3,10000
2015-01-25,625,0.121,2539,0.161,456727,0.178,0.448,1634466800,-97373600,204816,-11410,93490070330,12006473,3,10000
2015-01-26,564,0.12,2357,0.158,426240,0.175,0.155,484613400,-1149853400,66137,-138679,93974683730,12072610,3,9000
2015-01-27,577,0.121,2361,0.158,425762,0.174,0.168,517076200,32462800,71404,5267,94491759930,12144014,3,9000
2015-01-28,484,0.103,2035,0.136,377777,0.153,0.195,481585400,-35490800,73793,2389,94973345330,12217807,3,9000
2015-01-29,475,0.102,2024,0.135,379293,0.154,0.214,583420600,101835200,81045,7252,95556765930,12298852,1,9000
2015-01-30,507,0.106,2121,0.138,392699,0.156,0.218,661927400,78506800,85635,4590,96218693330,12384487,2,10000
2015-01-31,606,0.119,2384,0.148,439075,0.167,0.381,1320338300,658410900,167502,81867,97539031630,12551989,2,10000
2015-02-01,601,0.118,2333,0.149,426981,0.167,0.392,1334633200,14294900,167330,-172,98873664830,12719319,2,10000
2015-02-02,543,0.117,2167,0.151,402580,0.17,0.127,371026100,-963607100,50954,-116376,99244690930,12770273,2,9000
2015-02-03,546,0.116,2161,0.152,401862,0.171,0.116,338380000,-32646100,46697,-4257,99583070930,12816970,1,9000
2015-02-04,546,0.118,2199,0.156,410754,0.176,0.098,293632800,-44747200,40149,-6548,99876703730,12857119,3,9000
2015-02-05,427,0.092,1639,0.113,256372,0.108,0.143,265073500,-28559300,36615,-3534,100141777230,12893734,3,9000
2015-02-06,449,0.095,1700,0.115,263797,0.108,0.151,308795800,43722300,39802,3187,100450573030,12933536,4,10000
2015-02-07,489,0.094,1823,0.115,282637,0.109,0.318,721434300,412638500,89811,50009,101172007330,13023347,3,10000
2015-02-08,478,0.094,1789,0.116,275507,0.109,0.358,795674800,74240500,98739,8928,101967682130,13122086,3,10000
2015-02-09,432,0.096,1691,0.123,267037,0.117,0.117,230359300,-565315500,31207,-67532,102198041430,13153293,2,9000
2015-02-10,440,0.093,1696,0.121,268394,0.116,0.123,239487300,9128000,33024,1817,102437528730,13186317,2,9000
2015-02-11,380,0.086,1171,0.082,166343,0.07,0.135,163236200,-76251100,22490,-10534,102600764930,13208807,4,9000
2015-02-12,394,0.082,1076,0.074,154739,0.065,0.142,159682800,-3553400,22046,-444,102760447730,13230853,4,9000
2015-02-13,403,0.082,1109,0.074,158732,0.064,0.158,194621900,34939100,25086,3040,102955069630,13255939,4,10000
2015-02-14,418,0.078,1090,0.068,149017,0.057,0.329,393883300,199261400,49004,23918,103348952930,13304943,6,10000
2015-02-15,416,0.077,1065,0.068,146893,0.057,0.319,373451600,-20431700,46791,-2213,103722404530,13351734,6,10000
2015-02-16,404,0.083,1077,0.073,148788,0.062,0.143,157048900,-216402700,21217,-25574,103879453430,13372951,4,9000
