날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,가격
2019-05-30,1783,0.315,8262,0.462,1461863,0.529,0.389,4579290500,4519237500,568092,562494,4677727500,577954,1,11000
2019-05-31,1826,0.326,8806,0.483,1553481,0.553,0.43,5893815975,1314525475,667826,99734,10571543475,1245780,1,12000
2019-06-01,1927,0.332,9907,0.523,1734046,0.597,0.65,9909224473,4015408498,1126677,458851,20480767948,2372457,1,12000
2019-06-02,1948,0.336,9820,0.531,1719057,0.604,0.579,8706733270,-1202491203,994607,-132070,29187501218,3367064,1,12000
2019-06-03,1804,0.345,9196,0.528,1617395,0.599,0.236,3071603430,-5635129840,382497,-612110,32259104648,3749561,1,11000
2019-06-04,1814,0.338,9193,0.528,1609901,0.596,0.217,2782574190,-289029240,348723,-33774,35041678838,4098284,1,11000
2019-06-05,1700,0.298,8068,0.444,1383214,0.488,0.308,3435665860,653091670,425745,77022,38477344698,4524029,1,11000
2019-06-06,1574,0.267,7975,0.41,1389997,0.462,0.598,7210821290,3775155430,831644,405899,45688165988,5355673,1,12000
2019-06-07,1561,0.264,7877,0.408,1370051,0.459,0.379,4519273774,-2691547516,519720,-311924,50207439762,5875393,1,12000
2019-06-08,1579,0.265,7958,0.405,1393383,0.458,0.458,5635004423,1115730649,637591,117871,55842444185,6512984,1,12000
2019-06-09,1577,0.267,7736,0.406,1354680,0.458,0.376,4500961560,-1134042863,509134,-128457,60343405745,7022118,1,12000
2019-06-10,1460,0.286,7287,0.418,1265901,0.468,0.154,1560319780,-2940641780,194662,-314472,61903725525,7216780,1,11000
2019-06-11,1460,0.283,7251,0.418,1259143,0.467,0.125,1260270800,-300048980,157774,-36888,63163996325,7374554,1,11000
2019-06-12,1217,0.243,5604,0.313,900847,0.322,0.162,1172366590,-87904210,146216,-11558,64336362915,7520770,1,11000
2019-06-13,1170,0.216,5211,0.292,850549,0.306,0.16,1093021770,-79344820,136195,-10021,65429384685,7656965,1,11000
