날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,가격
2007-08-01,470,0.193,3162,0.269,719913,0.337,0.538,2400856600,2391493600,387468,386127,2441897600,393674,1,7000
2007-08-02,489,0.195,3250,0.275,750058,0.35,0.595,2755926500,355069900,446005,58537,5197824100,839679,1,7000
2007-08-03,504,0.204,3460,0.286,802628,0.366,0.615,3104984000,349057500,493372,47367,8302808100,1333051,1,8000
2007-08-04,613,0.237,4107,0.332,936487,0.417,0.788,4643546700,1538562700,737663,244291,12946354800,2070714,1,8000
2007-08-05,622,0.239,4082,0.339,919533,0.42,0.752,4394430200,-249116500,691110,-46553,17340785000,2761824,1,8000
2007-08-06,502,0.205,3509,0.302,822612,0.388,0.408,2108759000,-2285671200,335908,-355202,19449544000,3097732,1,7000
2007-08-07,508,0.205,3487,0.303,813780,0.387,0.373,1899379500,-209379500,303554,-32354,21348923500,3401286,1,7000
2007-08-08,472,0.213,3378,0.284,784176,0.36,0.342,1684782000,-214597500,267843,-35711,23033705500,3669129,1,7000
2007-08-09,460,0.198,3288,0.275,767325,0.351,0.323,1546909500,-137872500,247699,-20144,24580615000,3916828,1,7000
2007-08-10,486,0.205,3491,0.28,824513,0.363,0.344,1802129000,255219500,283915,36216,26382744000,4200743,1,8000
2007-08-11,558,0.226,3984,0.306,926959,0.392,0.651,3793825500,1991696500,603339,319424,30176569500,4804082,1,8000
2007-08-12,558,0.224,3846,0.307,900351,0.395,0.611,3509305700,-284519800,550493,-52846,33685875200,5354575,1,8000
2007-08-13,464,0.2,3365,0.282,790067,0.364,0.253,1245311500,-2263994200,200139,-350354,34931186700,5554714,1,7000
2007-08-14,465,0.166,3248,0.268,769086,0.348,0.264,1251689000,6377500,202881,2742,36182875700,5757595,1,7000
2007-08-15,427,0.174,2794,0.232,665200,0.304,0.65,2712306000,1460617000,432095,229214,38895181700,6189690,1,8000
2007-08-16,364,0.153,2510,0.217,595344,0.283,0.209,770863000,-1941443000,124546,-307549,39666044700,6314236,1,7000
2007-08-17,378,0.158,2656,0.222,631889,0.29,0.203,805819000,34956000,128576,4030,40471863700,6442812,1,8000
2007-08-18,432,0.172,2923,0.236,700712,0.311,0.389,1710258500,904439500,272887,144311,42182122200,6715699,1,8000
2007-08-19,427,0.171,2809,0.235,674827,0.31,0.387,1659270000,-50988500,261340,-11547,43841392200,6977039,1,8000
2007-08-20,361,0.153,2480,0.219,594690,0.287,0.121,445594000,-1213676000,72088,-189252,44286986200,7049127,1,7000
2007-08-21,370,0.156,2480,0.22,589347,0.286,0.113,407930500,-37663500,66665,-5423,44694916700,7115792,1,7000
2007-08-22,284,0.121,1835,0.159,414018,0.198,0.127,324139000,-83791500,52771,-13894,45019055700,7168563,2,7000
2007-08-23,285,0.12,1820,0.156,409718,0.195,0.118,297086500,-27052500,48320,-4451,45316142200,7216883,2,7000
2007-08-24,293,0.121,1910,0.158,429166,0.196,0.12,323118500,26032000,51641,3321,45639260700,7268524,2,8000
2007-08-25,318,0.127,2051,0.162,460950,0.202,0.305,875386000,552267500,140685,89044,46514646700,7409209,2,8000
2007-08-26,316,0.128,1970,0.163,440154,0.204,0.286,801405500,-73980500,125908,-14777,47316052200,7535117,1,8000
2007-08-27,287,0.122,1731,0.155,390479,0.193,0.064,158033000,-643372500,25037,-100871,47474085200,7560154,4,7000
2007-08-28,283,0.119,1705,0.154,386295,0.193,0.061,147297000,-10736000,23431,-1606,47621382200,7583585,4,7000
2007-08-29,284,0.119,1668,0.152,380584,0.192,0.055,132675500,-14621500,21030,-2401,47754057700,7604615,5,7000
2007-08-30,219,0.091,1156,0.107,219049,0.111,0.067,91185500,-41490000,14593,-6437,47845243200,7619208,6,7000
2007-08-31,219,0.09,1184,0.105,224258,0.109,0.066,95503500,4318000,14854,261,47940746700,7634062,6,8000
2007-09-01,233,0.092,1323,0.108,248602,0.112,0.177,285200000,189696500,43973,29119,48225946700,7678035,5,8000
2007-09-02,234,0.095,1288,0.11,240629,0.113,0.255,390681500,105481500,61440,17467,48616628200,7739475,4,8000
2007-09-03,222,0.094,1073,0.103,205597,0.107,0.04,52785500,-337896000,8283,-53157,48669413700,7747758,6,7000
2007-09-04,215,0.093,1003,0.101,188589,0.104,0.043,52071500,-714000,8094,-189,48721485200,7755852,6,7000
2007-09-05,201,0.091,988,0.101,185624,0.104,0.043,51336500,-735000,8022,-72,48772821700,7763874,6,7000
2007-09-06,169,0.073,577,0.056,87406,0.047,0.056,30659000,-20677500,4911,-3111,48803480700,7768785,13,7000
2007-09-07,170,0.074,581,0.054,88121,0.045,0.06,33878500,3219500,5264,353,48837359200,7774049,11,8000
2007-09-08,179,0.069,699,0.059,102762,0.048,0.221,138235500,104357000,22717,17453,48975594700,7796766,6,8000
2007-09-09,180,0.07,675,0.06,99056,0.048,0.228,141267500,3032000,22548,-169,49116862200,7819314,6,8000
2007-09-10,161,0.071,516,0.053,77987,0.043,0.041,20451000,-120816500,3169,-19379,49137313200,7822483,11,7000
2007-09-11,162,0.071,517,0.053,80463,0.045,0.044,22338500,1887500,3543,374,49159651700,7826026,10,7000
2007-09-12,62,0.026,155,0.016,20687,0.012,0.043,5434000,-16904500,885,-2658,49165085700,7826911,12,7000
2007-09-13,53,0.024,116,0.012,13774,0.007,0.052,4206000,-1228000,711,-174,49169291700,7827622,11,7000
2007-09-14,50,0.022,122,0.011,14237,0.007,0.055,4758000,552000,777,66,49174049700,7828399,12,8000
2007-09-15,55,0.022,163,0.014,19751,0.009,0.172,21075000,16317000,3404,2627,49195124700,7831803,10,8000
2007-09-16,59,0.025,163,0.015,20216,0.01,0.325,40056000,18981000,6574,3170,49235180700,7838377,9,8000
2007-09-17,50,0.023,111,0.011,13676,0.008,0.052,4436500,-35619500,716,-5858,49239617200,7839093,11,7000
2007-09-18,53,0.024,125,0.013,15097,0.008,0.053,5180000,743500,800,84,49244797200,7839893,10,7000
