날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,가격
2014-07-30,1159,0.336,6147,0.423,1152173,0.484,0.593,4708879000,4649246000,682701,674628,4881110000,705201,1,9000
2014-07-31,1202,0.318,6258,0.421,1176034,0.483,0.6,5243409900,534530900,705070,22369,10124519900,1410271,1,9000
2014-08-01,1300,0.337,6699,0.444,1255037,0.509,0.691,6918410307,1675000407,867437,162367,17042930207,2277708,1,10000
2014-08-02,1494,0.376,7605,0.491,1402659,0.553,0.879,9826541209,2908130902,1232529,365092,26869471416,3510237,1,10000
2014-08-03,1587,0.398,7963,0.521,1456645,0.582,0.863,10031212500,204671291,1257380,24851,36900683916,4767617,1,10000
2014-08-04,1443,0.394,7551,0.509,1414635,0.584,0.7,7455501400,-2575711100,990022,-267358,44356185316,5757639,1,9000
2014-08-05,1507,0.395,7779,0.523,1451564,0.598,0.599,6511760400,-943741000,869153,-120869,50867945716,6626792,1,9000
2014-08-06,1221,0.31,6788,0.451,1271478,0.518,0.553,5273445400,-1238315000,702887,-166266,56141391116,7329679,1,9000
2014-08-07,1239,0.296,6776,0.448,1275750,0.517,0.512,4892511700,-380933700,652776,-50111,61033902816,7982455,1,9000
2014-08-08,1278,0.308,7026,0.46,1320549,0.531,0.523,5493530692,601018992,690123,37347,66527433508,8672578,1,10000
2014-08-09,1343,0.317,7453,0.476,1395991,0.546,0.789,8758739983,3265209291,1101089,410966,75286173491,9773667,1,10000
2014-08-10,1315,0.315,7267,0.473,1366171,0.545,0.756,8225301600,-533438383,1032388,-68701,83511475091,10806055,1,10000
2014-08-11,1204,0.303,6607,0.447,1262527,0.523,0.417,3924891200,-4300410400,526106,-506282,87436366291,11332161,1,9000
2014-08-12,1224,0.298,6545,0.442,1249444,0.517,0.355,3287901500,-636989700,443817,-82289,90724267791,11775978,1,9000
2014-08-13,935,0.235,5098,0.335,986831,0.398,0.374,2739598400,-548303100,368597,-75220,93463866191,12144575,1,9000
2014-08-14,949,0.23,5200,0.334,1006562,0.397,0.427,3209749900,470151500,430129,61532,96673616091,12574704,1,9000
2014-08-15,1013,0.237,5520,0.341,1061529,0.404,0.701,5906928307,2697178407,744256,314127,102580544398,13318960,1,10000
2014-08-16,1004,0.231,5507,0.341,1054447,0.402,0.647,5479483612,-427444695,682703,-61553,108060028010,14001663,1,10000
2014-08-17,1002,0.232,5295,0.338,1015656,0.399,0.626,5061573600,-417910012,635573,-47130,113121601610,14637236,1,10000
2014-08-18,906,0.233,4753,0.323,918191,0.383,0.288,1970129700,-3091443900,264378,-371195,115091731310,14901614,1,9000
2014-08-19,931,0.231,4694,0.319,907401,0.38,0.255,1706119200,-264010500,231697,-32681,116797850510,15133311,1,9000
2014-08-20,732,0.172,3597,0.241,720770,0.297,0.24,1283393400,-422725800,173159,-58538,118081243910,15306470,1,9000
2014-08-21,716,0.155,3463,0.232,698080,0.289,0.237,1218788300,-64605100,165149,-8010,119300032210,15471619,1,9000
2014-08-22,723,0.153,3598,0.236,722960,0.293,0.23,1314220500,95432200,166182,1033,120614252710,15637801,2,10000
2014-08-23,772,0.152,3839,0.244,761107,0.299,0.437,2652884500,1338664000,332537,166355,123267137210,15970338,2,10000
2014-08-24,757,0.15,3669,0.239,726423,0.292,0.421,2434184900,-218699600,305504,-27033,125701322110,16275842,2,10000
2014-08-25,694,0.156,3309,0.233,660335,0.285,0.159,781387500,-1652797400,105306,-200198,126482709610,16381148,2,9000
2014-08-26,702,0.152,3274,0.23,649637,0.28,0.138,654846000,-126541500,89715,-15591,127137555610,16470863,2,9000
2014-08-27,658,0.148,3011,0.21,568882,0.243,0.15,556729000,-98117000,85270,-4445,127694284610,16556133,2,9000
2014-08-28,482,0.112,2148,0.141,369834,0.148,0.162,434041700,-122687300,59758,-25512,128128326310,16615891,3,9000
2014-08-29,482,0.109,2183,0.14,375648,0.147,0.177,511350600,77308900,66327,6569,128639676910,16682218,3,10000
2014-08-30,488,0.102,2181,0.133,368522,0.137,0.374,1092613100,581262500,137811,71484,129732290010,16820029,3,10000
2014-08-31,495,0.106,2130,0.134,357977,0.137,0.362,1019603400,-73009700,129731,-8080,130751893410,16949760,3,10000
2014-09-01,446,0.109,2019,0.138,324120,0.133,0.114,273418400,-746185000,36965,-92766,131025311810,16986725,4,9000
2014-09-02,440,0.108,1970,0.136,316187,0.131,0.101,234135700,-39282700,31924,-5041,131259447510,17018649,4,9000
2014-09-03,253,0.062,591,0.04,74069,0.03,0.218,116426900,-117708800,16146,-15778,131375874410,17034795,8,9000
2014-09-04,231,0.052,509,0.034,64944,0.027,0.202,95108700,-21318200,13135,-3011,131470983110,17047930,8,9000
2014-09-05,233,0.051,505,0.033,64105,0.025,0.275,136853900,41745200,17635,4500,131607837010,17065565,8,10000
2014-09-06,290,0.058,590,0.035,76465,0.028,0.579,335541800,198687900,44249,26614,131943378810,17109814,8,10000
2014-09-07,333,0.065,656,0.04,86941,0.032,0.623,417974800,82433000,54182,9933,132361353610,17163996,7,10000
2014-09-08,394,0.075,795,0.048,107595,0.04,0.76,636966300,218991500,81812,27630,132998319910,17245808,7,10000
2014-09-09,459,0.083,931,0.056,129458,0.048,0.801,780384300,143418000,103651,21839,133778704210,17349459,7,10000
2014-09-10,448,0.084,930,0.058,131099,0.051,0.635,605102700,-175281600,83192,-20459,134383806910,17432651,7,10000
2014-09-11,216,0.052,495,0.033,66347,0.027,0.234,111185700,-493917000,15515,-67677,134494992610,17448166,8,9000
2014-09-12,240,0.055,528,0.035,70962,0.029,0.188,102426900,-8758800,13334,-2181,134597419510,17461500,9,10000
2014-09-13,277,0.057,632,0.04,90056,0.035,0.321,228217700,125790800,28869,15535,134825637210,17490369,8,10000
2014-09-14,279,0.057,607,0.04,86243,0.035,0.337,228501000,283300,29038,169,135054138210,17519407,8,10000
2014-09-15,246,0.061,563,0.04,76367,0.033,0.103,56847100,-171653900,7888,-21150,135110985310,17527295,8,9000
2014-09-16,259,0.062,578,0.041,78417,0.034,0.13,75447800,18600700,10203,2315,135186433110,17537498,7,9000
2014-09-17,256,0.061,570,0.041,78919,0.034,0.106,57908100,-17539700,8347,-1856,135244341210,17545845,8,9000
2014-09-18,170,0.04,332,0.023,42720,0.018,0.106,32181700,-25726400,4548,-3799,135276522910,17550393,10,9000
2014-09-19,170,0.038,329,0.022,42597,0.018,0.11,35438500,3256800,4674,126,135311961410,17555067,11,10000
