날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,가격
2011-12-15,845,0.28,3906,0.353,873784,0.437,0.303,1924102500,1795619500,264719,253644,2160587500,285069,1,8000
2011-12-16,923,0.307,4562,0.394,996729,0.479,0.285,2206779500,282677000,284074,19355,4367367000,569143,1,9000
2011-12-17,1024,0.295,5037,0.4,1073759,0.479,0.556,4553930500,2347151000,596962,312888,8921297500,1166105,1,9000
2011-12-18,959,0.296,4833,0.396,1037680,0.479,0.548,4361035000,-192895500,568508,-28454,13282332500,1734613,1,9000
2011-12-19,885,0.307,4376,0.403,952910,0.486,0.202,1414451000,-2946584000,192162,-376346,14696783500,1926775,1,8000
2011-12-20,914,0.306,4430,0.399,959135,0.481,0.207,1441405000,26954000,198491,6329,16138188500,2125266,1,8000
2011-12-21,646,0.227,3000,0.267,622065,0.309,0.27,1221067000,-220338000,167683,-30808,17359255500,2292949,1,8000
2011-12-22,628,0.204,2903,0.253,605760,0.294,0.254,1129218500,-91848500,153977,-13706,18488474000,2446926,1,8000
2011-12-23,650,0.207,3117,0.257,651529,0.301,0.33,1649059500,519841000,215205,61228,20137533500,2662131,1,9000
2011-12-24,694,0.201,3356,0.253,713133,0.301,0.744,4099473500,2450414000,530320,315115,24237007000,3192451,1,9000
2011-12-25,686,0.201,3194,0.251,679884,0.299,0.731,3798735000,-300738500,497006,-33314,28035742000,3689457,1,9000
2011-12-26,636,0.206,2965,0.255,637381,0.306,0.245,1163747000,-2634988000,156263,-340743,29199489000,3845720,1,8000
2011-12-27,637,0.206,2971,0.255,640204,0.308,0.233,1105640000,-58107000,149444,-6819,30305129000,3995164,1,8000
2011-12-28,643,0.206,3016,0.258,653831,0.313,0.238,1141186500,35546500,155331,5887,31446315500,4150495,1,8000
2011-12-29,662,0.195,3001,0.248,670757,0.311,0.254,1254283500,113097000,170257,14926,32700599000,4320752,1,8000
2011-12-30,655,0.192,3116,0.248,694965,0.311,0.347,1872689500,618406000,241029,70772,34573288500,4561781,1,9000
2011-12-31,692,0.191,3338,0.251,745608,0.314,0.554,3191759500,1319070000,413380,172351,37765048000,4975161,1,9000
2012-01-01,697,0.195,3223,0.254,716632,0.317,0.493,2776060500,-415699000,353274,-60106,40541108500,5328435,1,9000
2012-01-02,662,0.198,3009,0.255,674104,0.318,0.206,1033680000,-1742380500,138853,-214421,41574788500,5467288,1,8000
2012-01-03,657,0.194,2947,0.252,662987,0.317,0.151,739116500,-294563500,100370,-38483,42313905000,5567658,1,8000
2012-01-04,658,0.196,2925,0.255,656204,0.318,0.122,591308000,-147808500,79937,-20433,42905213000,5647595,1,8000
2012-01-05,530,0.158,2376,0.196,548791,0.255,0.131,537772500,-53535500,71724,-8213,43442985500,5719319,1,8000
2012-01-06,538,0.161,2492,0.199,573553,0.257,0.17,773348500,235576000,97263,25539,44216334000,5816582,1,9000
2012-01-07,561,0.158,2579,0.199,588335,0.257,0.396,1836585500,1063237000,233104,135841,46052919500,6049686,1,9000
2012-01-08,559,0.158,2568,0.202,586945,0.26,0.36,1656108500,-180477000,211224,-21880,47709028000,6260910,1,9000
2012-01-09,534,0.161,2405,0.202,554576,0.261,0.117,480009500,-1176099000,64611,-146613,48189037500,6325521,1,8000
2012-01-10,531,0.157,2375,0.199,546837,0.258,0.115,467868500,-12141000,62805,-1806,48656906000,6388326,1,8000
2012-01-11,492,0.144,2078,0.172,464466,0.214,0.121,409886000,-57982500,56211,-6594,49066792000,6444537,1,8000
2012-01-12,418,0.127,1826,0.149,411281,0.187,0.122,369494000,-40392000,50358,-5853,49436286000,6494895,2,8000
2012-01-13,426,0.129,1885,0.149,424883,0.187,0.146,482216000,112722000,61985,11627,49918502000,6556880,2,9000
2012-01-14,461,0.13,2037,0.152,453425,0.189,0.361,1268647500,786431500,163766,101781,51187149500,6720646,2,9000
2012-01-15,456,0.128,1971,0.151,438080,0.188,0.32,1069370500,-199277000,140034,-23732,52256520000,6860680,2,9000
2012-01-16,423,0.128,1777,0.15,396550,0.186,0.097,283532500,-785838000,38599,-101435,52540052500,6899279,2,8000
2012-01-17,429,0.127,1805,0.15,401969,0.186,0.094,275280000,-8252500,37753,-846,52815332500,6937032,2,8000
2012-01-18,277,0.087,1029,0.082,187470,0.084,0.139,193318000,-81962000,26104,-11649,53008650500,6963136,4,8000
2012-01-19,237,0.074,721,0.055,125911,0.054,0.158,148929500,-44388500,19861,-6243,53157580000,6982997,7,8000
2012-01-20,247,0.076,752,0.056,129592,0.054,0.242,250496500,101567000,31313,11452,53408076500,7014310,5,9000
2012-01-21,259,0.071,779,0.054,138877,0.054,0.448,497100000,246603500,62203,30890,53905176500,7076513,5,9000
2012-01-22,275,0.074,800,0.056,142525,0.056,0.42,487481000,-9619000,59913,-2290,54392657500,7136426,5,9000
2012-01-23,278,0.076,818,0.058,147553,0.058,0.543,657327000,169846000,80162,20249,55049984500,7216588,5,9000
2012-01-24,291,0.078,815,0.058,145576,0.058,0.574,657141500,-185500,83489,3327,55707126000,7300077,5,9000
2012-01-25,257,0.076,733,0.056,132294,0.056,0.261,254829500,-402312000,34557,-48932,55961955500,7334634,5,8000
2012-01-26,235,0.065,708,0.054,120784,0.051,0.128,114356000,-140473500,15501,-19056,56076311500,7350135,6,8000
2012-01-27,238,0.066,738,0.055,124052,0.051,0.139,136759500,22403500,17227,1726,56213071000,7367362,6,9000
2012-01-28,260,0.068,799,0.056,135558,0.053,0.312,335044000,198284500,42314,25087,56548115000,7409676,6,9000
