,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2019-12-19,1970,0.321,8730,0.445,1524383,0.507,0.295,3549081870,3477812870 ( 4879.8% ),450171,442319 ( 5633.2% ),3622079870,458270,1
1,2019-12-20,1934,0.321,9106,0.456,1591242,0.521,0.267,3651374520,102292650 ( 2.9% ),424215,-25956 ( -5.8% ),7273454390,882485,1
2,2019-12-21,1971,0.325,9901,0.474,1740756,0.546,0.459,7069348890,3417974370 ( 93.6% ),798673,374458 ( 88.3% ),14342803280,1681158,1
3,2019-12-22,1938,0.32,9625,0.469,1697002,0.543,0.459,6865704350,-203644540 ( -2.9% ),778099,-20574 ( -2.6% ),21208507630,2459257,1
4,2019-12-23,1853,0.319,9103,0.468,1613563,0.541,0.176,2274343480,-4591360870 ( -66.9% ),283573,-494526 ( -63.6% ),23482851110,2742830,1
5,2019-12-24,1640,0.253,7822,0.369,1377359,0.424,0.362,4058697280,1784353800 ( 78.5% ),498328,214755 ( 75.7% ),27541548390,3241158,1
6,2019-12-25,1628,0.233,7711,0.351,1367458,0.41,0.685,8198862750,4140165470 ( 102.0% ),936372,438044 ( 87.9% ),35740411140,4177530,1
7,2019-12-26,1399,0.206,5956,0.301,1071017,0.353,0.34,2245232140,-5953630610 ( -72.6% ),364128,-572244 ( -61.1% ),37985643280,4541658,1
8,2019-12-27,1377,0.204,6237,0.308,1136543,0.367,0.219,2162760670,-82471470 ( -3.7% ),248788,-115340 ( -31.7% ),40148403950,4790446,1
9,2019-12-28,1442,0.2,6727,0.319,1237392,0.384,0.388,4234153100,2071392430 ( 95.8% ),479545,230757 ( 92.8% ),44382557050,5269991,1
10,2019-12-29,1407,0.199,6593,0.319,1221569,0.387,0.387,4155093350,-79059750 ( -1.9% ),472663,-6882 ( -1.4% ),48537650400,5742654,1
11,2019-12-30,1373,0.203,6308,0.317,1164957,0.383,0.199,1838039400,-2317053950 ( -55.8% ),231654,-241009 ( -51.0% ),50375689800,5974308,1
12,2019-12-31,1281,0.187,6056,0.297,1122102,0.359,0.282,2530099970,692060570 ( 37.7% ),316194,84540 ( 36.5% ),52905789770,6290502,1
13,2020-01-01,1236,0.183,5845,0.288,1100575,0.355,0.453,4430968920,1900868950 ( 75.1% ),498802,182608 ( 57.8% ),57336758690,6789304,1
14,2020-01-02,1241,0.188,5536,0.285,1038200,0.348,0.12,997483800,-3433485120 ( -77.5% ),125013,-373789 ( -74.9% ),58334242490,6914317,1
15,2020-01-03,1193,0.182,5565,0.283,1045382,0.347,0.114,1035750260,38266460 ( 3.8% ),118696,-6317 ( -5.1% ),59369992750,7033013,1
16,2020-01-04,1222,0.183,5709,0.281,1070681,0.344,0.225,2128994980,1093244720 ( 105.6% ),241066,122370 ( 103.1% ),61498987730,7274079,1
17,2020-01-05,1215,0.182,5548,0.279,1041792,0.342,0.197,1809882740,-319112240 ( -15.0% ),205310,-35756 ( -14.8% ),63308870470,7479389,1
18,2020-01-06,1146,0.187,5088,0.276,959625,0.338,0.075,576165280,-1233717460 ( -68.2% ),71674,-133636 ( -65.1% ),63885035750,7551063,1
19,2020-01-07,1171,0.186,5046,0.274,947725,0.334,0.076,572810270,-3355010 ( -0.6% ),71911,237 ( 0.3% ),64457846020,7622974,1
20,2020-01-08,864,0.133,3374,0.177,563972,0.192,0.1,455463800,-117346470 ( -20.5% ),56626,-15285 ( -21.3% ),64913309820,7679600,3
21,2020-01-09,851,0.125,3230,0.171,541864,0.185,0.095,411452030,-44011770 ( -9.7% ),51441,-5185 ( -9.2% ),65324761850,7731041,2
22,2020-01-10,881,0.127,3284,0.17,537419,0.179,0.098,467789180,56337150 ( 13.7% ),52933,1492 ( 2.9% ),65792551030,7783974,2
23,2020-01-11,877,0.122,3298,0.161,523904,0.166,0.216,1009727790,541938610 ( 115.9% ),113154,60221 ( 113.8% ),66802278820,7897128,3
24,2020-01-12,865,0.121,3210,0.161,507581,0.165,0.196,885695930,-124031860 ( -12.3% ),99296,-13858 ( -12.2% ),67687974750,7996424,2
25,2020-01-13,801,0.124,3040,0.167,484648,0.171,0.071,276814260,-608881670 ( -68.7% ),34217,-65079 ( -65.5% ),67964789010,8030641,2
26,2020-01-14,819,0.124,3013,0.166,482614,0.17,0.067,260282090,-16532170 ( -6.0% ),32512,-1705 ( -5.0% ),68225071100,8063153,2
27,2020-01-15,598,0.093,1716,0.092,228533,0.078,0.092,167200060,-93082030 ( -35.8% ),21031,-11481 ( -35.3% ),68392271160,8084184,4
28,2020-01-16,623,0.095,1712,0.092,228119,0.078,0.083,150656960,-16543100 ( -9.9% ),19001,-2030 ( -9.7% ),68542928120,8103185,4
29,2020-01-17,615,0.094,1710,0.089,226954,0.076,0.085,169453780,18796820 ( 12.5% ),19377,376 ( 2.0% ),68712381900,8122562,4
30,2020-01-18,621,0.09,1665,0.082,216642,0.069,0.189,361291560,191837780 ( 113.2% ),40840,21463 ( 110.8% ),69073673460,8163402,4
31,2020-01-19,617,0.09,1632,0.083,211753,0.069,0.174,326328200,-34963360 ( -9.7% ),36915,-3925 ( -9.6% ),69400001660,8200317,4
32,2020-01-20,605,0.097,1571,0.088,206025,0.074,0.068,110874680,-215453520 ( -66.0% ),13935,-22980 ( -62.3% ),69510876340,8214252,4
33,2020-01-21,605,0.096,1573,0.088,206303,0.074,0.062,103232860,-7641820 ( -6.9% ),12843,-1092 ( -7.8% ),69614109200,8227095,4
34,2020-01-22,157,0.027,195,0.01,22636,0.007,0.088,15448120,-87784740 ( -85.0% ),1983,-10860 ( -84.6% ),69629557320,8229078,11
35,2020-01-23,150,0.025,192,0.009,22021,0.007,0.1,17562520,2114400 ( 13.7% ),2213,230 ( 11.6% ),69647119840,8231291,10
36,2020-01-24,123,0.02,158,0.007,17665,0.005,0.184,28677400,11114880 ( 63.3% ),3254,1041 ( 47.0% ),69675797240,8234545,10
37,2020-01-25,119,0.019,153,0.007,17511,0.005,0.241,38872120,10194720 ( 35.5% ),4225,971 ( 29.8% ),69714669360,8238770,9
38,2020-01-26,120,0.019,146,0.007,17269,0.005,0.215,32730680,-6141440 ( -15.8% ),3708,-517 ( -12.2% ),69747400040,8242478,10
39,2020-01-27,102,0.016,123,0.006,14578,0.004,0.19,23613400,-9117280 ( -27.9% ),2768,-940 ( -25.4% ),69771013440,8245246,11
40,2020-01-28,114,0.02,132,0.007,16014,0.005,0.055,7022360,-16591040 ( -70.3% ),882,-1886 ( -68.1% ),69778035800,8246128,13
41,2020-01-29,97,0.016,135,0.007,17178,0.006,0.07,9032480,2010120 ( 28.6% ),1199,317 ( 35.9% ),69787068280,8247327,13
42,2020-01-30,119,0.019,150,0.008,19444,0.007,0.037,4642700,-4389780 ( -48.6% ),726,-473 ( -39.4% ),69791710980,8248053,24
43,2020-01-31,111,0.018,144,0.007,18325,0.006,0.046,5173140,530440 ( 11.4% ),838,112 ( 15.4% ),69796884120,8248891,18
44,2020-02-01,118,0.018,142,0.007,17703,0.006,0.05,5746420,573280 ( 11.1% ),890,52 ( 6.2% ),69802630540,8249781,17
45,2020-02-02,107,0.017,127,0.007,15719,0.005,0.047,4784460,-961960 ( -16.7% ),733,-157 ( -17.6% ),69807415000,8250514,16
46,2020-02-03,79,0.014,97,0.006,11985,0.005,0.025,1887480,-2896980 ( -60.5% ),294,-439 ( -59.9% ),69809302480,8250808,25
47,2020-02-04,89,0.016,100,0.006,12851,0.005,0.027,2124840,237360 ( 12.6% ),344,50 ( 17.0% ),69811427320,8251152,23
