날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,가격
2022-05-18,2226,0.492,12159,0.671,1895922,0.708,0.247,4682804560,4682804560,467483,467483,6663672390,650417,1,13000
2022-05-19,2230,0.487,12071,0.67,1874655,0.704,0.195,3691412950,-991391610,366223,-101260,10355085340,1016640,1,13000
2022-05-20,2373,0.508,12985,0.687,1998214,0.72,0.262,5535528550,1844115600,523192,156969,15890613890,1539832,1,14000
2022-05-21,2498,0.498,14029,0.695,2158563,0.735,0.48,11053323700,5517795150,1037004,513812,26943937590,2576836,1,14000
2022-05-22,2496,0.503,13746,0.702,2113561,0.741,0.461,10312298400,-741025300,973821,-63183,37256235990,3550657,1,14000
2022-05-23,2285,0.539,12527,0.715,1952818,0.751,0.172,3401800740,-6910497660,336655,-637166,40658036730,3887312,1,13000
2022-05-24,2311,0.534,12533,0.714,1949494,0.751,0.145,2865738330,-536062410,283576,-53079,43523775060,4170888,1,13000
2022-05-25,2392,0.507,12737,0.7,2006049,0.75,0.171,2840694110,-25044220,342272,58696,46364469170,4513160,1,13000
2022-05-26,2376,0.491,12660,0.703,1985922,0.75,0.121,2420006200,-420687910,240641,-101631,48784475370,4753801,1,13000
2022-05-27,2421,0.493,13296,0.708,2085602,0.757,0.175,3859805700,1439799500,364472,123831,52644281070,5118273,1,14000
2022-05-28,2521,0.476,14238,0.711,2214102,0.761,0.349,8233968350,4374162650,772117,407645,60878249420,5890390,1,14000
2022-05-29,2520,0.467,13859,0.707,2157968,0.756,0.304,6961310870,-1272657480,656284,-115833,67839560290,6546674,1,14000
2022-05-30,2357,0.524,12613,0.725,1980310,0.768,0.102,2011949470,-4949361400,201418,-454866,69851509760,6748092,1,13000
2022-05-31,2407,0.51,12812,0.715,2005821,0.76,0.132,2642702620,630753150,265345,63927,72494212380,7013437,1,13000
2022-06-01,1305,0.226,5317,0.29,694490,0.266,0.667,4774754660,2132052040,463146,197801,77268967040,7476583,2,14000
2022-06-02,1307,0.253,5541,0.334,718335,0.3,0.214,1502494160,-3272260500,153395,-309751,78771461200,7629978,1,13000
2022-06-03,1553,0.287,6366,0.368,835317,0.336,0.263,2262720380,760226220,219326,65931,81034181580,7849304,1,14000
2022-06-04,1744,0.308,7648,0.405,1032133,0.383,0.452,4933049510,2670329130,466932,247606,85967231090,8316236,1,14000
2022-06-05,1786,0.315,7898,0.418,1072219,0.398,0.515,5809904520,876855010,552233,85301,91777135610,8868469,1,14000
2022-06-06,1771,0.322,7893,0.431,1091589,0.416,0.417,4723128710,-1086775810,455336,-96897,96500264320,9323805,1,14000
2022-06-07,1557,0.328,7344,0.458,1009071,0.432,0.135,1335486060,-3387642650,136510,-318826,97835750380,9460315,1,13000
2022-06-08,1249,0.271,5637,0.329,780810,0.313,0.147,1120337070,-215148990,114543,-21967,98956087450,9574858,2,13000
2022-06-09,1322,0.285,5918,0.348,828263,0.334,0.135,1097405520,-22931550,111857,-2686,100053492970,9686715,1,13000
2022-06-10,1409,0.298,6391,0.363,893892,0.349,0.164,1509984970,412579450,146311,34454,101563477940,9833026,1,14000
2022-06-11,1552,0.301,7301,0.384,1080176,0.393,0.314,3607947830,2097962860,339123,192812,105171425770,10172149,1,14000
2022-06-12,1543,0.304,7164,0.388,1063525,0.399,0.312,3498245300,-109702530,331554,-7569,108669671070,10503703,1,14000
2022-06-13,1400,0.327,6778,0.412,1003701,0.415,0.122,1213484230,-2284761070,122582,-208972,109883155300,10626285,1,13000
