날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,가격
2013-01-30,751,0.203,4020,0.312,852872,0.378,0.321,1914008000,916026500,273647,136611,2953168500,416398,1,8000
2013-01-31,776,0.212,4070,0.314,872689,0.386,0.347,2102952000,188944000,302765,29118,5056120500,719163,1,8000
2013-02-01,787,0.216,4252,0.324,894614,0.392,0.377,2508168052,405216052,337425,34660,7564288552,1056588,1,9000
2013-02-02,880,0.229,4641,0.332,946753,0.393,0.673,4825419569,2317251517,637036,299611,12389708121,1693624,1,9000
2013-02-03,894,0.234,4539,0.336,922090,0.395,0.605,4185578500,-639841069,557665,-79371,16575286621,2251289,1,9000
2013-02-04,800,0.23,4193,0.339,859929,0.398,0.241,1449961500,-2735617000,207279,-350386,18025248121,2458568,1,8000
2013-02-05,810,0.229,4221,0.34,869140,0.4,0.23,1377039000,-72922500,200053,-7226,19402287121,2658621,1,8000
2013-02-06,694,0.221,3527,0.268,672745,0.295,0.282,1305283000,-71756000,189668,-10385,20707570121,2848289,1,8000
2013-02-07,682,0.2,3458,0.259,662548,0.287,0.27,1250264500,-55018500,179104,-10564,21957834621,3027393,2,8000
2013-02-08,684,0.201,3686,0.263,705765,0.292,0.405,2147417510,897153010,285805,106701,24105252131,3313198,2,9000
2013-02-09,758,0.205,4003,0.27,756048,0.297,0.534,3090922506,943504996,403537,117732,27196174637,3716735,2,9000
2013-02-10,784,0.213,4060,0.278,762198,0.303,0.609,3638860500,547937994,463971,60434,30835035137,4180706,2,9000
2013-02-11,793,0.208,4008,0.274,748019,0.298,0.725,4106039500,467179000,542278,78307,34941074637,4722984,2,9000
2013-02-12,704,0.203,3645,0.265,691319,0.293,0.454,2151097500,-1954942000,314017,-228261,37092172137,5037001,2,8000
2013-02-13,699,0.205,3571,0.268,677059,0.294,0.232,1067397000,-1083700500,156932,-157085,38159569137,5193933,2,8000
2013-02-14,528,0.151,2668,0.196,516374,0.22,0.274,970016000,-97381000,141644,-15288,39129585137,5335577,2,9000
2013-02-15,530,0.153,2769,0.199,537568,0.224,0.266,1045642500,75626500,143090,1446,40175227637,5478667,2,10000
2013-02-16,575,0.154,3012,0.207,603184,0.242,0.446,2036549000,990906500,268764,125674,42211776637,5747431,2,10000
