,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2015-08-05,957,0.22,5096,0.319,916883,0.348,0.452,3129197200,3082161800,414219,409023,3332719600,439640,1
1,2015-08-06,942,0.213,5009,0.312,905532,0.343,0.447,3062333800,-66863400,404907,-9312,6395053400,844547,1
2,2015-08-07,984,0.216,5100,0.314,921369,0.344,0.519,3822836218,760502418,477754,72847,10217889618,1322301,1
3,2015-08-08,1034,0.223,5332,0.322,964650,0.353,0.742,5744084405,1921248187,715334,237580,15961974023,2037635,1
4,2015-08-09,1064,0.233,5349,0.328,971012,0.361,0.746,5819291900,75207495,723999,8665,21781265923,2761634,1
5,2015-08-10,1016,0.234,5226,0.333,965235,0.373,0.436,3180133300,-2639158600,420701,-303298,24961399223,3182335,1
6,2015-08-11,1040,0.231,5258,0.334,974081,0.376,0.419,3069469900,-110663400,407694,-13007,28030869123,3590029,1
7,2015-08-12,1057,0.239,5405,0.343,1014781,0.39,0.387,2960267600,-109202300,392815,-14879,30991136723,3982844,1
8,2015-08-13,907,0.195,4814,0.296,987971,0.367,0.412,3079775800,119508200,406788,13973,34070912523,4389632,1
9,2015-08-14,1034,0.207,5235,0.312,1068402,0.387,0.669,5721321489,2641545689,715051,308263,39792234012,5104683,1
10,2015-08-15,1115,0.215,5629,0.335,1140118,0.411,0.726,6658053353,936731864,827984,112933,46450287365,5932667,1
11,2015-08-16,1110,0.213,5523,0.336,1120502,0.413,0.635,5736846100,-921207253,711071,-116913,52187133465,6643738,1
12,2015-08-17,964,0.215,5054,0.327,1028312,0.403,0.302,2360041900,-3376804200,310651,-400420,54547175365,6954389,1
13,2015-08-18,973,0.212,5065,0.327,1031387,0.404,0.267,2085923100,-274118800,275747,-34904,56633098465,7230136,1
14,2015-08-19,983,0.214,5063,0.329,1024081,0.402,0.238,1852684700,-233238400,244240,-31507,58485783165,7474376,1
15,2015-08-20,813,0.171,4184,0.263,868041,0.33,0.258,1701067000,-151617700,223836,-20404,60186850165,7698212,1
16,2015-08-21,825,0.175,4331,0.269,898623,0.337,0.318,2311128525,610061525,285776,61940,62497978690,7983988,1
17,2015-08-22,906,0.181,4736,0.285,979831,0.358,0.547,4354341431,2043212906,535808,250032,66852320121,8519796,1
18,2015-08-23,892,0.181,4633,0.286,960194,0.359,0.546,4228577200,-125764231,524191,-11617,71080897321,9043987,1
19,2015-08-24,809,0.182,4240,0.282,876649,0.352,0.193,1285800600,-2942776600,169321,-354870,72366697921,9213308,1
20,2015-08-25,824,0.18,4228,0.283,871084,0.352,0.209,1372123700,86323100,181855,12534,73738821621,9395163,1
21,2015-08-26,836,0.18,4269,0.286,885524,0.358,0.226,1306119200,-66004500,200266,18411,75044940821,9595429,1
22,2015-08-27,839,0.187,4271,0.278,887913,0.351,0.156,1041683100,-264436100,138587,-61679,76086623921,9734016,1
23,2015-08-28,843,0.184,4428,0.282,917732,0.354,0.21,1541283577,499600477,192462,53875,77627907498,9926478,1
24,2015-08-29,876,0.176,4677,0.285,980453,0.364,0.464,3689736628,2148453051,454912,262450,81317644126,10381390,1
25,2015-08-30,873,0.179,4571,0.286,957675,0.365,0.452,3469678000,-220058628,432706,-22206,84787322126,10814096,1
26,2015-08-31,828,0.192,4262,0.285,881816,0.356,0.164,1072549100,-2397128900,144260,-288446,85859871226,10958356,1
27,2015-09-01,834,0.19,4223,0.287,873667,0.357,0.14,907287100,-165262000,122026,-22234,86767158326,11080382,1
28,2015-09-02,833,0.19,4203,0.287,868194,0.357,0.13,840111200,-67175900,112792,-9234,87607269526,11193174,1
29,2015-09-03,611,0.132,2748,0.181,494527,0.195,0.176,650953100,-189158100,87190,-25602,88258222626,11280364,2
30,2015-09-04,621,0.132,2864,0.183,513547,0.198,0.227,935572433,284619333,116808,29618,89193795059,11397172,2
31,2015-09-05,669,0.134,3200,0.195,571543,0.211,0.45,2099799473,1164227040,257263,140455,91293594532,11654435,2
32,2015-09-06,669,0.136,3131,0.196,555565,0.21,0.409,1840691800,-259107673,227365,-29898,93134286332,11881800,2
33,2015-09-07,612,0.136,2833,0.191,501114,0.202,0.134,499532200,-1341159600,67059,-160306,93633818532,11948859,2
34,2015-09-08,617,0.136,2820,0.192,499543,0.203,0.117,435645800,-63886400,58658,-8401,94069464332,12007517,2
35,2015-09-09,622,0.137,2806,0.191,496094,0.203,0.116,415730600,-19915200,57463,-1195,94485194932,12064980,2
36,2015-09-10,615,0.134,2810,0.191,491772,0.2,0.107,392834400,-22896200,52595,-4868,94878029332,12117575,2
37,2015-09-11,633,0.136,2928,0.192,511591,0.202,0.141,579609300,186774900,72154,19559,95457638632,12189729,2
38,2015-09-12,674,0.135,3213,0.198,569966,0.213,0.293,1366657200,787047900,167184,95030,96824295832,12356913,2
39,2015-09-13,658,0.134,3111,0.198,550288,0.211,0.255,1145612400,-221044800,140466,-26718,97969908232,12497379,2
40,2015-09-14,622,0.137,2823,0.197,494049,0.206,0.091,338333700,-807278700,45068,-95398,98308241932,12542447,2
41,2015-09-15,627,0.136,2808,0.198,491530,0.207,0.085,311391200,-26942500,41749,-3319,98619633132,12584196,2
42,2015-09-16,399,0.099,1322,0.091,168920,0.07,0.146,183204000,-128187200,24714,-17035,98802837132,12608910,3
43,2015-09-17,395,0.101,1270,0.088,156738,0.065,0.163,191005100,7801100,25570,856,98993842232,12634480,3
44,2015-09-18,405,0.101,1304,0.087,160615,0.065,0.197,254546115,63541015,31713,6143,99248388347,12666193,4
45,2015-09-19,423,0.101,1275,0.081,156486,0.06,0.395,508578103,254031988,61871,30158,99756966450,12728064,4
46,2015-09-20,424,0.102,1256,0.082,155069,0.061,0.379,478360400,-30217703,58782,-3089,100235326850,12786846,4
47,2015-09-21,404,0.107,1323,0.093,163386,0.069,0.144,175290100,-303070300,23500,-35282,100410616950,12810346,3
48,2015-09-22,408,0.105,1337,0.094,165561,0.07,0.137,169099000,-6191100,22619,-881,100579715950,12832965,3
49,2015-09-23,410,0.106,1345,0.095,168090,0.071,0.137,171887700,2788700,23035,416,100751603650,12856000,3
50,2015-09-24,253,0.06,506,0.033,64999,0.026,0.19,92068600,-79819100,12362,-10673,100843672250,12868362,7
51,2015-09-25,273,0.063,562,0.035,72217,0.027,0.341,196913100,104844500,24606,12244,101040585350,12892968,7
52,2015-09-26,320,0.066,659,0.039,86546,0.031,0.554,392813700,195900600,47951,23345,101433399050,12940919,6
53,2015-09-27,389,0.078,812,0.048,107739,0.039,0.699,627253900,234440200,75340,27389,102060652950,13016259,6
54,2015-09-28,453,0.086,984,0.057,137095,0.049,0.772,863787800,236533900,105903,30563,102924440750,13122162,6
55,2015-09-29,429,0.083,905,0.055,125799,0.046,0.7,707876600,-155911200,88104,-17799,103632317350,13210266,5
56,2015-09-30,272,0.059,576,0.038,75494,0.03,0.395,206451300,-501425300,29799,-58305,103838768650,13240065,5
57,2015-10-01,243,0.054,527,0.035,67841,0.027,0.272,113595500,-92855800,18426,-11373,103952364150,13258491,5
58,2015-10-02,255,0.055,567,0.037,72207,0.029,0.235,135335100,21739600,16941,-1485,104087699250,13275432,5
59,2015-10-03,294,0.058,690,0.043,90018,0.034,0.402,293779600,158444500,36165,19224,104381478850,13311597,5
60,2015-10-04,292,0.058,670,0.043,86960,0.034,0.339,239978300,-53801300,29470,-6695,104621457150,13341067,5
61,2015-10-05,272,0.062,636,0.045,82320,0.035,0.126,77031900,-162946400,10342,-19128,104698489050,13351409,5
62,2015-10-06,263,0.058,610,0.043,79300,0.034,0.121,71387500,-5644400,9616,-726,104769876550,13361025,5
63,2015-10-07,274,0.06,634,0.045,81902,0.035,0.123,75356200,3968700,10073,457,104845232750,13371098,5
64,2015-10-08,102,0.024,162,0.011,18981,0.008,0.195,27524600,-47831600,3703,-6370,104872757350,13374801,8
65,2015-10-09,106,0.023,180,0.011,21419,0.008,0.416,70903900,43379300,8921,5218,104943661250,13383722,9
66,2015-10-10,110,0.023,176,0.011,21360,0.008,0.365,63550700,-7353200,7786,-1135,105007211950,13391508,9
67,2015-10-11,105,0.022,170,0.011,20264,0.008,0.309,51269700,-12281000,6254,-1532,105058481650,13397762,9
68,2015-10-12,105,0.026,181,0.013,22340,0.01,0.084,13482000,-37787700,1867,-4387,105071963650,13399629,8
69,2015-10-13,106,0.026,177,0.013,22038,0.01,0.084,12494000,-988000,1845,-22,105084457650,13401474,9
70,2015-10-14,102,0.025,170,0.012,20911,0.009,0.093,10956500,-1537500,1940,95,105095414150,13403414,9
