날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,가격
2013-12-18,591,0.134,1603,0.132,302170,0.15,0.397,848513000,845533000,119949,119453,986563000,139892,1,9000
2013-12-19,811,0.198,3524,0.276,714254,0.336,0.325,1570269000,721756000,232031,112082,2556832000,371923,1,9000
2013-12-20,847,0.207,3807,0.287,766088,0.348,0.385,2124762000,554493000,294699,62668,4681594000,666622,1,10000
2013-12-21,923,0.211,4301,0.3,868575,0.366,0.623,4024913000,1900151000,541408,246709,8706507000,1208030,1,10000
2013-12-22,923,0.213,4205,0.301,851381,0.368,0.639,4030201500,5288500,543766,2358,12736708500,1751796,1,10000
2013-12-23,877,0.219,4003,0.31,817259,0.38,0.337,1894913500,-2135288000,275388,-268378,14631622000,2027184,1,9000
2013-12-24,840,0.189,4096,0.284,769023,0.323,0.581,3129499000,1234585500,446844,171456,17761121000,2474028,1,9000
2013-12-25,874,0.187,4093,0.274,769077,0.312,0.833,4717009000,1587510000,640624,193780,22478130000,3114652,1,10000
2013-12-26,831,0.186,3899,0.288,758247,0.338,0.366,1912729500,-2804279500,277583,-363041,24390859500,3392235,1,9000
2013-12-27,864,0.193,4138,0.297,806061,0.35,0.421,2472885000,560155500,338987,61404,26863744500,3731222,1,10000
2013-12-28,908,0.192,4423,0.303,880696,0.365,0.669,4362021000,1889136000,589020,250033,31225765500,4320242,1,10000
2013-12-29,911,0.194,4346,0.305,867176,0.369,0.665,4246111000,-115910000,576727,-12293,35471876500,4896969,1,10000
2013-12-30,860,0.201,4182,0.309,836877,0.375,0.388,2241073500,-2005037500,324659,-252068,37712950000,5221628,1,9000
2013-12-31,836,0.197,4297,0.288,879211,0.358,0.529,3240448000,999374500,465419,140760,40953398000,5687047,1,9000
2014-01-01,887,0.206,4448,0.303,914559,0.378,0.734,5079908000,1839460000,671427,206008,46033306000,6358474,1,10000
2014-01-02,827,0.198,4096,0.291,853332,0.367,0.309,1850933000,-3228975000,263381,-408046,47884239000,6621855,1,9000
2014-01-03,854,0.2,4228,0.295,875764,0.37,0.291,1915511000,64578000,254996,-8385,49799750000,6876851,1,10000
2014-01-04,925,0.212,4604,0.31,948866,0.387,0.545,3919826500,2004315500,516834,261838,53719576500,7393685,1,10000
2014-01-05,918,0.212,4484,0.31,925958,0.387,0.503,3487116000,-432710500,465470,-51364,57206692500,7859155,1,10000
2014-01-06,827,0.204,4074,0.3,849938,0.377,0.195,1165864000,-2321252000,165786,-299684,58372556500,8024941,1,9000
2014-01-07,830,0.2,4070,0.298,848477,0.375,0.191,1134065500,-31798500,161918,-3868,59506622000,8186859,1,9000
2014-01-08,830,0.202,4056,0.3,843922,0.376,0.181,1065946500,-68119000,152479,-9439,60572568500,8339338,1,9000
2014-01-09,718,0.163,3505,0.255,760556,0.334,0.164,873776000,-192170500,124551,-27928,61446344500,8463889,1,9000
2014-01-10,728,0.163,3614,0.257,783985,0.337,0.192,1131725000,257949000,150195,25644,62578069500,8614084,1,10000
2014-01-11,777,0.164,3742,0.255,805616,0.331,0.419,2559919500,1428194500,337871,187676,65137989000,8951955,1,10000
2014-01-12,769,0.164,3617,0.254,781075,0.33,0.398,2330938500,-228981000,311145,-26726,67468927500,9263100,1,10000
2014-01-13,704,0.164,3355,0.251,732928,0.33,0.146,748763500,-1582175000,106973,-204172,68217691000,9370073,1,9000
2014-01-14,695,0.16,3340,0.249,729536,0.328,0.144,725985000,-22778500,104935,-2038,68943676000,9475008,1,9000
