날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,가격
2018-10-31,811,0.136,2937,0.162,497769,0.175,0.222,760190950,756095950,110477,109922,835132950,120498,2,11000
2018-11-01,777,0.135,3018,0.172,527329,0.19,0.124,565879350,-194311600,65472,-45005,1401012300,185970,2,11000
2018-11-02,838,0.142,3227,0.178,564020,0.197,0.177,948085902,382206552,99555,34083,2349098202,285525,2,12000
2018-11-03,910,0.145,3602,0.189,613373,0.205,0.359,2083926361,1135840459,219900,120345,4433024563,505425,2,12000
2018-11-04,936,0.151,3662,0.197,626963,0.215,0.325,1902230050,-181696311,203898,-16002,6335254613,709323,2,12000
2018-11-05,882,0.162,3584,0.213,621820,0.232,0.129,685354050,-1216876000,80136,-123762,7020608663,789459,2,11000
2018-11-06,898,0.162,3631,0.217,628457,0.235,0.135,723283150,37929100,85040,4904,7743891813,874499,2,11000
2018-11-07,874,0.169,3477,0.201,596490,0.217,0.151,766841400,43558250,89874,4834,8510733213,964373,2,11000
2018-11-08,891,0.159,3383,0.195,581043,0.211,0.163,806737250,39895850,94697,4823,9317470463,1059070,2,11000
2018-11-09,960,0.168,3725,0.208,633476,0.223,0.237,1401045537,594308287,150117,55420,10718516000,1209187,2,12000
2018-11-10,1040,0.173,4312,0.227,721578,0.242,0.447,2998080301,1597034764,322326,172209,13716596301,1531513,2,12000
2018-11-11,1098,0.181,4383,0.235,730381,0.25,0.427,2871375300,-126705001,311652,-10674,16587971601,1843165,2,12000
2018-11-12,1002,0.194,4195,0.249,717646,0.267,0.152,930124000,-1941251300,109370,-202282,17518095601,1952535,2,11000
2018-11-13,1018,0.19,4235,0.251,717606,0.267,0.166,1002547950,72423950,119031,9661,18520643551,2071566,1,11000
2018-11-14,735,0.155,2812,0.165,400892,0.15,0.297,970597550,-31950400,119169,138,19491241101,2190735,2,11000
2018-11-15,807,0.143,2595,0.149,368399,0.134,0.356,1037072950,66475400,131138,11969,20528314051,2321873,2,11000
2018-11-16,888,0.16,3054,0.174,446681,0.162,0.382,1523160660,486087710,170462,39324,22051474711,2492335,2,12000
2018-11-17,1105,0.18,3818,0.208,569900,0.198,0.573,2950351360,1427190700,326368,155906,25001826071,2818703,2,12000
2018-11-18,1179,0.192,4057,0.227,610200,0.218,0.523,2865565300,-84786060,319315,-7053,27867391371,3138018,2,12000
2018-11-19,1048,0.202,4137,0.251,666823,0.257,0.203,1103435350,-1762129950,135596,-183719,28970826721,3273614,1,11000
2018-11-20,1109,0.202,4289,0.26,700394,0.269,0.186,1053530350,-49905000,130475,-5121,30024357071,3404089,1,11000
2018-11-21,1164,0.222,4866,0.296,848788,0.328,0.181,1227310550,173780200,153271,22796,31251667621,3557360,1,11000
2018-11-22,1026,0.189,4061,0.237,729360,0.27,0.181,1071685650,-155624900,131665,-21606,32323353271,3689025,2,11000
2018-11-23,1054,0.191,4344,0.246,787804,0.283,0.241,1699394218,627708568,189644,57979,34022747489,3878669,1,12000
2018-11-24,1136,0.196,5013,0.27,912371,0.314,0.433,3612363296,1912969078,395504,205860,37635110785,4274173,1,12000
2018-11-25,1121,0.195,4946,0.272,901665,0.317,0.411,3331716050,-280647246,370278,-25226,40966826835,4644451,1,12000
