날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,가격
2013-08-01,936,0.237,4765,0.317,955096,0.379,0.629,4150674000,1273367500,601029,182569,7144271500,1036175,1,9000
2013-08-02,1013,0.247,5102,0.334,1017515,0.398,0.618,4624176000,473502000,629024,27995,11768447500,1665199,1,10000
2013-08-03,1103,0.262,5577,0.358,1107396,0.425,0.766,6266868500,1642692500,848001,218977,18035316000,2513200,1,10000
2013-08-04,1128,0.268,5561,0.364,1098688,0.43,0.72,5843063000,-423805500,790669,-57332,23878379000,3303869,1,10000
2013-08-05,1040,0.265,5316,0.359,1069896,0.432,0.436,3233167500,-2609895500,466951,-323718,27111546500,3770820,1,9000
2013-08-06,1049,0.261,5334,0.361,1071297,0.433,0.364,2687285000,-545882500,390444,-76507,29798831500,4161264,1,9000
2013-08-07,1037,0.256,5296,0.356,1067660,0.43,0.339,2498488000,-188797000,362424,-28020,32297319500,4523688,1,9000
2013-08-08,1056,0.256,5324,0.356,1069617,0.429,0.308,2279830000,-218658000,329869,-32555,34577149500,4853557,1,9000
2013-08-09,1054,0.253,5417,0.355,1083862,0.427,0.34,2712670000,432840000,368390,38521,37289819500,5221947,1,10000
2013-08-10,1067,0.238,5464,0.349,1087184,0.417,0.596,4789738500,2077068500,648032,279642,42079558000,5869979,1,10000
2013-08-11,1049,0.236,5305,0.347,1056672,0.415,0.552,4294483000,-495255500,583412,-64620,46374041000,6453391,1,10000
2013-08-12,1015,0.253,5216,0.352,1041688,0.421,0.246,1759323500,-2535159500,256305,-327107,48133364500,6709696,1,9000
2013-08-13,1010,0.246,5181,0.35,1036418,0.419,0.227,1611700000,-147623500,235500,-20805,49745064500,6945196,1,9000
2013-08-14,635,0.162,3071,0.199,584894,0.228,0.342,1373881000,-237819000,199925,-35575,51118945500,7145121,3,9000
2013-08-15,614,0.152,2991,0.189,558257,0.212,0.625,2541819000,1167938000,349051,149126,53660764500,7494172,3,10000
2013-08-16,614,0.153,2928,0.187,534667,0.205,0.362,1412306500,-1129512500,193655,-155396,55073071000,7687827,3,10000
2013-08-17,603,0.144,2774,0.175,492705,0.186,0.55,1996481000,584174500,270845,77190,57069552000,7958672,3,10000
