날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,가격
2021-12-15,2816,0.554,12469,0.805,1955136,0.845,0.325,6255040780,6240382780,634962,633916,6269698780,636008,1,13000
2021-12-16,2795,0.549,12130,0.794,1906068,0.836,0.205,3896229970,-2358810810,391047,-243915,10165928750,1027055,1,13000
2021-12-17,2875,0.546,10825,0.776,1680959,0.817,0.246,4280753240,384523270,413779,22732,14446681990,1440834,1,14000
2021-12-18,2941,0.553,10256,0.779,1570367,0.818,0.412,6606369240,2325616000,646804,233025,21053051230,2087638,1,14000
2021-12-19,2948,0.553,10345,0.779,1581119,0.818,0.432,6938947490,332578250,682609,35805,27991998720,2770247,1,14000
2021-12-20,2801,0.58,9504,0.791,1480749,0.825,0.146,2150708350,-4788239140,216316,-466293,30142707070,2986563,1,13000
2021-12-21,2828,0.557,9458,0.775,1470427,0.811,0.133,1952195560,-198512790,196294,-20022,32094902630,3182857,1,13000
2021-12-22,1933,0.382,6143,0.476,968343,0.51,0.183,1731159880,-221035680,177471,-18823,33826062510,3360328,1,13000
2021-12-23,1954,0.384,6264,0.482,990730,0.516,0.168,1627070620,-104089260,166299,-11172,35453133130,3526627,1,13000
2021-12-24,2176,0.416,7048,0.526,1103131,0.559,0.236,2696576950,1069506330,260358,94059,38149710080,3786985,1,14000
2021-12-25,2363,0.417,7966,0.553,1254208,0.597,0.478,6088488850,3391911900,599308,338950,44238198930,4386293,1,14000
2021-12-26,2366,0.429,8047,0.567,1267987,0.611,0.348,4470488350,-1618000500,441265,-158043,48708687280,4827558,1,14000
2021-12-27,2146,0.435,7040,0.559,1135449,0.605,0.122,1358346700,-3112141650,139049,-302216,50067033980,4966607,1,13000
2021-12-28,2167,0.428,6965,0.553,1127795,0.603,0.105,1148986350,-209360350,118122,-20927,51216020330,5084729,1,13000
2021-12-29,2043,0.385,6695,0.51,1106110,0.574,0.133,1227435020,78448670,147576,29454,52443455350,5232305,1,13000
2021-12-30,2049,0.383,6690,0.51,1107942,0.576,0.124,1329234560,101799540,137468,-10108,53772689910,5369773,1,13000
2021-12-31,2082,0.385,6906,0.513,1141170,0.579,0.168,1924723850,595489290,191167,53699,55697413760,5560940,1,14000
2022-01-01,2160,0.405,7348,0.537,1207424,0.605,0.24,2982893860,1058170010,289260,98093,58680307620,5850200,1,14000
2022-01-02,2162,0.406,7349,0.541,1209116,0.61,0.186,2318341070,-664552790,225436,-63824,60998648690,6075636,1,14000
2022-01-03,1988,0.43,6846,0.551,1143632,0.615,0.058,668322720,-1650018350,66829,-158607,61666971410,6142465,1,13000
2022-01-04,1994,0.426,6722,0.547,1122479,0.613,0.053,598472110,-69850610,59963,-6866,62265443520,6202428,1,13000
2022-01-05,1357,0.265,4314,0.295,731509,0.339,0.069,507028380,-91443730,50399,-9564,62772471900,6252827,2,13000
2022-01-06,1350,0.263,4256,0.296,715887,0.337,0.066,476462140,-30566240,47165,-3234,63248934040,6299992,1,13000
2022-01-07,1359,0.266,4332,0.299,727990,0.34,0.077,598141550,121679410,56237,9072,63847075590,6356229,1,14000
2022-01-08,1403,0.262,4651,0.294,760203,0.328,0.165,1335301560,737160010,125780,69543,65182377150,6482009,1,14000
2022-01-09,1408,0.261,4680,0.295,766805,0.33,0.155,1249277740,-86023820,118608,-7172,66431654890,6600617,1,14000
2022-01-10,1305,0.272,4123,0.305,682142,0.337,0.056,389512520,-859765220,38120,-80488,66821167410,6638737,1,13000
2022-01-11,1316,0.271,4109,0.303,678681,0.336,0.055,383053390,-6459130,37385,-735,67204220800,6676122,1,13000
2022-01-12,748,0.127,1957,0.133,305927,0.14,0.085,250931050,-132122340,25984,-11401,67455151850,6702106,2,13000
2022-01-13,767,0.13,1983,0.139,308059,0.145,0.082,243039090,-7891960,25268,-716,67698190940,6727374,2,13000
2022-01-14,909,0.151,2289,0.159,356604,0.166,0.089,326358460,83319370,31737,6469,68024549400,6759111,2,14000
2022-01-15,1084,0.167,2831,0.18,454798,0.197,0.158,741433450,415074990,71653,39916,68765982850,6830764,1,14000
2022-01-16,1104,0.171,2876,0.183,465455,0.202,0.147,701678630,-39754820,68580,-3073,69467661480,6899344,1,14000
2022-01-17,983,0.178,2663,0.206,452246,0.232,0.054,217177970,-484500660,24491,-44089,69684839450,6923835,1,13000
2022-01-18,1021,0.175,2769,0.207,463215,0.232,0.065,263413980,46236010,29949,5458,69948253430,6953784,1,13000
2022-01-19,1092,0.183,3105,0.228,543307,0.267,0.051,246788090,-16625890,27622,-2327,70195041520,6981406,1,13000
2022-01-20,1098,0.179,3087,0.228,541014,0.267,0.049,237571680,-9216410,26507,-1115,70432613200,7007913,1,13000
2022-01-21,1136,0.186,3228,0.238,565872,0.281,0.056,286449810,48878130,31569,5062,70719063010,7039482,1,14000
2022-01-22,1210,0.186,3702,0.241,645400,0.286,0.105,612965230,326515420,67638,36069,71332028240,7107120,1,14000
2022-01-23,1218,0.189,3701,0.242,646324,0.288,0.097,561699980,-51265250,62406,-5232,71893728220,7169526,1,14000
2022-01-24,1089,0.192,3094,0.253,553524,0.3,0.036,178220370,-383479610,20007,-42399,72071948590,7189533,1,13000
2022-01-25,1096,0.187,3060,0.248,546025,0.295,0.036,176927560,-1292810,19696,-311,72248876150,7209229,1,13000
2022-01-26,525,0.103,1158,0.078,138917,0.063,0.086,90846940,-86080620,11910,-7786,72339723090,7221139,3,13000
2022-01-27,524,0.095,1072,0.073,128736,0.059,0.08,88038410,-2808530,10342,-1568,72427761500,7231481,3,13000
2022-01-28,578,0.103,1194,0.08,147971,0.067,0.13,161793350,73754940,19166,8824,72589554850,7250647,3,14000
2022-01-29,678,0.115,1431,0.089,179082,0.076,0.151,234915250,73121900,27094,7928,72824470100,7277741,3,14000
2022-01-30,690,0.116,1472,0.091,183872,0.077,0.16,253693100,18777850,29378,2284,73078163200,7307119,3,14000
2022-01-31,712,0.123,1557,0.098,202307,0.086,0.146,257264130,3571030,29533,155,73335427330,7336652,3,14000
2022-02-01,719,0.129,1540,0.1,198872,0.088,0.145,251705560,-5558570,28780,-753,73587132890,7365432,3,14000
2022-02-02,739,0.126,1604,0.099,207851,0.088,0.136,243932670,-7772890,28301,-479,73831065560,7393733,3,14000
2022-02-03,626,0.124,1482,0.11,199954,0.1,0.052,88616190,-155316480,10475,-17826,73919681750,7404208,3,13000
2022-02-04,638,0.125,1484,0.112,199776,0.102,0.051,87200410,-1415780,10277,-198,74006882160,7414485,3,14000
2022-02-05,682,0.124,1631,0.109,218998,0.1,0.086,162486860,75286450,18875,8598,74169369020,7433360,3,14000
2022-02-06,682,0.125,1605,0.109,217408,0.101,0.074,139383100,-23103760,16160,-2715,74308752120,7449520,3,14000
2022-02-07,602,0.134,1328,0.123,186479,0.113,0.032,50914210,-88468890,5911,-10249,74359666330,7455431,3,13000
2022-02-08,605,0.13,1321,0.124,186287,0.116,0.031,49856090,-1058120,5852,-59,74409522420,7461283,3,13000
2022-02-09,426,0.085,699,0.057,93700,0.051,0.037,29043770,-20812320,3426,-2426,74438566190,7464709,8,13000
2022-02-10,426,0.081,664,0.055,87649,0.049,0.037,27991860,-1051910,3264,-162,74466558050,7467973,6,13000
2022-02-11,448,0.084,704,0.059,91705,0.051,0.046,36368010,8376150,4214,950,74502926060,7472187,5,14000
2022-02-12,500,0.083,834,0.059,107302,0.052,0.081,75374260,39006250,8672,4458,74578300320,7480859,4,14000
2022-02-13,504,0.084,843,0.06,110160,0.053,0.079,75556400,182140,8716,44,74653856720,7489575,4,14000
