,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2017-12-20,1538,0.298,6818,0.415,1241431,0.468,0.327,2984150800,2979626800,406365,405713,3111183000,422564,1
1,2017-12-21,1582,0.281,6955,0.417,1268206,0.472,0.317,2974413400,-9737400,401449,-4916,6085596400,824013,1
2,2017-12-22,1653,0.289,7458,0.434,1356053,0.491,0.367,4062412398,1087998998,497810,96361,10148008798,1321823,1
3,2017-12-23,1818,0.288,8426,0.451,1524741,0.512,0.635,8037759271,3975346873,968372,470562,18185768069,2290195,1
4,2017-12-24,1887,0.3,8801,0.467,1583500,0.528,0.801,10584623400,2546864129,1268537,300165,28770391469,3558732,1
5,2017-12-25,1912,0.304,8641,0.47,1553426,0.531,0.781,10020464250,-564159150,1212822,-55715,38790855719,4771554,1
6,2017-12-26,1662,0.296,7816,0.461,1429039,0.527,0.301,3195369100,-6825095150,430026,-782796,41986224819,5201580,1
7,2017-12-27,1428,0.263,5998,0.351,1036940,0.378,0.477,3021329100,-174040000,495106,65080,45007553919,5696686,1
8,2017-12-28,1505,0.274,6547,0.379,1143798,0.414,0.33,2803729600,-217599500,377807,-117299,47811283519,6074493,1
9,2017-12-29,1565,0.28,7190,0.403,1272651,0.446,0.419,4414381670,1610652070,532755,154948,52225665189,6607248,1
10,2017-12-30,1666,0.288,8257,0.443,1488874,0.502,0.61,7556661043,3142279373,908290,375535,59782326232,7515538,1
11,2017-12-31,1663,0.288,8332,0.446,1509200,0.507,0.678,8568170200,1011509157,1023957,115667,68350496432,8539495,1
12,2018-01-01,1644,0.29,7957,0.443,1448553,0.507,0.633,7715149100,-853021100,916652,-107305,76065645532,9456147,1
13,2018-01-02,1446,0.271,7019,0.406,1307465,0.474,0.225,2205440800,-5509708300,294339,-622313,78271086332,9750486,1
14,2018-01-03,1241,0.233,5724,0.328,1082762,0.389,0.199,1622619700,-582821100,215987,-78352,79893706032,9966473,1
15,2018-01-04,1226,0.219,5525,0.315,1051108,0.375,0.206,1629898600,7278900,217032,1045,81523604632,10183505,1
16,2018-01-05,1211,0.216,5497,0.308,1036687,0.364,0.259,2251471243,621572643,268181,51149,83775075875,10451686,1
17,2018-01-06,1260,0.217,5536,0.301,1026761,0.35,0.534,4605271262,2353800019,548337,280156,88380347137,11000023,1
18,2018-01-07,1258,0.219,5464,0.302,1011280,0.35,0.497,4191233200,-414038062,502236,-46101,92571580337,11502259,1
19,2018-01-08,1171,0.223,5192,0.302,967050,0.35,0.18,1307197900,-2884035300,174358,-327878,93878778237,11676617,2
20,2018-01-09,1182,0.22,5155,0.3,960154,0.348,0.163,1165823200,-141374700,156343,-18015,95044601437,11832960,2
21,2018-01-10,1170,0.217,5039,0.296,925659,0.339,0.153,1061472000,-104351200,141824,-14519,96106073437,11974784,2
22,2018-01-11,891,0.155,3514,0.202,648951,0.233,0.19,926864200,-134607800,123571,-18253,97032937637,12098355,2
23,2018-01-12,920,0.157,3623,0.206,659850,0.234,0.222,1231166700,304302500,146494,22923,98264104337,12244849,2
24,2018-01-13,984,0.16,3720,0.204,651998,0.223,0.476,2606083100,1374916400,310297,163803,100870187437,12555146,2
25,2018-01-14,985,0.161,3641,0.204,638009,0.224,0.453,2416452300,-189630800,288900,-21397,103286639737,12844046,3
26,2018-01-15,910,0.161,3501,0.207,609358,0.224,0.164,747381200,-1669071100,100000,-188900,104034020937,12944046,3
27,2018-01-16,948,0.163,3493,0.207,607319,0.224,0.157,700064700,-47316500,95401,-4599,104734085637,13039447,3
28,2018-01-17,619,0.111,2143,0.126,306237,0.112,0.232,530117300,-169947400,71179,-24222,105264202937,13110626,5
29,2018-01-18,645,0.111,2126,0.124,300739,0.109,0.229,507995300,-22122000,68978,-2201,105772198237,13179604,5
30,2018-01-19,645,0.111,2129,0.122,300759,0.107,0.253,634859200,126863900,76062,7084,106407057437,13255666,5
31,2018-01-20,650,0.109,2127,0.118,297080,0.103,0.503,1249720800,614861600,149485,73423,107656778237,13405151,5
