날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,가격
2003-12-24,15,0.231,104,0.286,27362,0.331,0.781,135958000,64854000,21361,10238,217683500,34079,1,
2003-12-25,15,0.254,103,0.288,27899,0.343,0.806,144917500,8959500,22498,1137,362601000,56577,1,
2003-12-26,15,0.246,96,0.277,26685,0.337,0.652,104087000,-40830500,17411,-5087,466688000,73988,1,
2003-12-27,17,0.274,102,0.291,27675,0.348,0.717,128931000,24844000,19854,2443,595619000,93842,1,
2003-12-28,17,0.279,103,0.305,27423,0.357,0.761,135319500,6388500,20871,1017,730938500,114713,1,
2003-12-29,14,0.25,89,0.273,24750,0.333,0.594,93767000,-41552500,14694,-6177,824705500,129407,1,
2003-12-30,14,0.255,81,0.245,21643,0.284,0.625,86331500,-7435500,13525,-1169,911037000,142932,1,
2003-12-31,19,0.275,109,0.295,25627,0.298,0.667,107651000,21319500,17099,3574,1018688000,160031,1,
2004-01-01,51,0.331,309,0.363,71025,0.398,0.741,335967000,228316000,52617,35518,1354655000,212648,1,7000.0
2004-01-02,50,0.329,289,0.352,66831,0.385,0.72,299345000,-36622000,48100,-4517,1654000000,260748,1,7000.0
2004-01-03,50,0.327,298,0.359,68355,0.394,0.833,363085500,63740500,56907,8807,2017085500,317655,1,7000.0
2004-01-04,50,0.329,295,0.359,67688,0.394,0.83,357439000,-5646500,56194,-713,2374524500,373849,1,7000.0
2004-01-05,47,0.315,266,0.333,64989,0.377,0.527,218834500,-138604500,34234,-21960,2593359000,408083,1,7000.0
2004-01-06,49,0.32,270,0.337,65433,0.382,0.51,213119500,-5715000,33346,-888,2806478500,441429,1,7000.0
2004-01-07,47,0.311,266,0.335,65644,0.383,0.487,204337500,-8782000,31945,-1401,3010816000,473374,1,7000.0
2004-01-08,44,0.282,253,0.319,62165,0.368,0.492,193467000,-10870500,30614,-1331,3204283000,503988,1,7000.0
2004-01-09,43,0.276,263,0.318,66398,0.377,0.553,227242000,33775000,36705,6091,3431525000,540693,1,7000.0
2004-01-10,44,0.28,265,0.32,67654,0.382,0.789,342999500,115757500,53379,16674,3774524500,594072,1,7000.0
2004-01-11,44,0.286,260,0.32,66562,0.383,0.806,343325000,325500,53640,261,4117849500,647712,1,7000.0
2004-01-12,43,0.269,243,0.316,63294,0.384,0.444,179195500,-164129500,28129,-25511,4297045000,675841,1,7000.0
2004-01-13,43,0.293,243,0.322,63476,0.394,0.447,181251000,2055500,28374,245,4478296000,704215,1,7000.0
2004-01-14,44,0.28,239,0.305,61928,0.368,0.464,183065000,1814000,28723,349,4661361000,732938,1,7000.0
2004-01-15,24,0.139,138,0.151,38280,0.199,0.579,141210500,-41854500,22179,-6544,4802571500,755117,2,7000.0
2004-01-16,28,0.156,154,0.159,39019,0.194,0.66,160368000,19157500,25739,3560,4962939500,780856,2,7000.0
2004-01-17,35,0.182,175,0.173,43774,0.208,0.817,229437000,69069000,35748,10009,5192376500,816604,2,7000.0
2004-01-18,35,0.182,171,0.174,42302,0.209,0.853,229601000,164000,36075,327,5421977500,852679,2,7000.0
2004-01-19,31,0.175,158,0.169,39132,0.202,0.551,137483000,-92118000,21557,-14518,5559460500,874236,2,7000.0
2004-01-20,30,0.163,170,0.174,40374,0.199,0.61,156627500,19144500,24609,3052,5716088000,898845,2,7000.0
2004-01-21,32,0.176,174,0.177,42516,0.21,0.757,206805000,50177500,32190,7581,5922893000,931035,2,7000.0
2004-01-22,33,0.182,177,0.181,43178,0.213,0.839,235297000,28492000,36238,4048,6158190000,967273,1,7000.0
2004-01-23,34,0.184,180,0.18,43807,0.213,0.949,261237500,25940500,41558,5320,6419427500,1008831,2,7000.0
2004-01-24,35,0.188,184,0.184,44615,0.216,0.942,268104500,6867000,42021,463,6687532000,1050852,2,7000.0
2004-01-25,33,0.182,171,0.179,41338,0.211,0.89,234939500,-33165000,36803,-5218,6922471500,1087655,2,7000.0
2004-01-26,32,0.179,163,0.176,39173,0.205,0.509,127169000,-107770500,19941,-16862,7049640500,1107596,1,7000.0
2004-01-27,31,0.176,168,0.181,39737,0.209,0.483,121823500,-5345500,19185,-756,7171464000,1126781,1,7000.0
2004-01-28,31,0.176,173,0.184,40993,0.213,0.451,117671000,-4152500,18473,-712,7289135000,1145254,1,7000.0
2004-01-29,27,0.154,150,0.156,42762,0.22,0.399,107756500,-9914500,17079,-1394,7396891500,1162333,1,7000.0
2004-01-30,28,0.161,154,0.156,43838,0.22,0.471,127152500,19396000,20630,3551,7524044000,1182963,1,7000.0
2004-01-31,30,0.169,162,0.162,44926,0.223,0.759,218833500,91681000,34110,13480,7742877500,1217073,1,7000.0
2004-02-01,30,0.169,157,0.161,43473,0.222,0.822,227611500,8778000,35733,1623,7970489000,1252806,1,7000.0
2004-02-02,28,0.151,153,0.157,41623,0.214,0.448,118214500,-109397000,18648,-17085,8088703500,1271454,1,7000.0
2004-02-03,35,0.142,163,0.157,42588,0.211,0.431,115955000,-2259500,18367,-281,8204658500,1289821,1,7000.0
2004-02-04,29,0.132,154,0.146,36270,0.176,0.404,92456000,-23499000,14661,-3706,8297114500,1304482,2,7000.0
2004-02-05,32,0.15,177,0.167,34506,0.167,0.428,92752500,296500,14782,121,8389867000,1319264,2,7000.0
2004-02-06,31,0.141,178,0.165,35455,0.169,0.492,108058500,15306000,17437,2655,8497925500,1336701,2,7000.0
2004-02-07,34,0.141,182,0.164,34927,0.163,0.79,176707500,68649000,27589,10152,8674633000,1364290,2,7000.0
2004-02-08,32,0.135,174,0.162,33159,0.16,0.834,176510000,-197500,27657,68,8851143000,1391947,2,7000.0
2004-02-09,31,0.14,164,0.161,31070,0.156,0.413,81140500,-95369500,12834,-14823,8932283500,1404781,2,7000.0
2004-02-10,31,0.136,166,0.156,31699,0.153,0.36,72017000,-9123500,11417,-1417,9004300500,1416198,2,7000.0
2004-02-11,32,0.134,169,0.155,33111,0.156,0.329,68627000,-3390000,10883,-534,9072927500,1427081,2,7000.0
2004-02-12,30,0.132,164,0.154,29847,0.144,0.329,61488500,-7138500,9809,-1074,9134416000,1436890,2,7000.0
2004-02-13,30,0.128,172,0.151,30589,0.139,0.375,71402500,9914000,11475,1666,9205818500,1448365,2,7000.0
2004-02-14,29,0.117,169,0.144,30564,0.136,0.647,127251000,55848500,19775,8300,9333069500,1468140,2,7000.0
2004-02-15,28,0.117,158,0.141,28544,0.132,0.697,127306000,55000,19904,129,9460375500,1488044,2,7000.0
2004-02-16,29,0.132,159,0.152,28977,0.142,0.281,51050000,-76256000,8138,-11766,9511425500,1496182,2,7000.0
2004-02-17,28,0.131,158,0.155,27873,0.139,0.323,56488500,5438500,9005,867,9567914000,1505187,2,7000.0
2004-02-18,29,0.134,160,0.154,28235,0.138,0.3,53083500,-3405000,8473,-532,9620997500,1513660,2,7000.0
2004-02-19,24,0.124,140,0.13,22858,0.107,0.361,51643500,-1440000,8243,-230,9672641000,1521903,4,7000.0
2004-02-20,22,0.111,134,0.117,20344,0.091,0.516,65345500,13702000,10493,2250,9737986500,1532396,4,7000.0
2004-02-21,23,0.108,134,0.115,18742,0.083,0.813,96718500,31373000,15235,4742,9834705000,1547631,4,7000.0
2004-02-22,24,0.117,132,0.117,18236,0.083,0.896,103438500,6720000,16337,1102,9938143500,1563968,4,7000.0
2004-02-23,24,0.122,138,0.128,19393,0.091,0.431,52352500,-51086000,8363,-7974,9990496000,1572331,4,7000.0
2004-02-24,26,0.13,139,0.127,19876,0.093,0.404,50171500,-2181000,8034,-329,10040667500,1580365,4,7000.0
2004-02-25,26,0.132,139,0.128,20421,0.097,0.376,47773000,-2398500,7670,-364,10088440500,1588035,4,7000.0
2004-02-26,26,0.116,132,0.116,20845,0.095,0.339,43926000,-3847000,7064,-606,10132366500,1595099,4,7000.0
2004-02-27,25,0.107,143,0.116,22095,0.096,0.353,47863000,3937000,7790,726,10180229500,1602889,4,7000.0
2004-02-28,26,0.106,141,0.112,21461,0.093,0.616,84691500,36828500,13230,5440,10264921000,1616119,4,7000.0
2004-02-29,26,0.107,141,0.112,21430,0.093,0.765,104754000,20062500,16390,3160,10369675000,1632509,4,7000.0
2004-03-01,26,0.108,133,0.111,19836,0.091,0.666,84150500,-20603500,13208,-3182,10453825500,1645717,4,7000.0
2004-03-02,22,0.097,125,0.11,19204,0.091,0.191,23435500,-60715000,3665,-9543,10477261000,1649382,4,7000.0
2004-03-03,22,0.098,126,0.111,19332,0.093,0.176,21756500,-1679000,3411,-254,10499017500,1652793,4,7000.0
2004-03-04,22,0.101,104,0.091,14565,0.069,0.201,18420000,-3336500,2927,-484,10517437500,1655720,5,7000.0
2004-03-05,21,0.1,111,0.09,15840,0.07,0.232,23142500,4722500,3673,746,10540580000,1659393,5,7000.0
2004-03-06,22,0.1,115,0.093,15989,0.07,0.432,44610000,21467500,6909,3236,10585190000,1666302,6,7000.0
2004-03-07,21,0.098,104,0.088,14004,0.065,0.552,50008000,5398000,7735,826,10635198000,1674037,5,7000.0
2004-03-08,20,0.101,97,0.09,12558,0.063,0.184,14702500,-35305500,2312,-5423,10649900500,1676349,5,7000.0
2004-03-09,20,0.094,100,0.088,12861,0.061,0.201,16356000,1653500,2591,279,10666256500,1678940,5,7000.0
2004-03-10,21,0.101,103,0.091,13313,0.063,0.186,15684500,-671500,2478,-113,10681941000,1681418,6,7000.0
2004-03-11,18,0.087,84,0.072,11270,0.052,0.182,12963500,-2721000,2049,-429,10694904500,1683467,7,7000.0
2004-03-12,19,0.089,85,0.069,11373,0.049,0.205,14237500,1274000,2326,277,10709142000,1685793,8,7000.0
2004-03-13,20,0.09,95,0.075,12411,0.052,0.382,30877500,16640000,4746,2420,10740019500,1690539,7,7000.0
2004-03-14,20,0.089,91,0.073,11757,0.051,0.446,34114500,3237000,5247,501,10774134000,1695786,8,7000.0
2004-03-15,19,0.09,87,0.075,11567,0.053,0.152,11162000,-22952500,1755,-3492,10785296000,1697541,7,7000.0
2004-03-16,19,0.089,87,0.074,11553,0.053,0.137,10058500,-1103500,1580,-175,10795354500,1699121,7,7000.0
2004-03-17,19,0.09,85,0.072,11500,0.052,0.155,11266000,1207500,1783,203,10806620500,1700904,7,7000.0
2004-03-18,14,0.068,54,0.046,6848,0.031,0.164,7080000,-4186000,1122,-661,10813700500,1702026,9,7000.0
2004-03-19,14,0.067,53,0.044,6512,0.029,0.241,9682500,2602500,1571,449,10823383000,1703597,10,7000.0
2004-03-20,14,0.065,54,0.042,6470,0.027,0.404,17029500,7347000,2612,1041,10840412500,1706209,10,7000.0
2004-03-21,14,0.065,53,0.043,6314,0.028,0.44,17909000,879500 ( 5.2% ),2776,164 ( 6.3% ),10858321500,1708985,9,7000.0
2004-03-22,13,0.062,53,0.046,6331,0.029,0.173,7014500,-10894500 ( -60.8% ),1093,-1683 ( -60.6% ),10865336000,1710078,10,7000.0
2004-03-23,13,0.063,52,0.046,6136,0.029,0.159,6242500,-772000 ( -11.0% ),975,-118 ( -10.8% ),10871578500,1711053,10,7000.0
2004-03-24,13,0.061,50,0.044,6331,0.03,0.151,6103500,-139000 ( -2.2% ),953,-22 ( -2.3% ),10877682000,1712006,10,7000.0
2004-03-25,12,0.054,43,0.036,5947,0.026,0.135,5033000,-1070500 ( -17.5% ),803,-150 ( -15.7% ),10882715000,1712809,12,7000.0
2004-03-26,10,0.045,39,0.031,5390,0.023,0.187,6273000,1240000 ( 24.6% ),1007,204 ( 25.4% ),10888988000,1713816,13,7000.0
2004-03-27,11,0.048,39,0.03,5288,0.022,0.311,10883500,4610500 ( 73.5% ),1646,639 ( 63.5% ),10899871500,1715462,11,7000.0
2004-03-28,10,0.043,38,0.03,5107,0.021,0.306,10398000,-485500 ( -4.5% ),1563,-83 ( -5.0% ),10910269500,1717025,11,7000.0
2004-03-29,10,0.045,36,0.031,4338,0.02,0.156,4337500,-6060500 ( -58.3% ),678,-885 ( -56.6% ),10914607000,1717703,10,7000.0
2004-03-30,10,0.043,37,0.031,4544,0.02,0.142,4076000,-261500 ( -6.0% ),643,-35 ( -5.2% ),10918683000,1718346,11,7000.0
2004-03-31,10,0.04,36,0.031,4670,0.021,0.138,4118000,42000 ( 1.0% ),645,2 ( 0.3% ),10922801000,1718991,11,7000.0
