날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,가격
2009-12-17,724,0.267,3275,0.299,750478,0.39,0.274,1704532500,1114320000,205303,135960,2305245000,275696,1,8000
2009-12-18,765,0.275,3465,0.304,784878,0.395,0.316,2114380000,409847500,247836,42533,4419625000,523532,1,9000
2009-12-19,917,0.298,3986,0.332,880114,0.42,0.629,4506282500,2391902500,553246,305410,8925907500,1076778,1,9000
2009-12-20,861,0.289,3844,0.33,848063,0.418,0.697,4806380500,300098000,590767,37521,13732288000,1667545,1,9000
2009-12-21,715,0.266,3326,0.307,758279,0.398,0.267,1766510500,-3039870000,202811,-387956,15498798500,1870356,1,8000
2009-12-22,736,0.235,3270,0.302,729957,0.383,0.27,1699624000,-66886500,197348,-5463,17198422500,2067704,1,8000
2009-12-23,639,0.248,2867,0.257,574765,0.291,0.321,1600486000,-99138000,184713,-12635,18798908500,2252417,1,8000
2009-12-24,676,0.253,3209,0.258,641722,0.292,0.579,3152187000,1551701000,371288,186575,21951095500,2623705,1,8000
2009-12-25,726,0.259,3466,0.27,688121,0.305,0.875,4891223000,1739036000,602123,230835,26842318500,3225828,1,9000
2009-12-26,727,0.26,3462,0.275,703041,0.318,0.77,4480779500,-410443500,541408,-60715,31323098000,3767236,1,9000
2009-12-27,722,0.263,3255,0.275,666273,0.318,0.668,3725821000,-754958500,445384,-96024,35048919000,4212620,1,9000
2009-12-28,638,0.252,2917,0.263,611383,0.311,0.328,1805654000,-1920167000,200233,-245151,36854573000,4412853,1,8000
2009-12-29,652,0.252,2950,0.264,615496,0.312,0.327,1794092000,-11562000,201280,1047,38648665000,4614133,1,8000
2009-12-30,632,0.225,2913,0.254,618321,0.306,0.342,1900017500,105925500,211480,10200,40548682500,4825613,1,8000
2009-12-31,669,0.253,3261,0.26,704064,0.319,0.462,2892482000,992464500,325054,113574,43441164500,5150667,1,8000
2010-01-01,707,0.261,3424,0.271,731393,0.33,0.741,4632694000,1740212000,542043,216989,48073858500,5692710,1,9000
2010-01-02,714,0.261,3436,0.272,735295,0.332,0.714,4498893500,-133800500,525321,-16722,52572752000,6218031,1,9000
2010-01-03,701,0.259,3225,0.27,692051,0.33,0.61,3653625000,-845268500,421861,-103460,56226377000,6639892,1,9000
2010-01-04,641,0.25,2927,0.264,635553,0.323,0.244,1498596500,-2155028500,155207,-266654,57724973500,6795099,1,8000
2010-01-05,637,0.245,2914,0.262,630897,0.32,0.228,1395756000,-102840500,144073,-11134,59120729500,6939172,1,8000
2010-01-06,642,0.248,2905,0.263,628178,0.322,0.208,1275029500,-120726500,130557,-13516,60395759000,7069729,1,8000
2010-01-07,561,0.213,2540,0.218,552691,0.269,0.224,1232975500,-42054000,124056,-6501,61628734500,7193785,1,8000
2010-01-08,573,0.215,2657,0.22,576538,0.272,0.265,1533288500,300313000,152543,28487,63162023000,7346328,1,9000
2010-01-09,609,0.207,2874,0.224,616297,0.275,0.568,3181448000,1648159500,349819,197276,66343471000,7696147,1,9000
2010-01-10,606,0.207,2750,0.223,591167,0.274,0.576,3051976000,-129472000,340722,-9097,69395447000,8036869,1,9000
2010-01-11,567,0.215,2560,0.226,554846,0.277,0.232,1282480000,-1769496000,128733,-211989,70677927000,8165602,1,8000
2010-01-12,570,0.214,2557,0.225,553833,0.276,0.23,1267368500,-15111500,127157,-1576,71945295500,8292759,1,8000
2010-01-13,550,0.199,2470,0.213,534439,0.262,0.214,1156537000,-110831500,114369,-12788,73101832500,8407128,1,8000
2010-01-14,491,0.175,2188,0.183,485062,0.231,0.233,1146891000,-9646000,112802,-1567,74248723500,8519930,1,8000
2010-01-15,502,0.176,2309,0.185,511265,0.233,0.272,1427920500,281029500,139134,26332,75676644000,8659064,1,9000
2010-01-16,531,0.176,2510,0.189,550683,0.238,0.55,2843015000,1415094500,302779,163645,78519659000,8961843,1,9000
2010-01-17,526,0.176,2391,0.187,526388,0.236,0.539,2636508500,-206506500,283666,-19113,81156167500,9245509,1,9000
2010-01-18,500,0.175,2238,0.19,495059,0.239,0.214,1082273500,-1554235000,105930,-177736,82238441000,9351439,1,8000
2010-01-19,498,0.173,2200,0.191,481484,0.238,0.211,1032868000,-49405500,101446,-4484,83271309000,9452885,1,8000
2010-01-20,503,0.162,2204,0.188,484433,0.235,0.202,1005338000,-27530000,98094,-3352,84276647000,9550979,1,8000
2010-01-21,438,0.153,1949,0.164,415905,0.197,0.225,968609500,-36728500,93770,-4324,85245256500,9644749,1,8000
2010-01-22,439,0.152,2051,0.167,436194,0.2,0.258,1187742500,219133000,112707,18937,86432999000,9757456,1,9000
