,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2019-05-23,1008,0.174,4265,0.235,770298,0.272,0.094,616644460,603957160,72736,71342,640791760,75054,2
1,2019-05-24,1061,0.175,4420,0.237,799264,0.276,0.138,1016129643,399485183,109949,37213,1656921403,185003,2
2,2019-05-25,1261,0.193,5311,0.271,937947,0.31,0.352,2965798107,1949668464,330019,220070,4622719510,515022,1
3,2019-05-26,1311,0.199,5390,0.28,946258,0.318,0.379,3181109250,215311143,358995,28976,7803828760,874017,1
4,2019-05-27,1090,0.191,4663,0.263,844480,0.304,0.13,931032930,-2250076320,109658,-249337,8734861690,983675,1
5,2019-05-28,1121,0.19,4677,0.265,838216,0.304,0.129,913023310,-18009620,108339,-1319,9647885000,1092014,1
6,2019-05-29,1146,0.198,4460,0.248,750607,0.269,0.328,1458929880,545906570,245992,137653,11106814880,1338006,1
7,2019-05-30,754,0.133,2493,0.14,340979,0.123,0.22,614078440,-844851440,74962,-171030,11720893320,1412968,2
8,2019-05-31,791,0.141,2724,0.149,366962,0.131,0.336,1084122725,470044285,123266,48304,12805016045,1536234,2
9,2019-06-01,965,0.166,3451,0.182,463615,0.16,0.66,2610680127,1526557402,306026,182760,15415696172,1842260,2
10,2019-06-02,994,0.171,3499,0.189,471681,0.166,0.652,2601771060,-8909067,307739,1713,18017467232,2149999,2
11,2019-06-03,796,0.152,3038,0.174,425515,0.157,0.192,671525860,-1930245200,81613,-226126,18688993092,2231612,2
12,2019-06-04,818,0.152,3063,0.176,426623,0.158,0.199,693901620,22375760,84798,3185,19382894712,2316410,2
13,2019-06-05,937,0.164,2770,0.153,373155,0.132,0.303,903254870,209353250,113165,28367,20286149582,2429575,3
14,2019-06-06,1120,0.19,3738,0.192,493898,0.164,0.756,3146433260,2243178390,373559,260394,23432582842,2803134,2
15,2019-06-07,1151,0.194,4132,0.214,558074,0.187,0.511,2428722874,-717710386,284945,-88614,25861305716,3088079,2
16,2019-06-08,1356,0.227,5241,0.267,746940,0.245,0.556,3618669583,1189946709,415310,130365,29479975299,3503389,2
17,2019-06-09,1371,0.232,5263,0.276,760334,0.257,0.521,3456183040,-162486543,396151,-19159,32936158339,3899540,2
18,2019-06-10,1068,0.209,4366,0.251,667237,0.247,0.164,926042240,-2530140800,109402,-286749,33862200579,4008942,2
