날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,가격
2015-07-22,1264,0.282,6245,0.418,1209819,0.49,0.395,3593111500,3590051500,477541,477201,3719618500,491916,1,9000
2015-07-23,1330,0.295,6497,0.434,1254266,0.508,0.347,3280771000,-312340500,435039,-42502,7000389500,926955,1,9000
2015-07-24,1370,0.3,6813,0.44,1308603,0.514,0.415,4365539973,1084768973,543245,108206,11365929473,1470200,1,10000
2015-07-25,1504,0.307,7377,0.457,1394382,0.526,0.681,7661827113,3296287140,949186,405941,19027756586,2419386,1,10000
2015-07-26,1519,0.314,7338,0.464,1384338,0.533,0.687,7664950100,3122987,950620,1434,26692706686,3370006,1,10000
2015-07-27,1397,0.31,6930,0.454,1325870,0.528,0.32,3216126200,-4448823900,424718,-525902,29908832886,3794724,1,9000
2015-07-28,1413,0.308,6953,0.454,1329534,0.529,0.302,3022343000,-193783200,401083,-23635,32931175886,4195807,1,9000
2015-07-29,1422,0.311,6863,0.434,1314393,0.509,0.376,3336083500,313740500,494019,92936,36267259386,4689826,1,9000
2015-07-30,1028,0.244,4676,0.296,782829,0.302,0.428,2517463500,-818620000,335000,-159019,38784722886,5024826,2,9000
2015-07-31,1039,0.241,4675,0.293,781183,0.299,0.505,3143043372,625579872,394879,59879,41927766258,5419705,2,10000
2015-08-01,1050,0.243,4866,0.294,815855,0.3,0.718,4703790844,1560747472,585686,190807,46631557102,6005391,2,10000
2015-08-02,1085,0.249,4905,0.3,822587,0.306,0.689,4572921800,-130869044,567135,-18551,51204478902,6572526,2,10000
2015-08-03,1058,0.25,4800,0.301,808703,0.308,0.519,3173321700,-1399600100,419544,-147591,54377800602,6992070,2,9000
2015-08-04,1094,0.251,4864,0.306,819667,0.314,0.47,2900056200,-273265500,385360,-34184,57277856802,7377430,2,9000
2015-08-05,784,0.181,3398,0.213,564790,0.214,0.483,2049682700,-850373500,272959,-112401,59327539502,7650389,2,9000
2015-08-06,794,0.18,3458,0.216,585618,0.222,0.415,1826795200,-222887500,243290,-29669,61154334702,7893679,2,9000
2015-08-07,838,0.184,3597,0.221,614081,0.229,0.446,2181194382,354399182,273743,30453,63335529084,8167422,2,10000
2015-08-08,874,0.189,3748,0.226,641237,0.234,0.65,3348510395,1167316013,416563,142820,66684039479,8583985,2,10000
2015-08-09,854,0.187,3649,0.224,620768,0.231,0.628,3118113800,-230396595,389746,-26817,69802153279,8973731,2,10000
2015-08-10,826,0.19,3526,0.224,594131,0.229,0.31,1373134200,-1744979600,184164,-205582,71175287479,9157895,2,9000
2015-08-11,824,0.183,3503,0.223,589424,0.227,0.292,1274295000,-98839200,171885,-12279,72449582479,9329780,2,9000
2015-08-12,842,0.19,3546,0.225,590607,0.227,0.279,1218998400,-55296600,164521,-7364,73668580879,9494301,2,9000
2015-08-13,613,0.132,2582,0.159,428162,0.159,0.39,1244462500,25464100,167032,2511,74913043379,9661333,2,9000
2015-08-14,709,0.142,2784,0.166,457659,0.166,0.665,2412977509,1168515009,304502,137470,77326020888,9965835,2,10000
2015-08-15,764,0.147,2981,0.177,494626,0.178,0.751,2962287838,549310329,371709,67207,80288308726,10337544,2,10000
2015-08-16,767,0.147,2928,0.178,482115,0.178,0.65,2490005500,-472282338,313498,-58211,82778314226,10651042,2,10000
2015-08-17,683,0.152,2794,0.181,465475,0.183,0.305,1050992600,-1439012900,142026,-171472,83829306826,10793068,2,9000
2015-08-18,711,0.155,2842,0.184,472725,0.185,0.26,896700400,-154292200,122741,-19285,84726007226,10915809,2,9000
2015-08-19,719,0.156,2841,0.184,474277,0.186,0.215,755390600,-141309800,102118,-20623,85481397826,11017927,2,9000
2015-08-20,566,0.119,2147,0.135,345663,0.131,0.254,641999900,-113390700,87911,-14207,86123397726,11105838,3,9000
2015-08-21,559,0.119,2189,0.136,353991,0.133,0.292,818773000,176773100,103410,15499,86942170726,11209248,3,10000
2015-08-22,611,0.122,2384,0.143,387420,0.141,0.493,1530249300,711476300,190914,87504,88472420026,11400162,2,10000
2015-08-23,606,0.123,2356,0.145,383670,0.143,0.495,1512644000,-17605300,189860,-1054,89985064026,11590022,2,10000
2015-08-24,557,0.125,2174,0.145,349400,0.14,0.18,466774800,-1045869200,62802,-127058,90451838826,11652824,3,9000
2015-08-25,561,0.122,2162,0.145,347903,0.141,0.205,526891800,60117000,71347,8545,90978730626,11724171,3,9000
2015-08-26,577,0.124,2159,0.145,350870,0.142,0.206,465311100,-61580700,72158,811,91444041726,11796329,3,9000
2015-08-27,483,0.108,1914,0.125,314301,0.124,0.165,379812500,-85498600,51936,-20222,91823854226,11848265,3,9000
2015-08-28,491,0.107,1969,0.125,321886,0.124,0.206,522473600,142661100,66397,14461,92346327826,11914662,3,10000
2015-08-29,511,0.103,2037,0.124,337069,0.125,0.425,1147581000,625107400,143151,76754,93493908826,12057813,3,10000
2015-08-30,506,0.104,1996,0.125,328245,0.125,0.412,1072015500,-75565500,135266,-7885,94565924326,12193079,3,10000
2015-08-31,488,0.113,1911,0.128,308356,0.124,0.155,348465100,-723550400,47798,-87468,94914389426,12240877,3,9000
2015-09-01,488,0.111,1886,0.128,304102,0.124,0.131,290382400,-58082700,39781,-8017,95204771826,12280658,3,9000
2015-09-02,495,0.113,1905,0.13,307200,0.126,0.122,274909800,-15472600,37478,-2303,95479681626,12318136,3,9000
2015-09-03,389,0.084,989,0.065,136714,0.054,0.172,171342200,-103567600,23512,-13966,95651023826,12341648,5,9000
2015-09-04,402,0.086,1023,0.065,140370,0.054,0.227,249419826,78077626,31880,8368,95900443652,12373528,5,10000
2015-09-05,399,0.08,1031,0.063,142935,0.053,0.429,492776229,243356403,61339,29459,96393219881,12434867,5,10000
