날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,가격
2019-04-24,2760,0.571,12544,0.808,2039252,0.85,0.656,9678989600,9669629600,1338729,1338105,9688349600,1339353,1,11000
2019-04-25,2759,0.55,12337,0.784,2013041,0.833,0.413,7148951550,-2530038050,832180,-506549,16837301150,2171533,1,11000
2019-04-26,2796,0.562,12831,0.797,2084448,0.844,0.502,9735827020,2586875470,1046691,214511,26573128170,3218224,1,12000
2019-04-27,2835,0.559,13397,0.793,2158840,0.837,0.77,14970007600,5234180580,1662469,615778,41543135770,4880693,1,12000
2019-04-28,2833,0.564,13055,0.793,2108001,0.835,0.677,12812523680,-2157483920,1427355,-235114,54355659450,6308048,1,12000
2019-04-29,2794,0.58,12415,0.809,2008497,0.85,0.235,4099535220,-8712988460,471789,-955566,58455194670,6779837,1,11000
2019-04-30,2802,0.564,12584,0.802,2038658,0.845,0.27,4742333860,642798640,551321,79532,63197528530,7331158,1,11000
2019-05-01,2508,0.484,11104,0.655,1855146,0.722,0.491,7425056550,2682722690,911374,360053,70622585080,8242532,1,11000
2019-05-02,2458,0.508,10630,0.666,1780158,0.73,0.212,3212715990,-4212340560,376822,-534552,73835301070,8619354,1,11000
2019-05-03,2490,0.509,11045,0.672,1845496,0.737,0.307,5164106910,1951390920,567060,190238,78999407980,9186414,1,12000
2019-05-04,2443,0.434,10623,0.593,1791889,0.661,0.502,8137198240,2973091330,899865,332805,87136606220,10086279,1,12000
2019-05-05,2430,0.424,10486,0.581,1770323,0.648,0.489,7892294930,-244903310,866036,-33829,95028901150,10952315,1,12000
2019-05-06,2384,0.429,9958,0.575,1691751,0.646,0.378,5723056700,-2169238230,639357,-226679,100751957850,11591672,1,12000
2019-05-07,2320,0.479,9295,0.613,1573192,0.677,0.104,1450057710,-4272998990,164346,-475011,102202015560,11756018,1,11000
2019-05-08,2167,0.476,8662,0.584,1495810,0.655,0.08,1085222000,-364835710,120161,-44185,103287237560,11876179,1,11000
2019-05-09,1677,0.33,6393,0.385,1149998,0.454,0.096,975749060,-109472940,110547,-9614,104262986620,11986726,1,11000
2019-05-10,1702,0.33,6562,0.384,1177811,0.453,0.142,1577040950,601291890,167809,57262,105840027570,12154535,1,12000
2019-05-11,1687,0.293,6557,0.361,1173130,0.428,0.302,3266295450,1689254500,354219,186410,109106323020,12508754,1,12000
2019-05-12,1665,0.29,6308,0.355,1128727,0.42,0.258,2662203710,-604091740,290778,-63441,111768526730,12799532,1,12000
2019-05-13,1537,0.32,5771,0.357,1045010,0.423,0.079,738237210,-1923966500,82378,-208400,112506763940,12881910,1,11000
2019-05-14,1545,0.31,5639,0.349,1026149,0.417,0.068,623285230,-114951980,69900,-12478,113130049170,12951810,2,11000
2019-05-15,936,0.177,3056,0.174,514769,0.189,0.121,544258900,-79026330,62153,-7747,113674308070,13013963,3,11000
2019-05-16,887,0.156,2841,0.163,484961,0.178,0.105,460077350,-84181550,50837,-11316,114134385420,13064800,2,11000
2019-05-17,891,0.154,2894,0.159,487694,0.172,0.15,709870250,249792900,73269,22432,114844255670,13138069,2,12000
2019-05-18,958,0.149,3024,0.156,491873,0.164,0.345,1600761920,890891670,169574,96305,116445017590,13307643,2,12000
2019-05-19,956,0.15,2971,0.157,485140,0.166,0.301,1360038530,-240723390,145997,-23577,117805056120,13453640,2,12000
2019-05-20,845,0.154,2668,0.153,446387,0.164,0.093,374520120,-985518410,41642,-104355,118179576240,13495282,2,11000
2019-05-21,854,0.155,2644,0.153,444752,0.164,0.081,328284600,-46235520,36047,-5595,118507860840,13531329,3,11000
2019-05-22,698,0.136,2205,0.125,372635,0.135,0.095,330876580,2591980,35466,-581,118838737420,13566795,3,11000
2019-05-23,519,0.089,1103,0.061,160936,0.057,0.139,205602340,-125274240,22425,-13041,119044339760,13589220,4,11000
2019-05-24,543,0.09,1185,0.064,168807,0.058,0.185,309539180,103936840,31296,8871,119353878940,13620516,4,12000
2019-05-25,615,0.094,1328,0.068,184187,0.061,0.377,651381840,341842660,69510,38214,120005260780,13690026,3,12000
2019-05-26,604,0.092,1278,0.067,175677,0.059,0.336,542835530,-108546310,58990,-10520,120548096310,13749016,4,12000
2019-05-27,553,0.097,1227,0.069,173784,0.063,0.126,201585780,-341249750,21943,-37047,120749682090,13770959,3,11000
2019-05-28,557,0.094,1205,0.068,169929,0.062,0.111,165592030,-35993750,18890,-3053,120915274120,13789849,3,11000
2019-05-29,309,0.053,525,0.029,65864,0.024,0.233,97807010,-67785020,15369,-3521,121013081130,13805218,6,11000
2019-05-30,175,0.031,231,0.013,28941,0.01,0.188,44288450,-53518560,5452,-9917,121057369580,13810670,6,11000
2019-05-31,173,0.031,231,0.013,27828,0.01,0.295,73063280,28774830,8196,2744,121130432860,13818866,6,12000
2019-06-01,158,0.027,207,0.011,23921,0.008,0.546,114133860,41070580,13071,4875,121244566720,13831937,6,12000
2019-06-02,155,0.027,208,0.011,24096,0.008,0.497,103358010,-10775850,11972,-1099,121347924730,13843909,6,12000
2019-06-03,168,0.032,237,0.014,28234,0.01,0.179,40915800,-62442210,5067,-6905,121388840530,13848976,6,11000
2019-06-04,172,0.032,238,0.014,29354,0.011,0.173,41178960,263160,5092,25,121430019490,13854068,6,11000
2019-06-05,74,0.013,98,0.005,12002,0.004,0.241,23517850,-17661110,2888,-2204,121453537340,13856956,7,11000
