,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2014-11-06,1089,0.285,4521,0.375,886843,0.452,0.256,1786133700,1678122500 ( 1553.7% ),227025,214201 ( 1670.3% ),1917449900,242206,1
1,2014-11-07,1139,0.289,4796,0.383,938066,0.462,0.353,2749252842,963119142 ( 53.9% ),330691,103666 ( 45.7% ),4666702742,572897,1
2,2014-11-08,1310,0.311,5567,0.419,1072397,0.501,0.638,5574701671,2825448829 ( 102.8% ),683898,353207 ( 106.8% ),10241404413,1256795,1
3,2014-11-09,1342,0.319,5519,0.43,1057498,0.511,0.613,5247379000,-327322671 ( -5.9% ),648412,-35486 ( -5.2% ),15488783413,1905207,1
4,2014-11-10,1205,0.32,4954,0.428,966377,0.512,0.234,1792233200,-3455145800 ( -65.8% ),226109,-422303 ( -65.1% ),17281016613,2131316,1
5,2014-11-11,1234,0.324,5015,0.431,975610,0.514,0.24,1858395500,66162300 ( 3.7% ),234566,8457 ( 3.7% ),19139412113,2365882,1
6,2014-11-12,1241,0.321,5096,0.429,989953,0.514,0.325,2450651800,592256300 ( 31.9% ),321253,86687 ( 37.0% ),21590063913,2687135,1
7,2014-11-13,1226,0.318,5182,0.4,1006860,0.483,0.357,2668673200,218021400 ( 8.9% ),359528,38275 ( 11.9% ),24258737113,3046663,1
8,2014-11-14,1277,0.33,5432,0.416,1053805,0.502,0.34,2915088614,246415414 ( 9.2% ),358267,-1261 ( -0.4% ),27173825727,3404930,1
9,2014-11-15,1410,0.332,6201,0.449,1182422,0.535,0.635,6056816799,3141728185 ( 107.8% ),750753,392486 ( 109.6% ),33230642526,4155683,1
10,2014-11-16,1403,0.336,6051,0.454,1152463,0.54,0.597,5483862700,-572954099 ( -9.5% ),688122,-62631 ( -8.3% ),38714505226,4843805,1
11,2014-11-17,1282,0.347,5351,0.442,1039987,0.532,0.202,1644899700,-3838963000 ( -70.0% ),210366,-477756 ( -69.4% ),40359404926,5054171,1
12,2014-11-18,1314,0.338,5297,0.444,1024274,0.53,0.197,1566550100,-78349600 ( -4.8% ),202027,-8339 ( -4.0% ),41925955026,5256198,1
13,2014-11-19,1317,0.343,5317,0.443,1027683,0.529,0.179,1440243900,-126306200 ( -8.1% ),183841,-18186 ( -9.0% ),43366198926,5440039,1
14,2014-11-20,1085,0.276,4375,0.347,849938,0.417,0.188,1270753000,-169490900 ( -11.8% ),160080,-23761 ( -12.9% ),44636951926,5600119,1
15,2014-11-21,1108,0.28,4600,0.353,887767,0.422,0.271,1986799700,716046700 ( 56.3% ),240311,80231 ( 50.1% ),46623751626,5840430,1
16,2014-11-22,1134,0.27,4986,0.364,967472,0.438,0.556,4372284100,2385484400 ( 120.1% ),538210,297899 ( 124.0% ),50996035726,6378640,1
17,2014-11-23,1139,0.274,4857,0.364,944149,0.44,0.516,3908474600,-463809500 ( -10.6% ),487042,-51168 ( -9.5% ),54904510326,6865682,1
18,2014-11-24,1039,0.278,4285,0.348,832908,0.417,0.174,1143834600,-2764640000 ( -70.7% ),144872,-342170 ( -70.3% ),56048344926,7010554,1
19,2014-11-25,1051,0.27,4271,0.345,827989,0.413,0.164,1060402300,-83432300 ( -7.3% ),135378,-9494 ( -6.6% ),57108747226,7145932,1
20,2014-11-26,1040,0.232,3948,0.315,767374,0.377,0.196,1068958200,8555900 ( 0.8% ),150677,15299 ( 11.3% ),58177705426,7296609,1
21,2014-11-27,875,0.21,3368,0.255,670837,0.312,0.169,905071600,-163886600 ( -15.3% ),113346,-37331 ( -24.8% ),59082777026,7409955,1
22,2014-11-28,899,0.212,3554,0.26,705387,0.318,0.245,1432554000,527482400 ( 58.3% ),172563,59217 ( 52.2% ),60515331026,7582518,1
23,2014-11-29,963,0.217,4013,0.281,796585,0.345,0.481,3135756400,1703202400 ( 118.9% ),382987,210424 ( 121.9% ),63651087426,7965505,1
24,2014-11-30,954,0.218,3903,0.281,775374,0.345,0.455,2857949500,-277806900 ( -8.9% ),352950,-30037 ( -7.8% ),66509036926,8318455,1
25,2014-12-01,850,0.219,3372,0.264,675629,0.324,0.141,782385800,-2075563700 ( -72.6% ),95517,-257433 ( -72.9% ),67291422726,8413972,1
26,2014-12-02,870,0.214,3366,0.265,671174,0.325,0.14,775104200,-7281600 ( -0.9% ),93631,-1886 ( -2.0% ),68066526926,8507603,1
27,2014-12-03,678,0.173,2575,0.208,478381,0.238,0.12,429591900,-345512300 ( -44.6% ),57409,-36222 ( -38.7% ),68496118826,8565012,2
28,2014-12-04,670,0.16,2423,0.191,441883,0.214,0.125,411012300,-18579600 ( -4.3% ),55388,-2021 ( -3.5% ),68907131126,8620400,2
29,2014-12-05,686,0.161,2520,0.191,458210,0.214,0.174,635676200,224663900 ( 54.7% ),79511,24123 ( 43.6% ),69542807326,8699911,2
30,2014-12-06,721,0.159,2848,0.202,527893,0.233,0.405,1719452900,1083776700 ( 170.5% ),213753,134242 ( 168.8% ),71262260226,8913664,2
31,2014-12-07,714,0.16,2781,0.204,515679,0.234,0.364,1492382800,-227070100 ( -13.2% ),187840,-25913 ( -12.1% ),72754643026,9101504,2
32,2014-12-08,675,0.166,2470,0.196,457864,0.224,0.116,407200500,-1085182300 ( -72.7% ),53093,-134747 ( -71.7% ),73161843526,9154597,2
33,2014-12-09,681,0.161,2479,0.197,461262,0.226,0.112,390798900,-16401600 ( -4.0% ),51555,-1538 ( -2.9% ),73552642426,9206152,2
34,2014-12-10,593,0.132,2015,0.152,396826,0.185,0.121,361182100,-29616800 ( -7.6% ),48000,-3555 ( -6.9% ),73913824526,9254152,3
35,2014-12-11,600,0.128,2015,0.148,399408,0.182,0.126,378944700,17762600 ( 4.9% ),50171,2171 ( 4.5% ),74292769226,9304323,3
36,2014-12-12,613,0.129,2119,0.15,418635,0.184,0.166,564638832,185694132 ( 49.0% ),69412,19241 ( 38.4% ),74857408058,9373735,3
37,2014-12-13,630,0.126,2245,0.147,448750,0.182,0.382,1391175342,826536510 ( 146.4% ),171222,101810 ( 146.7% ),76248583400,9544957,2
38,2014-12-14,615,0.125,2169,0.146,432547,0.18,0.36,1250302500,-140872842 ( -10.1% ),155535,-15687 ( -9.2% ),77498885900,9700492,2
39,2014-12-15,566,0.126,1898,0.142,374433,0.173,0.099,289823900,-960478600 ( -76.8% ),37233,-118302 ( -76.1% ),77788709800,9737725,2
40,2014-12-16,563,0.122,1928,0.143,378331,0.172,0.112,323879300,34055400 ( 11.8% ),42414,5181 ( 13.9% ),78112589100,9780139,2
41,2014-12-17,315,0.079,721,0.052,94710,0.042,0.211,145447700,-178431600 ( -55.1% ),19981,-22433 ( -52.9% ),78258036800,9800120,4
42,2014-12-18,327,0.079,681,0.048,86794,0.038,0.234,149469900,4022200 ( 2.8% ),20326,345 ( 1.7% ),78407506700,9820446,4
43,2014-12-19,317,0.077,663,0.045,83833,0.035,0.319,206539000,57069100 ( 38.2% ),26718,6392 ( 31.4% ),78614045700,9847164,4
44,2014-12-20,295,0.072,609,0.039,76954,0.03,0.6,356402500,149863500 ( 72.6% ),46142,19424 ( 72.7% ),78970448200,9893306,4
45,2014-12-21,301,0.075,604,0.04,76761,0.031,0.588,342936300,-13466200 ( -3.8% ),45134,-1008 ( -2.2% ),79313384500,9938440,4
46,2014-12-22,324,0.082,662,0.047,88198,0.038,0.219,147379300,-195557000 ( -57.0% ),19359,-25775 ( -57.1% ),79460763800,9957799,4
47,2014-12-23,307,0.069,571,0.039,77663,0.033,0.242,142323300,-5056000 ( -3.4% ),18825,-534 ( -2.8% ),79603087100,9976624,5
48,2014-12-24,157,0.036,212,0.013,32296,0.012,0.428,117921800,-24401500 ( -17.1% ),13836,-4989 ( -26.5% ),79721008900,9990460,8
49,2014-12-25,144,0.031,195,0.011,30304,0.011,0.586,146666700,28744900 ( 24.4% ),17747,3911 ( 28.3% ),79867675600,10008207,10
50,2014-12-26,154,0.035,231,0.014,35483,0.013,0.495,152376500,5709800 ( 3.9% ),17553,-194 ( -1.1% ),80020052100,10025760,8
51,2014-12-27,152,0.033,218,0.013,33903,0.012,0.616,179589600,27213100 ( 17.9% ),20883,3330 ( 19.0% ),80199641700,10046643,9
52,2014-12-28,153,0.033,226,0.014,34343,0.013,0.531,150517400,-29072200 ( -16.2% ),18236,-2647 ( -12.7% ),80350159100,10064879,9
53,2014-12-29,148,0.034,240,0.016,35640,0.014,0.323,91499700,-59017700 ( -39.2% ),11522,-6714 ( -36.8% ),80441658800,10076401,9
54,2014-12-30,150,0.034,249,0.016,38056,0.015,0.356,107667400,16167700 ( 17.7% ),13563,2041 ( 17.7% ),80549326200,10089964,9
55,2014-12-31,124,0.025,199,0.012,33261,0.012,0.459,122098100,14430700 ( 13.4% ),15283,1720 ( 12.7% ),80671424300,10105247,10
56,2015-01-01,97,0.02,175,0.01,33256,0.012,0.621,192143100,70045000 ( 57.4% ),20636,5353 ( 35.0% ),80863567400,10125883,10
57,2015-01-02,101,0.021,181,0.011,34667,0.013,0.485,159374800,-32768300 ( -17.1% ),16804,-3832 ( -18.6% ),81022942200,10142687,10
58,2015-01-03,102,0.02,178,0.01,33288,0.012,0.562,176472500,17097700 ( 10.7% ),18711,1907 ( 11.3% ),81199414700,10161398,10
59,2015-01-04,109,0.022,174,0.011,32335,0.012,0.449,134006300,-42466200 ( -24.1% ),14524,-4187 ( -22.4% ),81333421000,10175922,10
60,2015-01-05,103,0.022,188,0.012,36340,0.014,0.214,69774400,-64231900 ( -47.9% ),7777,-6747 ( -46.5% ),81403195400,10183699,9
61,2015-01-06,102,0.022,184,0.012,36354,0.014,0.199,67468700,-2305700 ( -3.3% ),7241,-536 ( -6.9% ),81470664100,10190940,9
62,2015-01-07,70,0.015,146,0.009,30004,0.012,0.169,48454000,-19014700 ( -28.2% ),5069,-2172 ( -30.0% ),81519118100,10196009,11
63,2015-01-08,71,0.015,149,0.01,31759,0.012,0.165,49943700,1489700 ( 3.1% ),5251,182 ( 3.6% ),81569061800,10201260,11
64,2015-01-09,69,0.014,149,0.009,31047,0.012,0.209,64368500,14424800 ( 28.9% ),6476,1225 ( 23.3% ),81633430300,10207736,11
65,2015-01-10,76,0.015,153,0.009,30438,0.011,0.403,119146500,54778000 ( 85.1% ),12271,5795 ( 89.5% ),81752576800,10220007,11
66,2015-01-11,77,0.015,151,0.009,30605,0.012,0.357,105403000,-13743500 ( -11.5% ),10918,-1353 ( -11.0% ),81857979800,10230925,11
67,2015-01-12,69,0.015,144,0.009,28611,0.011,0.154,43007100,-62395900 ( -59.2% ),4395,-6523 ( -59.7% ),81900986900,10235320,13
68,2015-01-13,68,0.014,144,0.009,29579,0.012,0.172,48731900,5724800 ( 13.3% ),5092,697 ( 15.9% ),81949718800,10240412,13
