,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2022-06-22,1975,0.381,9158,0.533,1508016,0.604,0.125,1976049530,1976049530,188312,188312,2716938360,253016,1
1,2022-06-23,1926,0.357,8720,0.512,1446643,0.586,0.101,1546459190,-429590340,146105,-42207,4263397550,399121,1
2,2022-06-24,1941,0.356,8948,0.505,1487057,0.58,0.145,2401575760,855116570,216163,70058,6664973310,615284,1
3,2022-06-25,1858,0.322,8907,0.476,1479025,0.549,0.319,5192321350,2790745590,472306,256143,11857294660,1087590,1
4,2022-06-26,1844,0.322,8589,0.472,1427305,0.545,0.307,4789763620,-402557730,438673,-33633,16647058280,1526263,1
5,2022-06-27,1722,0.344,7988,0.481,1339714,0.552,0.117,1654213940,-3135549680,156222,-282451,18301272220,1682485,1
6,2022-06-28,1735,0.339,7945,0.478,1333389,0.551,0.11,1554558540,-99655400,146871,-9351,19855830760,1829356,1
7,2022-06-29,1325,0.257,5680,0.336,932324,0.38,0.223,1830630070,276071530,208178,61307,21686460830,2037534,1
8,2022-06-30,1355,0.256,5775,0.343,949682,0.389,0.154,1537625670,-293004400,146232,-61946,23224086500,2183766,1
9,2022-07-01,1452,0.27,6302,0.363,1039165,0.413,0.217,2514771670,977146000,225695,79463,25738858170,2409461,1
10,2022-07-02,1612,0.278,7224,0.396,1188247,0.452,0.404,5294345740,2779574070,480279,254584,31033203910,2889740,1
11,2022-07-03,1622,0.282,7146,0.402,1176149,0.459,0.373,4795769500,-498576240,439247,-41032,35828973410,3328987,1
12,2022-07-04,1459,0.294,6568,0.404,1091432,0.46,0.139,1657252790,-3138516710,151678,-287569,37486226200,3480665,1
13,2022-07-05,1495,0.293,6621,0.402,1095423,0.456,0.153,1840848870,183596080,167795,16117,39327075070,3648460,1
14,2022-07-06,961,0.177,3516,0.192,462768,0.174,0.217,1009403610,-831445260,100506,-67289,40336478680,3748966,2
15,2022-07-07,1013,0.185,3805,0.21,498478,0.189,0.201,1023016240,13612630,100355,-151,41359494920,3849321,2
16,2022-07-08,1112,0.2,4198,0.226,550835,0.204,0.269,1578819190,555802950,148220,47865,42938314110,3997541,2
17,2022-07-09,1275,0.215,4922,0.254,661712,0.235,0.507,3572266360,1993447170,335571,187351,46510580470,4333112,2
18,2022-07-10,1329,0.224,5000,0.265,673636,0.246,0.476,3391502180,-180764180,320403,-15168,49902082650,4653515,2
19,2022-07-11,1222,0.239,4869,0.287,698569,0.28,0.144,1028077520,-2363424660,100604,-219799,50930160170,4754119,2
20,2022-07-12,1231,0.232,4886,0.29,701346,0.285,0.128,918166360,-109911160,89811,-10793,51848326530,4843930,1
21,2022-07-13,1378,0.215,5081,0.294,800237,0.316,0.118,972731260,54564900,94448,4637,52821057790,4938378,1
22,2022-07-14,1412,0.219,5241,0.305,830510,0.332,0.112,969705220,-3026040,93103,-1345,53790763010,5031481,1
23,2022-07-15,1478,0.224,5642,0.317,891884,0.345,0.157,1521006830,551301610,139681,46578,55311769840,5171162,1
24,2022-07-16,1532,0.221,6271,0.331,1003006,0.366,0.294,3207882910,1686876080,295385,155704,58519652750,5466547,1
25,2022-07-17,1544,0.227,6153,0.332,988805,0.37,0.27,2885439880,-322443030,267265,-28120,61405092630,5733812,1
26,2022-07-18,1395,0.225,5503,0.329,907014,0.37,0.104,977934330,-1907505550,93954,-173311,62383026960,5827766,1
27,2022-07-19,1406,0.222,5517,0.327,908628,0.369,0.11,1041221737,63287407,100087,6133,63424248697,5927853,1
28,2022-07-20,721,0.122,2222,0.121,301343,0.114,0.204,625659153,-415562584,61324,-38763,64049907850,5989177,3
29,2022-07-21,867,0.136,2485,0.135,342301,0.13,0.188,656455952,30796799,64224,2900,64706363802,6053401,3
30,2022-07-22,957,0.149,2775,0.147,391639,0.144,0.225,948453156,291997204,88200,23976,65654816958,6141601,3
31,2022-07-23,1096,0.167,3276,0.164,470094,0.164,0.386,1965985873,1017532717,181301,93101,67620802831,6322902,3
32,2022-07-24,1115,0.171,3293,0.169,479070,0.171,0.374,1931101117,-34884756,178993,-2308,69551903948,6501895,3
33,2022-07-25,981,0.165,3221,0.178,487767,0.186,0.147,735155225,-1195945892,71504,-107489,70287059173,6573399,3
34,2022-07-26,990,0.165,3254,0.181,489846,0.188,0.139,703597524,-31557701,68261,-3243,70990656697,6641660,3
35,2022-07-27,734,0.128,1830,0.096,228684,0.084,0.279,535804184,-167793340,63705,-4556,71526460881,6705365,3
36,2022-07-28,773,0.121,1836,0.095,233644,0.084,0.203,486427798,-49376386,47328,-16377,72012888679,6752693,3
37,2022-07-29,828,0.126,1984,0.1,255681,0.09,0.255,708943458,222515660,65322,17994,72721832137,6818015,3
38,2022-07-30,867,0.129,2045,0.1,269101,0.092,0.442,1305306904,596363446,118984,53662,74027139041,6936999,3
