날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,가격
2009-06-24,965,0.342,4527,0.42,1001320,0.519,0.478,3110021500,3108168500,478269,477992,3111874500,478546,1,7000
2009-06-25,996,0.349,4613,0.424,1015650,0.522,0.371,2468774500,-641247000,376850,-101419,5580649000,855396,1,7000
2009-06-26,1054,0.356,5015,0.436,1093542,0.534,0.392,2936993000,468218500,428661,51811,8517642000,1284057,1,8000
2009-06-27,1154,0.377,5910,0.476,1240172,0.569,0.738,6114325000,3177332000,915311,486650,14631967000,2199368,1,8000
2009-06-28,1139,0.377,5620,0.47,1182160,0.564,0.671,5364818500,-749506500,793107,-122204,19996785500,2992475,1,8000
2009-06-29,920,0.336,4483,0.411,995439,0.513,0.244,1617768500,-3747050000,242507,-550600,21614554000,3234982,1,7000
2009-06-30,898,0.328,4411,0.405,981732,0.505,0.206,1344139000,-273629500,202630,-39877,22958693000,3437612,1,7000
2009-07-01,837,0.331,4230,0.39,938231,0.484,0.2,1269824500,-74314500,187980,-14650,24228517500,3625592,1,7000
2009-07-02,836,0.333,4220,0.385,932972,0.477,0.191,1200021500,-69803000,178025,-9955,25428539000,3803617,1,7000
2009-07-03,871,0.339,4467,0.39,981666,0.483,0.228,1629618500,429597000,224268,46243,27058157500,4027885,1,9000
2009-07-04,1028,0.37,5217,0.428,1115009,0.52,0.539,4233407500,2603789000,601332,377064,31291565000,4629217,1,9000
2009-07-05,997,0.366,4939,0.419,1059485,0.51,0.541,3974332500,-259075000,573442,-27890,35265897500,5202659,1,9000
2009-07-06,804,0.33,4117,0.385,916550,0.48,0.128,829052000,-3145280500,116970,-456472,36094949500,5319629,1,8000
2009-07-07,804,0.33,4102,0.381,909286,0.474,0.141,896615000,67563000,128056,11086,36991564500,5447685,1,8000
2009-07-08,801,0.324,4050,0.38,896913,0.471,0.117,741772000,-154843000,105042,-23014,37733336500,5552727,1,8000
2009-07-09,705,0.297,3452,0.323,786397,0.411,0.119,656893000,-84879000,93733,-11309,38390229500,5646460,1,8000
2009-07-10,722,0.296,3631,0.318,820094,0.404,0.168,995471000,338578000,137644,43911,39385700500,5784104,1,9000
2009-07-11,788,0.301,4049,0.326,896315,0.41,0.478,2946822500,1951351500,428601,290957,42332523000,6212705,1,9000
2009-07-12,773,0.295,3843,0.322,852947,0.405,0.384,2293693500,-653129000,327584,-101017,44626216500,6540289,1,9000
2009-07-13,683,0.285,3325,0.313,748168,0.394,0.079,423394000,-1870299500,59076,-268508,45049610500,6599365,1,8000
2009-07-14,687,0.286,3288,0.311,740520,0.392,0.07,366051500,-57342500,51537,-7539,45415662000,6650902,1,8000
2009-07-15,416,0.156,1875,0.172,342635,0.176,0.121,290120000,-75931500,41319,-10218,45705782000,6692221,3,8000
2009-07-16,423,0.157,1861,0.17,341437,0.175,0.116,277553500,-12566500,39573,-1746,45983335500,6731794,3,8000
2009-07-17,420,0.153,1949,0.17,352740,0.174,0.145,367708500,90155000,51202,11629,46351044000,6782996,3,9000
2009-07-18,427,0.144,1940,0.161,347592,0.164,0.361,908644500,540936000,125374,74172,47259688500,6908370,3,9000
2009-07-19,416,0.143,1831,0.157,322710,0.158,0.402,917719500,9075000,129716,4342,48177408000,7038086,3,9000
2009-07-20,405,0.153,1792,0.163,323226,0.165,0.109,243438000,-674281500,35193,-94523,48420846000,7073279,3,8000
2009-07-21,405,0.151,1779,0.162,318420,0.163,0.107,232206000,-11232000,33912,-1281,48653052000,7107191,3,8000
2009-07-22,290,0.111,1127,0.099,163630,0.08,0.123,136873000,-95333000,20079,-13833,48789925000,7127270,4,8000
2009-07-23,269,0.106,1094,0.096,157410,0.077,0.124,134312500,-2560500,19591,-488,48924237500,7146861,4,8000
2009-07-24,273,0.104,1133,0.096,161707,0.076,0.134,155720500,21408000,21664,2073,49079958000,7168525,4,9000
2009-07-25,283,0.1,1129,0.091,157654,0.071,0.338,379569500,223849000,53250,31586,49459527500,7221775,4,9000
2009-07-26,288,0.102,1079,0.09,151397,0.071,0.329,352301500,-27268000,49773,-3477,49811829000,7271548,4,9000
2009-07-27,275,0.104,1064,0.094,149635,0.074,0.124,127559000,-224742500,18494,-31279,49939388000,7290042,4,8000
2009-07-28,278,0.104,1064,0.094,147985,0.073,0.134,134058000,6499000,19766,1272,50073446000,7309808,4,8000
2009-07-29,141,0.051,329,0.027,44882,0.021,0.163,52579500,-81478500,7298,-12468,50126025500,7317106,7,8000
2009-07-30,134,0.047,320,0.026,43203,0.02,0.189,58470500,5891000,8155,857,50184496000,7325261,8,8000
2009-07-31,139,0.048,319,0.025,43358,0.019,0.219,71109000,12638500,9515,1360,50255605000,7334776,7,9000
2009-08-01,132,0.042,279,0.021,37411,0.016,0.341,97879000,26770000,12744,3229,50353484000,7347520,7,9000
2009-08-02,126,0.041,271,0.021,35926,0.016,0.31,84646500,-13232500,11149,-1595,50438130500,7358669,7,9000
2009-08-03,139,0.048,316,0.026,42773,0.019,0.215,67691500,-16955000,9216,-1933,50505822000,7367885,7,8000
2009-08-04,139,0.048,303,0.024,41265,0.019,0.198,59851500,-7840000,8164,-1052,50565673500,7376049,7,8000
2009-08-05,96,0.031,217,0.017,29652,0.013,0.157,34119500,-25732000,4670,-3494,50599793000,7380719,9,8000
2009-08-06,33,0.012,56,0.004,7980,0.004,0.16,9890500,-24229000,1276,-3394,50609683500,7381995,10,8000
2009-08-07,31,0.011,60,0.005,8341,0.004,0.161,10515500,625000,1342,66,50620199000,7383337,11,9000
2009-08-08,30,0.01,63,0.005,8715,0.004,0.269,18707500,8192000,2345,1003,50638906500,7385682,10,9000
2009-08-09,32,0.011,60,0.005,8342,0.004,0.24,16066000,-2641500,1998,-347,50654972500,7387680,10,9000
2009-08-10,33,0.012,58,0.005,8038,0.004,0.113,7067500,-8998500,912,-1086,50662040000,7388592,12,8000
2009-08-11,33,0.012,60,0.005,8382,0.004,0.127,8145000,1077500,1061,149,50670185000,7389653,12,8000
