날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,가격
2022-07-27,2223,0.389,10631,0.56,1686842,0.617,0.229,3279668746,3260825746,386161,384279,3449890246,401095,1,13000
2022-07-28,2178,0.341,10191,0.526,1640604,0.591,0.144,2392971676,-886697070,236941,-149220,5842861922,638036,1,13000
2022-07-29,2164,0.33,10243,0.515,1653408,0.58,0.191,3378221252,985249576,315487,78546,9221083174,953523,1,14000
2022-07-30,2136,0.319,10335,0.503,1656255,0.564,0.399,7125431897,3747210645,660355,344868,16346515071,1613878,1,14000
2022-07-31,2132,0.318,10095,0.5,1619729,0.562,0.405,7043504621,-81927276,655697,-4658,23390019692,2269575,1,14000
2022-08-01,2019,0.326,9636,0.498,1568214,0.563,0.246,3863995934,-3179508687,385978,-269719,27254015626,2655553,1,13000
2022-08-02,2030,0.325,9659,0.497,1573610,0.564,0.217,3418285205,-445710729,340705,-45273,30672300831,2996258,1,13000
2022-08-03,1442,0.224,6022,0.318,913874,0.337,0.258,2290751101,-1127534104,235501,-105204,32963051932,3231759,2,13000
2022-08-04,1467,0.222,6037,0.318,918581,0.337,0.228,2034431528,-256319573,209334,-26167,34997483460,3441093,1,13000
2022-08-05,1530,0.229,6343,0.329,960818,0.348,0.261,2565528184,531096656,250625,41291,37563011644,3691718,1,14000
2022-08-06,1637,0.24,6816,0.346,1044330,0.372,0.446,4833674390,2268146206,465415,214790,42396686034,4157133,1,14000
2022-08-07,1638,0.243,6769,0.351,1047504,0.38,0.421,4580752431,-252921959,440811,-24604,46977438465,4597944,1,14000
2022-08-08,1575,0.255,6549,0.368,1025685,0.397,0.158,1599571271,-2981181160,161639,-279172,48577009736,4759583,1,13000
2022-08-09,1576,0.253,6500,0.369,1016134,0.399,0.136,1361255907,-238315364,138570,-23069,49938265643,4898153,1,13000
2022-08-10,1252,0.197,4804,0.258,739036,0.275,0.169,1218050228,-143205679,125163,-13407,51156315871,5023316,2,13000
2022-08-11,1287,0.197,4974,0.267,773417,0.287,0.149,1139167900,-78882328,115423,-9740,52295483771,5138739,2,13000
2022-08-12,1355,0.202,5316,0.278,830565,0.301,0.17,1474372398,335204498,141162,25739,53769856169,5279901,2,14000
2022-08-13,1430,0.203,5559,0.28,864638,0.303,0.303,2800439209,1326066811,262319,121157,56570295378,5542220,2,14000
2022-08-14,1433,0.204,5516,0.279,858948,0.303,0.377,3444844430,644405221,323989,61670,60015139808,5866209,2,14000
2022-08-15,1377,0.202,5324,0.279,833201,0.303,0.348,3043790603,-401053827,289574,-34415,63058930411,6155783,2,14000
2022-08-16,1293,0.203,5007,0.281,775699,0.3,0.114,881277575,-2162513028,88290,-201284,63940207986,6244073,2,13000
2022-08-17,1051,0.175,3943,0.221,589227,0.228,0.112,642773100,-238504475,65899,-22391,64582981086,6309972,2,13000
2022-08-18,1043,0.167,3882,0.221,581468,0.228,0.099,559999709,-82773391,57773,-8126,65142980795,6367745,2,13000
2022-08-19,1080,0.171,4009,0.224,596739,0.23,0.11,668804064,108804355,65439,7666,65811784859,6433184,2,14000
2022-08-20,1114,0.163,4235,0.223,623979,0.228,0.237,1547341122,878537058,147641,82202,67359125981,6580825,2,14000
2022-08-21,1109,0.164,4110,0.224,595508,0.227,0.219,1353405541,-193935581,130424,-17217,68712531522,6711249,2,14000
2022-08-22,1011,0.177,3908,0.235,572310,0.234,0.071,403431718,-949973823,40792,-89632,69115963240,6752041,2,13000
2022-08-23,1037,0.177,3912,0.236,574379,0.236,0.067,371238476,-32193242,38299,-2493,69487201716,6790340,2,13000
2022-08-24,781,0.132,2590,0.148,349138,0.137,0.087,287974760,-83263716,30265,-8034,69775176476,6820605,3,13000
2022-08-25,800,0.131,2537,0.148,342064,0.137,0.078,257745993,-30228767,26739,-3526,70032922469,6847344,3,13000
2022-08-26,865,0.139,2699,0.153,364841,0.142,0.09,332714919,74968926,32728,5989,70365637388,6880072,3,14000
2022-08-27,849,0.128,2854,0.15,388085,0.141,0.172,597211256,264496337,66598,33870,70962848644,6946670,3,14000
2022-08-28,865,0.13,2733,0.149,372701,0.141,0.156,519283932,-77927324,58264,-8334,71482132576,7004934,3,14000
2022-08-29,794,0.138,2531,0.157,344033,0.145,0.061,186419376,-332864556,21122,-37142,71668551952,7026056,3,13000
2022-08-30,805,0.137,2468,0.153,334029,0.141,0.061,174377383,-12041993,20494,-628,71842929335,7046550,3,13000
2022-08-31,701,0.118,2074,0.118,274685,0.108,0.091,187540050,13162667,24861,4367,72030469385,7071411,3,13000
2022-09-01,660,0.119,1908,0.119,253396,0.108,0.044,96045529,-91494521,11232,-13629,72126514914,7082643,3,13000
2022-09-02,708,0.123,2024,0.121,269746,0.11,0.059,139271947,43226418,15994,4762,72265786861,7098637,3,14000
2022-09-03,730,0.111,2149,0.115,277181,0.102,0.115,283743685,144471738,31908,15914,72549530546,7130545,3,14000
2022-09-04,708,0.109,2046,0.113,262549,0.1,0.111,259052076,-24691609,29097,-2811,72808582622,7159642,3,14000
2022-09-05,604,0.119,1519,0.113,198178,0.099,0.037,62813814,-196238262,7339,-21758,72871396436,7166981,3,13000
2022-09-06,601,0.114,1543,0.112,200502,0.099,0.04,69628950,6815136,7971,632,72941025386,7174952,3,13000
2022-09-07,265,0.05,405,0.024,48809,0.02,0.05,18788800,-50840150,2428,-5543,72959814186,7177380,8,13000
2022-09-08,315,0.052,481,0.027,58568,0.023,0.083,38969499,20180699,4871,2443,72998783685,7182251,6,13000
2022-09-09,356,0.052,537,0.027,64816,0.023,0.177,100652096,61682597,11471,6600,73099435781,7193722,5,14000
2022-09-10,342,0.051,545,0.028,66998,0.024,0.249,149170618,48518522,16668,5197,73248606399,7210390,4,14000
2022-09-11,333,0.048,542,0.028,65468,0.023,0.238,138039994,-11130624,15580,-1088,73386646393,7225970,5,14000
2022-09-12,329,0.049,522,0.028,63252,0.024,0.192,105904297,-32135697,12148,-3432,73492550690,7238118,6,14000
2022-09-13,281,0.049,442,0.027,55780,0.023,0.052,24164996,-81739301,2901,-9247,73516715686,7241019,8,13000
2022-09-14,169,0.031,272,0.017,33214,0.014,0.048,12981599,-11183397,1605,-1296,73529697285,7242624,10,13000
2022-09-15,129,0.023,210,0.013,25385,0.011,0.041,8173699,-4807900,1044,-561,73537870984,7243668,15,13000
2022-09-16,155,0.027,237,0.015,29030,0.012,0.054,12198400,4024701,1570,526,73550069384,7245238,12,14000
2022-09-17,175,0.027,257,0.014,30173,0.012,0.08,21436799,9238399,2412,842,73571506183,7247650,10,14000
2022-09-18,165,0.025,241,0.014,28102,0.011,0.084,21123099,-313700,2367,-45,73592629282,7250017,11,14000
2022-09-19,158,0.03,225,0.015,28322,0.013,0.04,9072600,-12050499,1143,-1224,73601701882,7251160,10,13000
2022-09-20,155,0.029,226,0.016,27616,0.013,0.047,10721100,1648500,1307,164,73612422982,7252467,10,13000
