,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2013-04-24,2,0.001,2,0.0,733,0.0,0.951,10252000,10252000 ( 100.0% ),697,697 ( 100.0% ),10252000,697,18
1,2013-04-25,1229,0.346,6249,0.523,1235978,0.609,0.342,3375121500,3364869500 ( 32821.6% ),422504,421807 ( 60517.5% ),3385373500,423201,1
2,2013-04-26,1261,0.35,6575,0.53,1293928,0.617,0.376,4007062500,631941000 ( 18.7% ),486637,64133 ( 15.2% ),7392436000,909838,1
3,2013-04-27,1369,0.362,7383,0.556,1426849,0.64,0.627,7478951500,3471889000 ( 86.6% ),894377,407740 ( 83.8% ),14871387500,1804215,1
4,2013-04-28,1381,0.37,7181,0.561,1386782,0.643,0.592,6808673500,-670278000 ( -9.0% ),821041,-73336 ( -8.2% ),21680061000,2625256,1
5,2013-04-29,1247,0.359,6452,0.541,1269520,0.628,0.222,2195271500,-4613402000 ( -67.8% ),282271,-538770 ( -65.6% ),23875332500,2907527,1
6,2013-04-30,1292,0.359,6624,0.546,1295516,0.631,0.251,2492889000,297617500 ( 13.6% ),325124,42853 ( 15.2% ),26368221500,3232651,1
7,2013-05-01,1299,0.362,6694,0.522,1284928,0.595,0.429,4277836500,1784947500 ( 71.6% ),550990,225866 ( 69.5% ),30646058000,3783641,1
8,2013-05-02,1235,0.377,6209,0.522,1206030,0.595,0.186,1729945000,-2547891500 ( -59.6% ),224628,-326362 ( -59.2% ),32376003000,4008269,1
9,2013-05-03,1296,0.375,6536,0.522,1267308,0.597,0.304,3026139000,1296194000 ( 74.9% ),385024,160396 ( 71.4% ),35402142000,4393293,1
10,2013-05-04,1372,0.364,7263,0.524,1388817,0.598,0.557,6166524500,3140385500 ( 103.8% ),774176,389152 ( 101.1% ),41568666500,5167469,1
11,2013-05-05,1389,0.364,6996,0.519,1336841,0.592,0.528,5559977500,-606547000 ( -9.8% ),705579,-68597 ( -8.9% ),47128644000,5873048,1
12,2013-05-06,1244,0.37,6179,0.516,1204780,0.592,0.142,1290351000,-4269626500 ( -76.8% ),171173,-534406 ( -75.7% ),48418995000,6044221,1
13,2013-05-07,1245,0.379,6067,0.523,1184303,0.598,0.104,949445500,-340905500 ( -26.4% ),123264,-47909 ( -28.0% ),49368440500,6167485,1
14,2013-05-08,1227,0.374,5995,0.512,1173222,0.589,0.105,925332500,-24113000 ( -2.5% ),122878,-386 ( -0.3% ),50293773000,6290363,1
15,2013-05-09,1057,0.348,5264,0.433,1045467,0.507,0.108,855829000,-69503500 ( -7.5% ),112536,-10342 ( -8.4% ),51149602000,6402899,1
16,2013-05-10,1075,0.343,5551,0.433,1097547,0.508,0.178,1520284500,664455500 ( 77.6% ),195262,82726 ( 73.5% ),52669886500,6598161,1
17,2013-05-11,1130,0.32,6004,0.44,1174969,0.513,0.387,3586978000,2066693500 ( 135.9% ),454673,259411 ( 132.9% ),56256864500,7052834,1
18,2013-05-12,1107,0.323,5775,0.439,1132090,0.512,0.344,3030864000,-556114000 ( -15.5% ),389883,-64790 ( -14.2% ),59287728500,7442717,1
19,2013-05-13,1016,0.343,5063,0.428,1006444,0.501,0.078,598629500,-2432234500 ( -80.2% ),78628,-311255 ( -79.8% ),59886358000,7521345,1
20,2013-05-14,1019,0.339,4987,0.426,998203,0.502,0.07,527642500,-70987000 ( -11.9% ),70067,-8561 ( -10.9% ),60414000500,7591412,1
21,2013-05-15,1034,0.335,5027,0.419,1002122,0.493,0.1,723915500,196273000 ( 37.2% ),99870,29803 ( 42.5% ),61137916000,7691282,1
22,2013-05-16,562,0.175,2558,0.196,524008,0.239,0.157,593529500,-130386000 ( -18.0% ),82282,-17588 ( -17.6% ),61731445500,7773564,3
23,2013-05-17,617,0.18,2863,0.204,585264,0.249,0.474,2092892500,1499363000 ( 252.6% ),277522,195240 ( 237.3% ),63824338000,8051086,1
24,2013-05-18,637,0.179,2874,0.204,580891,0.247,0.393,1759179500,-333713000 ( -15.9% ),228563,-48959 ( -17.6% ),65583517500,8279649,1
25,2013-05-19,630,0.177,2748,0.203,557722,0.246,0.349,1468581500,-290598000 ( -16.5% ),194920,-33643 ( -14.7% ),67052099000,8474569,1
26,2013-05-20,544,0.176,2411,0.199,492003,0.24,0.082,291705000,-1176876500 ( -80.1% ),40307,-154613 ( -79.3% ),67343804000,8514876,3
27,2013-05-21,550,0.174,2349,0.197,476889,0.236,0.073,252760500,-38944500 ( -13.4% ),34971,-5336 ( -13.2% ),67596564500,8549847,3
28,2013-05-22,388,0.115,1681,0.138,287097,0.139,0.096,187298000,-65462500 ( -25.9% ),27435,-7536 ( -21.5% ),67783862500,8577282,4
29,2013-05-23,386,0.114,1637,0.135,276996,0.134,0.088,168633000,-18665000 ( -10.0% ),24430,-3005 ( -11.0% ),67952495500,8601712,4
30,2013-05-24,384,0.112,1707,0.134,285680,0.133,0.127,265045500,96412500 ( 57.2% ),36176,11746 ( 48.1% ),68217541000,8637888,4
31,2013-05-25,431,0.107,1763,0.129,289108,0.126,0.33,696564500,431519000 ( 162.8% ),95405,59229 ( 163.7% ),68914105500,8733293,4
32,2013-05-26,414,0.104,1653,0.126,272380,0.123,0.314,614205000,-82359500 ( -11.8% ),85656,-9749 ( -10.2% ),69528310500,8818949,3
33,2013-05-27,363,0.107,1574,0.131,258642,0.127,0.087,153504000,-460701000 ( -75.0% ),22431,-63225 ( -73.8% ),69681814500,8841380,4
34,2013-05-28,374,0.111,1582,0.131,259446,0.127,0.083,144401500,-9102500 ( -5.9% ),21436,-995 ( -4.4% ),69826216000,8862816,4
35,2013-05-29,369,0.098,1331,0.111,218071,0.107,0.081,118792000,-25609500 ( -17.7% ),17680,-3756 ( -17.5% ),69945008000,8880496,5
36,2013-05-30,266,0.08,720,0.057,98505,0.046,0.11,72089500,-46702500 ( -39.3% ),10872,-6808 ( -38.5% ),70017097500,8891368,6
37,2013-05-31,262,0.077,739,0.057,101200,0.046,0.148,107072500,34983000 ( 48.5% ),14977,4105 ( 37.8% ),70124170000,8906345,6
38,2013-06-01,266,0.072,709,0.051,95912,0.041,0.342,239472500,132400000 ( 123.7% ),32765,17788 ( 118.8% ),70363642500,8939110,7
39,2013-06-02,264,0.074,690,0.051,93185,0.041,0.319,212905000,-26567500 ( -11.1% ),29689,-3076 ( -9.4% ),70576547500,8968799,7
40,2013-06-03,257,0.079,677,0.056,92948,0.045,0.075,47202000,-165703000 ( -77.8% ),6925,-22764 ( -76.7% ),70623749500,8975724,6
41,2013-06-04,258,0.078,677,0.057,92619,0.045,0.074,46062000,-1140000 ( -2.4% ),6843,-82 ( -1.2% ),70669811500,8982567,6
42,2013-06-05,32,0.009,64,0.005,8683,0.004,0.151,8971000,-37091000 ( -80.5% ),1308,-5535 ( -80.9% ),70678782500,8983875,11
43,2013-06-06,31,0.008,60,0.004,7479,0.003,0.574,31644500,22673500 ( 252.7% ),4294,2986 ( 228.3% ),70710427000,8988169,13
44,2013-06-07,26,0.007,53,0.004,6842,0.003,0.289,14637000,-17007500 ( -53.7% ),1975,-2319 ( -54.0% ),70725064000,8990144,13
45,2013-06-08,32,0.008,60,0.004,7293,0.003,0.409,22131500,7494500 ( 51.2% ),2982,1007 ( 51.0% ),70747195500,8993126,13
46,2013-06-09,29,0.007,55,0.004,6507,0.003,0.371,17710500,-4421000 ( -20.0% ),2412,-570 ( -19.1% ),70764906000,8995538,13
47,2013-06-10,24,0.007,53,0.004,6892,0.003,0.1,4664000,-13046500 ( -73.7% ),690,-1722 ( -71.4% ),70769570000,8996228,12
48,2013-06-11,24,0.007,54,0.004,6959,0.003,0.09,4332000,-332000 ( -7.1% ),625,-65 ( -9.4% ),70773902000,8996853,14
49,2013-06-12,25,0.007,54,0.004,7016,0.003,0.112,5424000,1092000 ( 25.2% ),786,161 ( 25.8% ),70779326000,8997639,12
50,2013-06-13,5,0.002,8,0.001,981,0.0,0.165,1174000,-4250000 ( -78.4% ),162,-624 ( -79.4% ),70780500000,8997801,23
51,2013-06-14,6,0.002,10,0.001,1325,0.001,0.101,1063000,-111000 ( -9.5% ),134,-28 ( -17.3% ),70781563000,8997935,30
52,2013-06-15,6,0.002,10,0.001,1225,0.001,0.313,2827000,1764000 ( 165.9% ),383,249 ( 185.8% ),70784390000,8998318,19
53,2013-06-16,5,0.001,10,0.001,1176,0.001,0.35,3052000,225000 ( 8.0% ),412,29 ( 7.6% ),70787442000,8998730,19
54,2013-06-17,6,0.002,12,0.001,1486,0.001,0.096,1005000,-2047000 ( -67.1% ),142,-270 ( -65.5% ),70788447000,8998872,25
