,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2013-07-05,1,0.0,1,0.0,108,0.0,1.0,648000,648000 ( 100.0% ),108,108 ( 100.0% ),648000,108,36
1,2013-07-11,1,0.0,1,0.0,183,0.0,1.0,1464000,1464000 ( 100.0% ),183,183 ( 100.0% ),2112000,291,29
2,2013-07-22,12,0.004,12,0.001,2474,0.001,1.086,18918000,18918000 ( 100.0% ),2686,2686 ( 100.0% ),21030000,2977,8
3,2013-07-23,18,0.006,18,0.001,3923,0.002,1.0,31384000,12466000 ( 65.9% ),3923,1237 ( 46.1% ),52414000,6900,8
4,2013-07-24,3,0.001,3,0.0,343,0.0,1.0,2627000,-28757000 ( -91.6% ),343,-3580 ( -91.3% ),55041000,7243,19
5,2013-07-28,2,0.0,8,0.001,421,0.0,1.0,3453000,3453000 ( 100.0% ),421,421 ( 100.0% ),58494000,7664,23
6,2013-07-29,11,0.003,34,0.002,8403,0.004,1.0,53262000,49809000 ( 1442.5% ),8403,7982 ( 1896.0% ),111756000,16067,9
7,2013-07-30,3,0.001,3,0.0,619,0.0,1.0,4535000,-48727000 ( -91.5% ),619,-7784 ( -92.6% ),116291000,16686,16
8,2013-07-31,849,0.212,4395,0.295,882339,0.353,0.474,2877306500,2872771500 ( 63346.7% ),418460,417841 ( 67502.6% ),2993597500,435146,1
9,2013-08-01,936,0.237,4765,0.317,955096,0.379,0.629,4150674000,1273367500 ( 44.3% ),601029,182569 ( 43.6% ),7144271500,1036175,1
10,2013-08-02,1013,0.247,5102,0.334,1017515,0.398,0.618,4624176000,473502000 ( 11.4% ),629024,27995 ( 4.7% ),11768447500,1665199,1
11,2013-08-03,1103,0.262,5577,0.358,1107396,0.425,0.766,6266868500,1642692500 ( 35.5% ),848001,218977 ( 34.8% ),18035316000,2513200,1
12,2013-08-04,1128,0.268,5561,0.364,1098688,0.43,0.72,5843063000,-423805500 ( -6.8% ),790669,-57332 ( -6.8% ),23878379000,3303869,1
13,2013-08-05,1040,0.265,5316,0.359,1069896,0.432,0.436,3233167500,-2609895500 ( -44.7% ),466951,-323718 ( -40.9% ),27111546500,3770820,1
