,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2011-07-29,1,0.0,1,0.0,179,0.0,0.223,300000,300000 ( 100.0% ),40,40 ( 100.0% ),300000,40,36
1,2011-07-30,19,0.005,19,0.001,4032,0.002,0.897,18705000,18405000 ( 6135.0% ),3617,3577 ( 8942.5% ),19005000,3657,14
2,2011-08-01,30,0.009,33,0.003,6766,0.003,0.934,38832000,38832000 ( 100.0% ),6321,6321 ( 100.0% ),57837000,9978,13
3,2011-08-04,65,0.015,136,0.01,28198,0.011,0.363,65208500,65208500 ( 100.0% ),10245,10245 ( 100.0% ),123045500,20223,11
4,2011-08-05,6,0.002,12,0.001,1952,0.001,0.194,2928500,-62280000 ( -95.5% ),378,-9867 ( -96.3% ),125974000,20601,20
5,2011-08-06,221,0.059,333,0.024,56335,0.023,0.704,305932000,303003500 ( 10346.7% ),39672,39294 ( 10395.2% ),431906000,60273,7
6,2011-08-07,198,0.053,309,0.023,51736,0.022,0.757,317960500,12028500 ( 3.9% ),39146,-526 ( -1.3% ),749866500,99419,7
7,2011-08-08,6,0.002,6,0.0,1202,0.001,0.904,5537000,-312423500 ( -98.3% ),1087,-38059 ( -97.2% ),755403500,100506,17
8,2011-08-09,3,0.001,3,0.0,520,0.0,0.904,2544000,-2993000 ( -54.1% ),470,-617 ( -56.8% ),757947500,100976,20
9,2011-08-10,524,0.165,2725,0.21,604613,0.261,0.232,1005479000,1002935000 ( 39423.5% ),140127,139657 ( 29714.3% ),1763426500,241103,1
10,2011-08-11,534,0.158,2738,0.209,621113,0.266,0.254,1147455500,141976500 ( 14.1% ),157484,17357 ( 12.4% ),2910882000,398587,1
11,2011-08-12,543,0.16,2814,0.212,642234,0.271,0.314,1544107000,396651500 ( 34.6% ),201738,44254 ( 28.1% ),4454989000,600325,1
12,2011-08-13,574,0.149,2957,0.214,674418,0.274,0.585,3009151000,1465044000 ( 94.9% ),394797,193059 ( 95.7% ),7464140000,995122,1
13,2011-08-14,611,0.153,3021,0.219,681625,0.278,0.627,3268014500,258863500 ( 8.6% ),427209,32412 ( 8.2% ),10732154500,1422331,1
14,2011-08-15,615,0.154,2958,0.22,671923,0.28,0.628,3197186000,-70828500 ( -2.2% ),421948,-5261 ( -1.2% ),13929340500,1844279,1
15,2011-08-16,558,0.163,2803,0.219,643427,0.281,0.263,1225913500,-1971272500 ( -61.7% ),169241,-252707 ( -59.9% ),15155254000,2013520,1
16,2011-08-17,512,0.145,2592,0.204,574145,0.252,0.282,1167317000,-58596500 ( -4.8% ),162099,-7142 ( -4.2% ),16322571000,2175619,1
17,2011-08-18,524,0.147,2621,0.204,578011,0.251,0.265,1106301500,-61015500 ( -5.2% ),153390,-8709 ( -5.4% ),17428872500,2329009,1
18,2011-08-19,537,0.149,2763,0.209,602526,0.255,0.308,1420704500,314403000 ( 28.4% ),185875,32485 ( 21.2% ),18849577000,2514884,1
19,2011-08-20,614,0.158,3055,0.22,665042,0.269,0.564,2843551000,1422846500 ( 100.2% ),374920,189045 ( 101.7% ),21693128000,2889804,1
20,2011-08-21,602,0.157,2939,0.22,639171,0.268,0.537,2596880500,-246670500 ( -8.7% ),343399,-31521 ( -8.4% ),24290008500,3233203,1
21,2011-08-22,549,0.155,2702,0.217,595278,0.265,0.214,930599000,-1666281500 ( -64.2% ),127541,-215858 ( -62.9% ),25220607500,3360744,1
22,2011-08-23,558,0.156,2717,0.218,592452,0.264,0.205,881798000,-48801000 ( -5.2% ),121268,-6273 ( -4.9% ),26102405500,3482012,1
23,2011-08-24,564,0.159,2726,0.221,597545,0.269,0.182,785655500,-96142500 ( -10.9% ),108675,-12593 ( -10.4% ),26888061000,3590687,1
24,2011-08-25,501,0.148,2543,0.207,573534,0.259,0.181,753864500,-31791000 ( -4.0% ),103654,-5021 ( -4.6% ),27641925500,3694341,1
25,2011-08-26,504,0.148,2655,0.208,603107,0.263,0.224,1036631500,282767000 ( 37.5% ),134963,31309 ( 30.2% ),28678557000,3829304,1
26,2011-08-27,551,0.143,2894,0.212,659142,0.272,0.47,2348574500,1311943000 ( 126.6% ),310059,175096 ( 129.7% ),31027131500,4139363,1
27,2011-08-28,556,0.144,2793,0.213,636973,0.272,0.424,2038192500,-310382000 ( -13.2% ),269967,-40092 ( -12.9% ),33065324000,4409330,1
28,2011-08-29,511,0.153,2561,0.217,583810,0.274,0.148,625092500,-1413100000 ( -69.3% ),86144,-183823 ( -68.1% ),33690416500,4495474,1
29,2011-08-30,516,0.152,2547,0.216,577865,0.271,0.146,605691500,-19401000 ( -3.1% ),84140,-2004 ( -2.3% ),34296108000,4579614,1
30,2011-08-31,464,0.142,2173,0.189,458937,0.221,0.161,526780500,-78911000 ( -13.0% ),74089,-10051 ( -11.9% ),34822888500,4653703,1
31,2011-09-01,466,0.15,2222,0.193,470214,0.226,0.139,464556000,-62224500 ( -11.8% ),65515,-8574 ( -11.6% ),35287444500,4719218,1
32,2011-09-02,469,0.151,2404,0.197,507780,0.231,0.158,612677500,148121500 ( 31.9% ),80205,14690 ( 22.4% ),35900122000,4799423,1
33,2011-09-03,514,0.133,2458,0.188,533605,0.227,0.386,1544120000,931442500 ( 152.0% ),205925,125720 ( 156.7% ),37444242000,5005348,1
34,2011-09-04,491,0.13,2353,0.186,513848,0.227,0.359,1387123000,-156997000 ( -10.2% ),184614,-21311 ( -10.3% ),38831365000,5189962,1
35,2011-09-05,473,0.154,2309,0.205,493632,0.241,0.104,367590000,-1019533000 ( -73.5% ),51340,-133274 ( -72.2% ),39198955000,5241302,1
36,2011-09-06,470,0.153,2290,0.204,491349,0.241,0.098,345983000,-21607000 ( -5.9% ),48066,-3274 ( -6.4% ),39544938000,5289368,1
37,2011-09-07,371,0.126,1710,0.145,362527,0.169,0.105,271863000,-74120000 ( -21.4% ),37922,-10144 ( -21.1% ),39816801000,5327290,2
38,2011-09-08,380,0.124,1749,0.147,369986,0.171,0.096,256623000,-15240000 ( -5.6% ),35494,-2428 ( -6.4% ),40073424000,5362784,2
39,2011-09-09,390,0.123,1890,0.146,399957,0.172,0.176,544514000,287891000 ( 112.2% ),70499,35005 ( 98.6% ),40617938000,5433283,2
40,2011-09-10,437,0.124,2088,0.148,436198,0.173,0.42,1394513500,849999500 ( 156.1% ),183168,112669 ( 159.8% ),42012451500,5616451,2
41,2011-09-11,444,0.124,2074,0.149,433328,0.173,0.418,1397482000,2968500 ( 0.2% ),181319,-1849 ( -1.0% ),43409933500,5797770,2
42,2011-09-12,448,0.123,2108,0.151,440936,0.176,0.578,1987394500,589912500 ( 42.2% ),254958,73639 ( 40.6% ),45397328000,6052728,2
43,2011-09-13,457,0.124,2066,0.151,430939,0.175,0.625,2037044500,49650000 ( 2.5% ),269513,14555 ( 5.7% ),47434372500,6322241,2
44,2011-09-14,405,0.122,1889,0.146,398034,0.171,0.297,823998500,-1213046000 ( -59.5% ),118260,-151253 ( -56.1% ),48258371000,6440501,2
45,2011-09-15,395,0.124,1829,0.15,389795,0.176,0.115,316387000,-507611500 ( -61.6% ),44672,-73588 ( -62.2% ),48574758000,6485173,2
46,2011-09-16,401,0.126,1929,0.152,410354,0.179,0.13,404765000,88378000 ( 27.9% ),53407,8735 ( 19.6% ),48979523000,6538580,1
47,2011-09-17,429,0.112,2049,0.149,431021,0.175,0.345,1107637500,702872500 ( 173.6% ),148667,95260 ( 178.4% ),50087160500,6687247,1
48,2011-09-18,413,0.112,1957,0.148,414291,0.174,0.306,954302000,-153335500 ( -13.8% ),126831,-21836 ( -14.7% ),51041462500,6814078,1
49,2011-09-19,388,0.127,1836,0.157,390726,0.184,0.086,240274500,-714027500 ( -74.8% ),33466,-93365 ( -73.6% ),51281737000,6847544,1
50,2011-09-20,395,0.128,1833,0.158,391284,0.185,0.08,222845000,-17429500 ( -7.3% ),31252,-2214 ( -6.6% ),51504582000,6878796,1
51,2011-09-21,392,0.128,1819,0.16,387885,0.188,0.073,202501500,-20343500 ( -9.1% ),28487,-2765 ( -8.8% ),51707083500,6907283,1
52,2011-09-22,331,0.112,1595,0.139,306686,0.148,0.073,160686000,-41815500 ( -20.6% ),22466,-6021 ( -21.1% ),51867769500,6929749,3
53,2011-09-23,332,0.11,1664,0.138,319915,0.147,0.093,227019000,66333000 ( 41.3% ),29846,7380 ( 32.8% ),52094788500,6959595,2
54,2011-09-24,347,0.092,1663,0.127,317347,0.135,0.223,538875500,311856500 ( 137.4% ),70679,40833 ( 136.8% ),52633664000,7030274,2
55,2011-09-25,343,0.092,1584,0.126,303272,0.135,0.221,508970000,-29905500 ( -5.5% ),67096,-3583 ( -5.1% ),53142634000,7097370,2
56,2011-09-26,331,0.112,1578,0.143,300828,0.15,0.069,149443000,-359527000 ( -70.6% ),20782,-46314 ( -69.0% ),53292077000,7118152,2
