,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2022-06-09,2,0.0,2,0.0,1252,0.001,1.0,18952000,18952000 ( 100.0% ),1252,1252 ( 100.0% ),18952000,1252,7
1,2022-06-11,2,0.0,7,0.0,2990,0.001,0.736,26590000,26590000 ( 100.0% ),2200,2200 ( 100.0% ),45542000,3452,7
2,2022-06-12,8,0.002,9,0.0,3865,0.001,0.544,27706400,1116400 ( 4.2% ),2104,-96 ( -4.4% ),73248400,5556,7
3,2022-06-16,3,0.001,3,0.0,1061,0.0,0.972,12370000,12370000 ( 100.0% ),1031,1031 ( 100.0% ),85618400,6587,7
4,2022-06-17,1,0.0,1,0.0,290,0.0,1.0,5220000,-7150000 ( -57.8% ),290,-741 ( -71.9% ),90838400,6877,21
5,2022-06-18,418,0.065,420,0.022,74648,0.027,0.342,285991050,280771050 ( 5378.8% ),25530,25240 ( 8703.4% ),376829450,32407,6
6,2022-06-19,424,0.067,427,0.023,76400,0.029,0.423,364059380,78068330 ( 27.3% ),32297,6767 ( 26.5% ),740888830,64704,6
7,2022-06-20,1,0.0,1,0.0,462,0.0,0.0,0,-364059380 ( -100.0% ),0,-32297 ( -100.0% ),740888830,64704,111
8,2022-06-22,1975,0.381,9158,0.533,1508016,0.604,0.125,1976049530,1976049530 ( 100.0% ),188312,188312 ( 100.0% ),2716938360,253016,1
9,2022-06-23,1926,0.357,8720,0.512,1446643,0.586,0.101,1546459190,-429590340 ( -21.7% ),146105,-42207 ( -22.4% ),4263397550,399121,1
10,2022-06-24,1941,0.356,8948,0.505,1487057,0.58,0.145,2401575760,855116570 ( 55.3% ),216163,70058 ( 48.0% ),6664973310,615284,1
11,2022-06-25,1858,0.322,8907,0.476,1479025,0.549,0.319,5192321350,2790745590 ( 116.2% ),472306,256143 ( 118.5% ),11857294660,1087590,1
12,2022-06-26,1844,0.322,8589,0.472,1427305,0.545,0.307,4789763620,-402557730 ( -7.8% ),438673,-33633 ( -7.1% ),16647058280,1526263,1
13,2022-06-27,1722,0.344,7988,0.481,1339714,0.552,0.117,1654213940,-3135549680 ( -65.5% ),156222,-282451 ( -64.4% ),18301272220,1682485,1
14,2022-06-28,1735,0.339,7945,0.478,1333389,0.551,0.11,1554558540,-99655400 ( -6.0% ),146871,-9351 ( -6.0% ),19855830760,1829356,1
15,2022-06-29,1325,0.257,5680,0.336,932324,0.38,0.223,1830630070,276071530 ( 17.8% ),208178,61307 ( 41.7% ),21686460830,2037534,1
16,2022-06-30,1355,0.256,5775,0.343,949682,0.389,0.154,1537625670,-293004400 ( -16.0% ),146232,-61946 ( -29.8% ),23224086500,2183766,1
17,2022-07-01,1452,0.27,6302,0.363,1039165,0.413,0.217,2514771670,977146000 ( 63.5% ),225695,79463 ( 54.3% ),25738858170,2409461,1
18,2022-07-02,1612,0.278,7224,0.396,1188247,0.452,0.404,5294345740,2779574070 ( 110.5% ),480279,254584 ( 112.8% ),31033203910,2889740,1
19,2022-07-03,1622,0.282,7146,0.402,1176149,0.459,0.373,4795769500,-498576240 ( -9.4% ),439247,-41032 ( -8.5% ),35828973410,3328987,1
20,2022-07-04,1459,0.294,6568,0.404,1091432,0.46,0.139,1657252790,-3138516710 ( -65.4% ),151678,-287569 ( -65.5% ),37486226200,3480665,1
21,2022-07-05,1495,0.293,6621,0.402,1095423,0.456,0.153,1840848870,183596080 ( 11.1% ),167795,16117 ( 10.6% ),39327075070,3648460,1
22,2022-07-06,961,0.177,3516,0.192,462768,0.174,0.217,1009403610,-831445260 ( -45.2% ),100506,-67289 ( -40.1% ),40336478680,3748966,2
23,2022-07-07,1013,0.185,3805,0.21,498478,0.189,0.201,1023016240,13612630 ( 1.3% ),100355,-151 ( -0.2% ),41359494920,3849321,2
24,2022-07-08,1112,0.2,4198,0.226,550835,0.204,0.269,1578819190,555802950 ( 54.3% ),148220,47865 ( 47.7% ),42938314110,3997541,2
25,2022-07-09,1275,0.215,4922,0.254,661712,0.235,0.507,3572266360,1993447170 ( 126.3% ),335571,187351 ( 126.4% ),46510580470,4333112,2
26,2022-07-10,1329,0.224,5000,0.265,673636,0.246,0.476,3391502180,-180764180 ( -5.1% ),320403,-15168 ( -4.5% ),49902082650,4653515,2
27,2022-07-11,1222,0.239,4869,0.287,698569,0.28,0.144,1028077520,-2363424660 ( -69.7% ),100604,-219799 ( -68.6% ),50930160170,4754119,2
28,2022-07-12,1231,0.232,4886,0.29,701346,0.285,0.128,918166360,-109911160 ( -10.7% ),89811,-10793 ( -10.7% ),51848326530,4843930,1
29,2022-07-13,1378,0.215,5081,0.294,800237,0.316,0.118,972731260,54564900 ( 5.9% ),94448,4637 ( 5.2% ),52821057790,4938378,1
30,2022-07-14,1412,0.219,5241,0.305,830510,0.332,0.112,969705220,-3026040 ( -0.3% ),93103,-1345 ( -1.4% ),53790763010,5031481,1
31,2022-07-15,1478,0.224,5642,0.317,891884,0.345,0.157,1521006830,551301610 ( 56.9% ),139681,46578 ( 50.0% ),55311769840,5171162,1
32,2022-07-16,1532,0.221,6271,0.331,1003006,0.366,0.294,3207882910,1686876080 ( 110.9% ),295385,155704 ( 111.5% ),58519652750,5466547,1
33,2022-07-17,1544,0.227,6153,0.332,988805,0.37,0.27,2885439880,-322443030 ( -10.1% ),267265,-28120 ( -9.5% ),61405092630,5733812,1
34,2022-07-18,1395,0.225,5503,0.329,907014,0.37,0.104,977934330,-1907505550 ( -66.1% ),93954,-173311 ( -64.8% ),62383026960,5827766,1
35,2022-07-19,1406,0.222,5517,0.327,908628,0.369,0.11,1041221737,63287407 ( 6.5% ),100087,6133 ( 6.5% ),63424248697,5927853,1
36,2022-07-20,721,0.122,2222,0.121,301343,0.114,0.204,625659153,-415562584 ( -39.9% ),61324,-38763 ( -38.7% ),64049907850,5989177,3
37,2022-07-21,867,0.136,2485,0.135,342301,0.13,0.188,656455952,30796799 ( 4.9% ),64224,2900 ( 4.7% ),64706363802,6053401,3
38,2022-07-22,957,0.149,2775,0.147,391639,0.144,0.225,948453156,291997204 ( 44.5% ),88200,23976 ( 37.3% ),65654816958,6141601,3
39,2022-07-23,1096,0.167,3276,0.164,470094,0.164,0.386,1965985873,1017532717 ( 107.3% ),181301,93101 ( 105.6% ),67620802831,6322902,3
40,2022-07-24,1115,0.171,3293,0.169,479070,0.171,0.374,1931101117,-34884756 ( -1.8% ),178993,-2308 ( -1.3% ),69551903948,6501895,3
41,2022-07-25,981,0.165,3221,0.178,487767,0.186,0.147,735155225,-1195945892 ( -61.9% ),71504,-107489 ( -60.1% ),70287059173,6573399,3
42,2022-07-26,990,0.165,3254,0.181,489846,0.188,0.139,703597524,-31557701 ( -4.3% ),68261,-3243 ( -4.5% ),70990656697,6641660,3
43,2022-07-27,734,0.128,1830,0.096,228684,0.084,0.279,535804184,-167793340 ( -23.8% ),63705,-4556 ( -6.7% ),71526460881,6705365,3
44,2022-07-28,773,0.121,1836,0.095,233644,0.084,0.203,486427798,-49376386 ( -9.2% ),47328,-16377 ( -25.7% ),72012888679,6752693,3
45,2022-07-29,828,0.126,1984,0.1,255681,0.09,0.255,708943458,222515660 ( 45.7% ),65322,17994 ( 38.0% ),72721832137,6818015,3
46,2022-07-30,867,0.129,2045,0.1,269101,0.092,0.442,1305306904,596363446 ( 84.1% ),118984,53662 ( 82.1% ),74027139041,6936999,3
47,2022-07-31,872,0.13,2054,0.102,269403,0.093,0.417,1224926845,-80380059 ( -6.2% ),112357,-6627 ( -5.6% ),75252065886,7049356,3
48,2022-08-01,797,0.129,2038,0.105,266619,0.096,0.268,731076809,-493850036 ( -40.3% ),71491,-40866 ( -36.4% ),75983142695,7120847,3
49,2022-08-02,802,0.129,2072,0.107,269288,0.097,0.247,678686098,-52390711 ( -7.2% ),66646,-4845 ( -6.8% ),76661828793,7187493,3
50,2022-08-03,556,0.086,1117,0.059,135642,0.05,0.272,382986625,-295699473 ( -43.6% ),36847,-29799 ( -44.7% ),77044815418,7224340,4
51,2022-08-04,573,0.087,1149,0.06,138671,0.051,0.249,356183309,-26803316 ( -7.0% ),34520,-2327 ( -6.3% ),77400998727,7258860,4
52,2022-08-05,605,0.091,1238,0.064,153487,0.056,0.306,504483247,148299938 ( 41.6% ),46942,12422 ( 36.0% ),77905481974,7305802,3
