,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2011-06-28,24,0.008,24,0.002,6147,0.003,1.064,71373000,71373000 ( 100.0% ),6543,6543 ( 100.0% ),71373000,6543,9
1,2011-06-29,1245,0.445,6059,0.569,1224920,0.653,0.445,5494404500,5423031500 ( 7598.2% ),544995,538452 ( 8229.4% ),5565777500,551538,1
2,2011-06-30,1262,0.453,6125,0.572,1237014,0.657,0.351,4298871500,-1195533000 ( -21.8% ),434393,-110602 ( -20.3% ),9864649000,985931,1
3,2011-07-01,1301,0.461,6453,0.584,1302140,0.668,0.362,4789179000,490307500 ( 11.4% ),471608,37215 ( 8.6% ),14653828000,1457539,1
4,2011-07-02,1409,0.489,7260,0.631,1431798,0.708,0.668,9341439000,4552260000 ( 95.1% ),956500,484892 ( 102.8% ),23995267000,2414039,1
5,2011-07-03,1398,0.492,7060,0.63,1393258,0.709,0.676,9108777500,-232661500 ( -2.5% ),942277,-14223 ( -1.5% ),33104044500,3356316,1
6,2011-07-04,1223,0.447,5551,0.554,1137188,0.642,0.213,2407609000,-6701168500 ( -73.6% ),241851,-700426 ( -74.3% ),35511653500,3598167,1
7,2011-07-05,1225,0.443,5616,0.556,1150762,0.643,0.204,2279348500,-128260500 ( -5.3% ),234287,-7564 ( -3.1% ),37791002000,3832454,1
8,2011-07-06,1230,0.44,5795,0.551,1186679,0.641,0.18,2069430500,-209918000 ( -9.2% ),213971,-20316 ( -8.7% ),39860432500,4046425,1
9,2011-07-07,1154,0.419,5504,0.507,1144490,0.6,0.162,1820787500,-248643000 ( -12.0% ),185313,-28658 ( -13.4% ),41681220000,4231738,1
10,2011-07-08,1167,0.421,5722,0.513,1184537,0.605,0.22,2587584500,766797000 ( 42.1% ),260590,75277 ( 40.6% ),44268804500,4492328,1
11,2011-07-09,1257,0.432,6463,0.542,1305639,0.628,0.602,7433757500,4846173000 ( 187.3% ),785620,525030 ( 201.5% ),51702562000,5277948,1
12,2011-07-10,1243,0.433,6198,0.54,1256076,0.628,0.504,5982949500,-1450808000 ( -19.5% ),632984,-152636 ( -19.4% ),57685511500,5910932,1
13,2011-07-11,1121,0.417,5285,0.498,1100580,0.588,0.111,1201349000,-4781600500 ( -79.9% ),121623,-511361 ( -80.8% ),58886860500,6032555,1
14,2011-07-12,1123,0.413,5213,0.493,1088805,0.584,0.1,1062961000,-138388000 ( -11.5% ),108592,-13031 ( -10.7% ),59949821500,6141147,1
15,2011-07-13,765,0.266,3314,0.299,635503,0.322,0.13,784354500,-278606500 ( -26.2% ),82571,-26021 ( -24.0% ),60734176000,6223718,2
16,2011-07-14,744,0.263,3253,0.293,618179,0.313,0.124,729450000,-54904500 ( -7.0% ),76960,-5611 ( -6.8% ),61463626000,6300678,2
17,2011-07-15,741,0.262,3393,0.291,641393,0.311,0.168,1033882500,304432500 ( 41.7% ),107670,30710 ( 39.9% ),62497508500,6408348,2
18,2011-07-16,763,0.231,3354,0.273,618616,0.285,0.427,2508383000,1474500500 ( 142.6% ),264398,156728 ( 145.6% ),65005891500,6672746,2
19,2011-07-17,741,0.229,3205,0.269,591436,0.281,0.456,2474966500,-33416500 ( -1.3% ),269990,5592 ( 2.1% ),67480858000,6942736,2
20,2011-07-18,714,0.258,3170,0.283,598122,0.3,0.121,665578000,-1809388500 ( -73.1% ),72594,-197396 ( -73.1% ),68146436000,7015330,2
21,2011-07-19,713,0.258,3144,0.281,591627,0.298,0.109,591295000,-74283000 ( -11.2% ),64213,-8381 ( -11.5% ),68737731000,7079543,2
22,2011-07-20,373,0.127,1260,0.11,194241,0.094,0.19,317879000,-273416000 ( -46.2% ),36855,-27358 ( -42.6% ),69055610000,7116398,4
23,2011-07-21,368,0.126,1225,0.105,184599,0.089,0.191,301028500,-16850500 ( -5.3% ),35334,-1521 ( -4.1% ),69356638500,7151732,4
24,2011-07-22,372,0.127,1275,0.106,191845,0.089,0.229,385316000,84287500 ( 28.0% ),43934,8600 ( 24.3% ),69741954500,7195666,4
25,2011-07-23,395,0.125,1292,0.102,193506,0.086,0.5,841122500,455806500 ( 118.3% ),96738,52804 ( 120.2% ),70583077000,7292404,4
26,2011-07-24,389,0.123,1246,0.102,185967,0.085,0.466,747410000,-93712500 ( -11.1% ),86652,-10086 ( -10.4% ),71330487000,7379056,4
27,2011-07-25,371,0.128,1245,0.106,186587,0.089,0.179,290971000,-456439000 ( -61.1% ),33492,-53160 ( -61.3% ),71621458000,7412548,4
28,2011-07-26,373,0.128,1232,0.105,186187,0.089,0.159,251639500,-39331500 ( -13.5% ),29546,-3946 ( -11.8% ),71873097500,7442094,4
29,2011-07-27,357,0.109,1068,0.09,162349,0.076,0.164,228905000,-22734500 ( -9.0% ),26610,-2936 ( -9.9% ),72102002500,7468704,5
30,2011-07-28,315,0.095,855,0.07,126464,0.058,0.192,210085000,-18820000 ( -8.2% ),24301,-2309 ( -8.7% ),72312087500,7493005,7
31,2011-07-29,315,0.095,879,0.07,129026,0.057,0.237,272123500,62038500 ( 29.5% ),30626,6325 ( 26.0% ),72584211000,7523631,7
32,2011-07-30,300,0.084,841,0.064,122884,0.053,0.419,448399000,176275500 ( 64.8% ),51440,20814 ( 68.0% ),73032610000,7575071,7
33,2011-07-31,298,0.084,816,0.064,119313,0.052,0.396,414906500,-33492500 ( -7.5% ),47281,-4159 ( -8.1% ),73447516500,7622352,7
34,2011-08-01,316,0.092,850,0.068,123791,0.056,0.34,357490000,-57416500 ( -13.8% ),42087,-5194 ( -11.0% ),73805006500,7664439,7
35,2011-08-02,312,0.091,849,0.068,123943,0.056,0.3,315279000,-42211000 ( -11.8% ),37127,-4960 ( -11.8% ),74120285500,7701566,7
36,2011-08-03,303,0.085,788,0.062,118507,0.053,0.234,238336500,-76942500 ( -24.4% ),27768,-9359 ( -25.2% ),74358622000,7729334,8
37,2011-08-04,189,0.045,422,0.031,66334,0.026,0.186,106164500,-132172000 ( -55.5% ),12320,-15448 ( -55.6% ),74464786500,7741654,9
38,2011-08-05,120,0.034,236,0.018,32026,0.013,0.256,70021000,-36143500 ( -34.0% ),8206,-4114 ( -33.4% ),74534807500,7749860,10
39,2011-08-06,98,0.026,173,0.012,24700,0.01,0.42,91314500,21293500 ( 30.4% ),10379,2173 ( 26.5% ),74626122000,7760239,11
40,2011-08-07,96,0.026,159,0.012,22451,0.009,0.358,71534000,-19780500 ( -21.7% ),8045,-2334 ( -22.5% ),74697656000,7768284,13
41,2011-08-08,94,0.028,178,0.014,26262,0.011,0.177,39742500,-31791500 ( -44.4% ),4636,-3409 ( -42.4% ),74737398500,7772920,11
42,2011-08-09,93,0.027,177,0.014,26476,0.011,0.155,34337000,-5405500 ( -13.6% ),4115,-521 ( -11.2% ),74771735500,7777035,11
43,2011-08-10,34,0.011,58,0.004,8378,0.004,0.194,12387500,-21949500 ( -63.9% ),1623,-2492 ( -60.6% ),74784123000,7778658,12
44,2011-08-11,17,0.005,22,0.002,3412,0.001,0.139,4127500,-8260000 ( -66.7% ),473,-1150 ( -70.9% ),74788250500,7779131,19
45,2011-08-12,14,0.004,19,0.001,2821,0.001,0.2,4902500,775000 ( 18.8% ),565,92 ( 19.5% ),74793153000,7779696,16
46,2011-08-13,17,0.004,22,0.002,3498,0.001,0.397,13049500,8147000 ( 166.2% ),1389,824 ( 145.8% ),74806202500,7781085,16
47,2011-08-14,17,0.004,23,0.002,3649,0.001,0.411,13893000,843500 ( 6.5% ),1499,110 ( 7.9% ),74820095500,7782584,16
48,2011-08-15,17,0.004,22,0.002,3349,0.001,0.342,10409500,-3483500 ( -25.1% ),1147,-352 ( -23.5% ),74830505000,7783731,17
49,2011-08-16,18,0.005,24,0.002,3736,0.002,0.13,4078500,-6331000 ( -60.8% ),484,-663 ( -57.8% ),74834583500,7784215,17
50,2011-08-17,2,0.001,2,0.0,347,0.0,0.15,478000,-3600500 ( -88.3% ),52,-432 ( -89.3% ),74835061500,7784267,37
51,2011-08-18,1,0.0,1,0.0,153,0.0,0.294,549000,71000 ( 14.9% ),45,-7 ( -13.5% ),74835610500,7784312,41
52,2011-08-19,1,0.0,1,0.0,153,0.0,0.248,473000,-76000 ( -13.8% ),38,-7 ( -15.6% ),74836083500,7784350,46
53,2011-08-20,1,0.0,1,0.0,153,0.0,0.549,1035000,562000 ( 118.8% ),84,46 ( 121.1% ),74837118500,7784434,39
54,2011-08-21,1,0.0,1,0.0,153,0.0,0.68,1316000,281000 ( 27.1% ),104,20 ( 23.8% ),74838434500,7784538,31
55,2011-08-22,1,0.0,1,0.0,153,0.0,0.131,257000,-1059000 ( -80.5% ),20,-84 ( -80.8% ),74838691500,7784558,48
56,2011-08-23,1,0.0,1,0.0,153,0.0,0.15,299000,42000 ( 16.3% ),23,3 ( 15.0% ),74838990500,7784581,47
57,2011-08-24,1,0.0,1,0.0,153,0.0,0.163,325000,26000 ( 8.7% ),25,2 ( 8.7% ),74839315500,7784606,45
58,2011-10-13,1,0.0,1,0.0,112,0.0,0.027,30000,30000 ( 100.0% ),3,3 ( 100.0% ),74839345500,7784609,47
59,2011-10-14,1,0.0,1,0.0,112,0.0,0.045,50000,20000 ( 66.7% ),5,2 ( 66.7% ),74839395500,7784614,48
60,2011-10-15,1,0.0,1,0.0,112,0.0,0.188,210000,160000 ( 320.0% ),21,16 ( 320.0% ),74839605500,7784635,44
61,2011-11-19,2,0.001,2,0.0,406,0.0,0.017,66000,66000 ( 100.0% ),7,7 ( 100.0% ),74839671500,7784642,67
62,2011-11-20,2,0.001,2,0.0,406,0.0,0.025,100000,34000 ( 51.5% ),10,3 ( 42.9% ),74839771500,7784652,57
63,2011-12-01,2,0.001,3,0.0,508,0.0,0.028,140000,140000 ( 100.0% ),14,14 ( 100.0% ),74839911500,7784666,55
64,2011-12-02,3,0.001,4,0.0,778,0.0,0.018,140000,0 ( 0.0% ),14,0 ( 0.0% ),74840051500,7784680,56
65,2011-12-03,2,0.001,2,0.0,456,0.0,0.05,230000,90000 ( 64.3% ),23,9 ( 64.3% ),74840281500,7784703,66
66,2011-12-04,2,0.001,2,0.0,456,0.0,0.048,220000,-10000 ( -4.3% ),22,-1 ( -4.3% ),74840501500,7784725,61
67,2011-12-05,1,0.0,1,0.0,270,0.0,0.004,10000,-210000 ( -95.5% ),1,-21 ( -95.5% ),74840511500,7784726,67
68,2011-12-07,1,0.0,1,0.0,270,0.0,0.011,30000,30000 ( 100.0% ),3,3 ( 100.0% ),74840541500,7784729,65
69,2011-12-08,1,0.0,1,0.0,270,0.0,0.007,20000,-10000 ( -33.3% ),2,-1 ( -33.3% ),74840561500,7784731,60
70,2011-12-09,1,0.0,1,0.0,270,0.0,0.007,20000,0 ( 0.0% ),2,0 ( 0.0% ),74840581500,7784733,76
71,2011-12-12,1,0.0,1,0.0,270,0.0,0.033,90000,90000 ( 100.0% ),9,9 ( 100.0% ),74840671500,7784742,62
72,2011-12-14,1,0.0,1,0.0,270,0.0,0.004,10000,10000 ( 100.0% ),1,1 ( 100.0% ),74840681500,7784743,80
73,2013-07-12,1,0.0,1,0.0,186,0.0,0.016,15000,15000 ( 100.0% ),3,3 ( 100.0% ),74840696500,7784746,79
74,2013-07-13,1,0.0,1,0.0,186,0.0,0.048,45000,30000 ( 200.0% ),9,6 ( 200.0% ),74840741500,7784755,82
75,2014-06-20,3,0.001,3,0.0,540,0.0,0.146,394047,394047 ( 100.0% ),79,79 ( 100.0% ),74841135547,7784834,48
76,2014-06-21,3,0.001,3,0.0,540,0.0,0.361,973041,578994 ( 146.9% ),195,116 ( 146.8% ),74842108588,7785029,36
77,2014-06-22,2,0.0,2,0.0,354,0.0,0.322,570000,-403041 ( -41.4% ),114,-81 ( -41.5% ),74842678588,7785143,41
78,2014-06-23,2,0.001,2,0.0,354,0.0,0.059,103000,-467000 ( -81.9% ),21,-93 ( -81.6% ),74842781588,7785164,51
79,2014-06-24,2,0.0,2,0.0,354,0.0,0.071,125000,22000 ( 21.4% ),25,4 ( 19.0% ),74842906588,7785189,61
