,"국내총생산(명목, 원화표시) (십억원)","국내총생산(명목, 달러표시) (억달러)","국민총소득(명목, 원화표시) (십억원)","국민총소득(명목, 달러표시) (억달러)",요소비용국민소득(명목) (십억원),국민처분가능소득(명목) (십억원),국민총처분가능소득(명목) (십억원),가계총처분가능소득(명목) (십억원),"1인당 국내총생산(명목, 원화표시) (만원)","1인당 국내총생산(명목, 달러표시) (달러)","1인당 국민총소득(명목, 원화표시) (만원)","1인당 국민총소득(명목, 달러표시) (달러)","1인당 가계총처분가능소득(명목, 원화표시) (만원)","1인당 가계총처분가능소득(명목, 달러표시) (달러)"
2003,837365.0,7025.5,834443.2,7001.0,602692.2,689409.2,831292.4,494340.2,1748.4,14669.4,1742.3,14618.2,1032.2,8660.1
2004,908439.2,7936.3,906864.7,7922.5,662698.2,750340.6,904224.4,532359.3,1889.3,16505.5,1886.1,16476.9,1107.2,9672.5
2005,957447.8,9347.2,950685.4,9281.2,691776.2,784904.9,948273.9,556248.7,1987.0,19398.8,1973.0,19261.8,1154.4,11270.2
2006,1005601.5,10524.2,1002664.7,10493.5,728236.3,827011.2,999356.0,581833.5,2076.0,21727.1,2070.0,21663.7,1201.2,12571.1
2007,1089660.2,11726.9,1086897.3,11697.1,792507.9,901343.3,1084398.3,617108.9,2238.2,24087.9,2232.6,24026.8,1267.6,13641.7
2008,1154216.5,10468.2,1154509.7,10470.9,828123.1,946644.4,1154672.2,658676.7,2352.9,21339.9,2353.5,21345.3,1342.7,12178.0
2009,1205347.7,9443.3,1203479.8,9428.7,859286.3,976066.0,1202422.0,681634.6,2444.5,19151.8,2440.7,19122.1,1382.4,10830.5
2010,1322611.2,11438.7,1324586.9,11455.8,953725.5,1080250.2,1319387.5,722576.0,2669.0,23083.3,2673.0,23117.7,1458.2,12611.0
2011,1388937.2,12534.3,1397534.8,12611.9,1002826.4,1135618.1,1393483.2,762753.3,2781.4,25100.4,2798.6,25255.8,1527.4,13784.2
2012,1440111.4,12779.6,1455170.3,12913.3,1041626.9,1177260.3,1450611.4,793887.9,2868.8,25457.5,2898.8,25723.7,1581.5,14033.9
2013,1500819.1,13705.6,1510384.9,13793.0,1086725.1,1224415.2,1507724.9,831189.6,2976.1,27178.1,2995.1,27351.3,1648.2,15051.9
2014,1562928.9,14839.5,1570493.3,14911.4,1128904.1,1271899.3,1567113.4,865319.8,3079.9,29242.4,3094.8,29383.9,1705.2,16190.1
2015,1658020.4,14653.4,1663206.6,14699.3,1196864.4,1349292.2,1658961.9,925744.6,3250.1,28723.8,3260.2,28813.6,1814.7,16037.7
2016,1740779.6,15000.3,1747143.5,15055.1,1256956.7,1419199.9,1742004.3,948800.5,3398.8,29287.2,3411.2,29394.3,1852.5,15962.8
2017,1835698.2,16233.1,1843180.9,16299.2,1326542.8,1497065.8,1836741.9,982709.9,3574.0,31605.2,3588.6,31734.1,1913.3,16919.3
2018,1898192.6,17251.6,1905837.5,17321.1,1364946.0,1539485.3,1898625.2,1025640.0,3678.2,33429.0,3693.0,33563.7,1987.4,18062.5
2019,1924498.1,16510.1,1941107.9,16652.6,1374935.0,1553455.0,1935211.7,1058703.8,3721.8,31928.8,3753.9,32204.4,2047.4,17564.6
2020,1940726.2,16446.1,1957669.9,16589.7,1365736.5,1554750.8,1954513.2,1098173.0,3744.0,31727.1,3776.6,32004.1,2118.5,17953.0
2021,2071658.0,18102.3,2094721.3,18303.8,1450859.9,1658266.8,2090758.5,1154794.2,4003.6,34983.7,4048.2,35373.1,2231.7,19500.8
2022,2150575.8,16643.3,2178875.7,16862.3,0.0,0.0,2176651.8,0.0,4165.5,32236.8,4220.3,32661.0,0.0,0.0
