,연도,전체개봉편수,전체상영편수,전체매출액,전체관객수,요일
0,2004-01-01 00:00:00,1,7,727005000,113837,Thursday
1,2004-01-02 00:00:00,0,7,642276500,104357,Friday
2,2004-01-03 00:00:00,0,7,796519500,125234,Saturday
3,2004-01-04 00:00:00,0,7,763271000,120203,Sunday
4,2004-01-05 00:00:00,0,7,409269500,64180,Monday
5,2004-01-06 00:00:00,0,7,401693000,63149,Tuesday
6,2004-01-07 00:00:00,0,7,384889500,60454,Wednesday
7,2004-01-08 00:00:00,0,7,408475500,65180,Thursday
8,2004-01-09 00:00:00,1,7,505649500,82367,Friday
9,2004-01-10 00:00:00,0,7,798983000,124788,Saturday
10,2004-01-11 00:00:00,0,8,792217500,124158,Sunday
11,2004-01-12 00:00:00,0,8,390795000,61392,Monday
12,2004-01-13 00:00:00,0,7,387037500,60668,Tuesday
13,2004-01-14 00:00:00,0,9,396751000,62235,Wednesday
14,2004-01-15 00:00:00,0,18,475265000,75829,Thursday
15,2004-01-16 00:00:00,5,10,697181500,114568,Friday
16,2004-01-17 00:00:00,0,10,972025500,153258,Saturday
17,2004-01-18 00:00:00,0,9,934813500,147951,Sunday
18,2004-01-19 00:00:00,0,10,525925500,83755,Monday
19,2004-01-20 00:00:00,0,10,621117000,98549,Tuesday
20,2004-01-21 00:00:00,0,10,748342500,116753,Wednesday
21,2004-01-22 00:00:00,1,10,839071000,129412,Thursday
22,2004-01-23 00:00:00,0,10,1002201500,160313,Friday
23,2004-01-24 00:00:00,0,10,1018707500,160348,Saturday
24,2004-01-25 00:00:00,0,10,899985500,141873,Sunday
25,2004-01-26 00:00:00,0,11,440773000,69662,Monday
26,2004-01-27 00:00:00,0,11,424712500,67432,Tuesday
27,2004-01-28 00:00:00,0,12,404853000,64106,Wednesday
28,2004-01-29 00:00:00,0,15,379343000,61130,Thursday
29,2004-01-30 00:00:00,5,14,458991500,76204,Friday
30,2004-01-31 00:00:00,0,13,781534000,122722,Saturday
32,2004-02-01 00:00:00,0,14,775048000,121877,Sunday
33,2004-02-02 00:00:00,0,14,348863500,55221,Monday
34,2004-02-03 00:00:00,0,15,393559500,62919,Tuesday
35,2004-02-04 00:00:00,0,15,412493500,65941,Wednesday
36,2004-02-05 00:00:00,1,13,571219000,92584,Thursday
37,2004-02-06 00:00:00,1,14,709107500,116297,Friday
38,2004-02-07 00:00:00,0,14,1053315500,165883,Saturday
39,2004-02-08 00:00:00,0,14,1053821000,166846,Sunday
40,2004-02-09 00:00:00,0,15,581305500,92968,Monday
41,2004-02-10 00:00:00,0,15,565733500,90186,Tuesday
42,2004-02-11 00:00:00,0,15,561874500,89612,Wednesday
43,2004-02-12 00:00:00,0,23,537279500,86389,Thursday
44,2004-02-13 00:00:00,9,15,641218000,104784,Friday
45,2004-02-14 00:00:00,0,15,1050436000,164747,Saturday
46,2004-02-15 00:00:00,0,13,1008694500,159014,Sunday
47,2004-02-16 00:00:00,0,14,468822500,74963,Monday
48,2004-02-17 00:00:00,0,12,459767000,73321,Tuesday
49,2004-02-18 00:00:00,0,15,448687000,71374,Wednesday
50,2004-02-19 00:00:00,0,15,512961500,82829,Thursday
51,2004-02-20 00:00:00,8,14,670841000,109720,Friday
52,2004-02-21 00:00:00,0,12,1031642000,162202,Saturday
53,2004-02-22 00:00:00,0,13,1041934500,163950,Sunday
54,2004-02-23 00:00:00,0,12,524516000,83737,Monday
55,2004-02-24 00:00:00,0,12,503665000,80454,Tuesday
56,2004-02-25 00:00:00,0,12,497281500,79474,Wednesday
57,2004-02-26 00:00:00,0,16,499748500,80801,Thursday
58,2004-02-27 00:00:00,9,17,583334500,96259,Friday
59,2004-02-28 00:00:00,0,16,945073000,148250,Saturday
60,2004-02-29 00:00:00,0,16,1086435000,170783,Sunday
62,2004-03-01 00:00:00,0,16,946933500,148945,Monday
63,2004-03-02 00:00:00,0,17,274496500,42884,Tuesday
64,2004-03-03 00:00:00,0,17,251059500,39222,Wednesday
65,2004-03-04 00:00:00,0,22,268177000,42865,Thursday
66,2004-03-05 00:00:00,4,16,361363000,58337,Friday
67,2004-03-06 00:00:00,0,15,734293000,112818,Saturday
68,2004-03-07 00:00:00,0,15,778681500,120947,Sunday
69,2004-03-08 00:00:00,0,16,230777000,36157,Monday
70,2004-03-09 00:00:00,0,16,230522500,35997,Tuesday
71,2004-03-10 00:00:00,0,15,235884000,36777,Wednesday
72,2004-03-11 00:00:00,0,18,256830500,40854,Thursday
73,2004-03-12 00:00:00,4,15,338408000,55371,Friday
74,2004-03-13 00:00:00,0,17,717909500,109900,Saturday
75,2004-03-14 00:00:00,0,18,832424500,128361,Sunday
76,2004-03-15 00:00:00,0,17,225152000,35133,Monday
77,2004-03-16 00:00:00,0,17,223039500,34927,Tuesday
78,2004-03-17 00:00:00,0,17,224415000,35102,Wednesday
79,2004-03-18 00:00:00,0,16,225912500,36001,Thursday
80,2004-03-19 00:00:00,6,17,302413500,49305,Friday
81,2004-03-20 00:00:00,0,19,661198500,101611,Saturday
82,2004-03-21 00:00:00,0,19,651894500,100580,Sunday
83,2004-03-22 00:00:00,0,20,197472500,30965,Monday
84,2004-03-23 00:00:00,0,18,176291000,27801,Tuesday
85,2004-03-24 00:00:00,0,19,172800000,27217,Wednesday
86,2004-03-25 00:00:00,1,21,202535000,32688,Thursday
87,2004-03-26 00:00:00,5,17,310449000,51722,Friday
88,2004-03-27 00:00:00,1,18,618239000,96014,Saturday
89,2004-03-28 00:00:00,0,18,587316500,90815,Sunday
90,2004-03-29 00:00:00,0,18,168844000,26750,Monday
91,2004-03-30 00:00:00,0,18,184566000,29559,Tuesday
92,2004-03-31 00:00:00,0,19,187569000,29743,Wednesday
94,2004-04-01 00:00:00,2,21,261117000,42327,Thursday
95,2004-04-02 00:00:00,5,16,469515500,77796,Friday
96,2004-04-03 00:00:00,0,17,799511500,124865,Saturday
97,2004-04-04 00:00:00,0,17,953638000,149868,Sunday
98,2004-04-05 00:00:00,0,16,962199500,152960,Monday
99,2004-04-06 00:00:00,0,18,296013500,47726,Tuesday
100,2004-04-07 00:00:00,0,18,311809500,49802,Wednesday
101,2004-04-08 00:00:00,0,19,333379500,54373,Thursday
102,2004-04-09 00:00:00,5,15,463613000,79438,Friday
103,2004-04-10 00:00:00,0,14,798230500,128728,Saturday
104,2004-04-11 00:00:00,0,14,745971000,119289,Sunday
105,2004-04-12 00:00:00,0,16,485524000,78448,Monday
106,2004-04-13 00:00:00,0,17,481918000,78256,Tuesday
107,2004-04-14 00:00:00,0,19,675059000,109226,Wednesday
108,2004-04-15 00:00:00,4,20,1589387000,251027,Thursday
109,2004-04-16 00:00:00,1,20,727252000,118175,Friday
110,2004-04-17 00:00:00,0,19,1373992500,214170,Saturday
111,2004-04-18 00:00:00,0,19,1209574000,184775,Sunday
112,2004-04-19 00:00:00,0,21,477792500,76218,Monday
113,2004-04-20 00:00:00,0,19,525352000,83492,Tuesday
114,2004-04-21 00:00:00,0,22,518947000,82895,Wednesday
115,2004-04-22 00:00:00,0,23,549168500,87990,Thursday
116,2004-04-23 00:00:00,10,21,786443500,127769,Friday
117,2004-04-24 00:00:00,0,21,1315216000,203349,Saturday
118,2004-04-25 00:00:00,0,21,1214380500,183797,Sunday
119,2004-04-26 00:00:00,0,21,434995500,68834,Monday
120,2004-04-27 00:00:00,0,21,472009500,74426,Tuesday
121,2004-04-28 00:00:00,0,23,472251000,76128,Wednesday
122,2004-04-29 00:00:00,0,25,503118500,80691,Thursday
123,2004-04-30 00:00:00,8,20,621306500,100825,Friday
125,2004-05-01 00:00:00,0,19,1097405000,167657,Saturday
126,2004-05-02 00:00:00,0,20,1029809000,155361,Sunday
127,2004-05-03 00:00:00,0,20,385590000,60442,Monday
128,2004-05-04 00:00:00,0,17,595348500,94038,Tuesday
129,2004-05-05 00:00:00,2,15,1443236000,221033,Wednesday
130,2004-05-06 00:00:00,0,16,496024000,79166,Thursday
131,2004-05-07 00:00:00,1,16,586042000,95022,Friday
132,2004-05-08 00:00:00,0,15,1079063000,165151,Saturday
133,2004-05-09 00:00:00,0,15,1175730500,177643,Sunday
134,2004-05-10 00:00:00,0,15,425949500,66939,Monday
135,2004-05-11 00:00:00,0,16,405921000,63888,Tuesday
136,2004-05-12 00:00:00,0,16,412794500,64737,Wednesday
137,2004-05-13 00:00:00,0,16,438821000,69360,Thursday
138,2004-05-14 00:00:00,3,16,635120500,101540,Friday
139,2004-05-15 00:00:00,0,16,1201472000,181406,Saturday
140,2004-05-16 00:00:00,0,17,1157408500,174531,Sunday
141,2004-05-17 00:00:00,0,16,394319500,62879,Monday
142,2004-05-18 00:00:00,0,18,376006000,59208,Tuesday
143,2004-05-19 00:00:00,0,21,411498500,64550,Wednesday
144,2004-05-20 00:00:00,0,18,556304000,86700,Thursday
145,2004-05-21 00:00:00,4,15,873647100,138281,Friday
146,2004-05-22 00:00:00,0,16,1422574500,219599,Saturday
147,2004-05-23 00:00:00,0,16,1343993000,204988,Sunday
148,2004-05-24 00:00:00,0,15,520493500,80835,Monday
149,2004-05-25 00:00:00,0,18,699074500,109327,Tuesday
150,2004-05-26 00:00:00,3,17,1480650000,228316,Wednesday
151,2004-05-27 00:00:00,0,16,473160000,73632,Thursday
152,2004-05-28 00:00:00,1,17,678952600,108982,Friday
