,연도,전체개봉편수,전체상영편수,전체매출액,전체관객수,요일,가격,holiday
0,2004-01-01,1,7,727005000,113837,Thu,7000,1
1,2004-01-02,0,7,642276500,104357,Fri,7000,0
2,2004-01-03,0,7,796519500,125234,Sat,7000,0
3,2004-01-04,0,7,763271000,120203,Sun,7000,0
4,2004-01-05,0,7,409269500,64180,Mon,7000,0
5,2004-01-06,0,7,401693000,63149,Tue,7000,0
6,2004-01-07,0,7,384889500,60454,Wed,7000,0
7,2004-01-08,0,7,408475500,65180,Thu,7000,0
8,2004-01-09,1,7,505649500,82367,Fri,7000,0
9,2004-01-10,0,7,798983000,124788,Sat,7000,0
10,2004-01-11,0,8,792217500,124158,Sun,7000,0
11,2004-01-12,0,8,390795000,61392,Mon,7000,0
12,2004-01-13,0,7,387037500,60668,Tue,7000,0
13,2004-01-14,0,9,396751000,62235,Wed,7000,0
14,2004-01-15,0,18,475265000,75829,Thu,7000,0
15,2004-01-16,5,10,697181500,114568,Fri,7000,0
16,2004-01-17,0,10,972025500,153258,Sat,7000,0
17,2004-01-18,0,9,934813500,147951,Sun,7000,0
18,2004-01-19,0,10,525925500,83755,Mon,7000,0
19,2004-01-20,0,10,621117000,98549,Tue,7000,0
20,2004-01-21,0,10,748342500,116753,Wed,7000,1
21,2004-01-22,1,10,839071000,129412,Thu,7000,1
22,2004-01-23,0,10,1002201500,160313,Fri,7000,1
23,2004-01-24,0,10,1018707500,160348,Sat,7000,0
24,2004-01-25,0,10,899985500,141873,Sun,7000,0
25,2004-01-26,0,11,440773000,69662,Mon,7000,0
26,2004-01-27,0,11,424712500,67432,Tue,7000,0
27,2004-01-28,0,12,404853000,64106,Wed,7000,0
28,2004-01-29,0,15,379343000,61130,Thu,7000,0
29,2004-01-30,5,14,458991500,76204,Fri,7000,0
30,2004-01-31,0,13,781534000,122722,Sat,7000,0
31,2004-02-01,0,14,775048000,121877,Sun,7000,0
32,2004-02-02,0,14,348863500,55221,Mon,7000,0
33,2004-02-03,0,15,393559500,62919,Tue,7000,0
34,2004-02-04,0,15,412493500,65941,Wed,7000,0
35,2004-02-05,1,13,571219000,92584,Thu,7000,0
36,2004-02-06,1,14,709107500,116297,Fri,7000,0
37,2004-02-07,0,14,1053315500,165883,Sat,7000,0
38,2004-02-08,0,14,1053821000,166846,Sun,7000,0
39,2004-02-09,0,15,581305500,92968,Mon,7000,0
40,2004-02-10,0,15,565733500,90186,Tue,7000,0
41,2004-02-11,0,15,561874500,89612,Wed,7000,0
42,2004-02-12,0,23,537279500,86389,Thu,7000,0
43,2004-02-13,9,15,641218000,104784,Fri,7000,0
44,2004-02-14,0,15,1050436000,164747,Sat,7000,0
45,2004-02-15,0,13,1008694500,159014,Sun,7000,0
46,2004-02-16,0,14,468822500,74963,Mon,7000,0
47,2004-02-17,0,12,459767000,73321,Tue,7000,0
48,2004-02-18,0,15,448687000,71374,Wed,7000,0
49,2004-02-19,0,15,512961500,82829,Thu,7000,0
50,2004-02-20,8,14,670841000,109720,Fri,7000,0
51,2004-02-21,0,12,1031642000,162202,Sat,7000,0
52,2004-02-22,0,13,1041934500,163950,Sun,7000,0
53,2004-02-23,0,12,524516000,83737,Mon,7000,0
54,2004-02-24,0,12,503665000,80454,Tue,7000,0
55,2004-02-25,0,12,497281500,79474,Wed,7000,0
56,2004-02-26,0,16,499748500,80801,Thu,7000,0
57,2004-02-27,9,17,583334500,96259,Fri,7000,0
58,2004-02-28,0,16,945073000,148250,Sat,7000,0
59,2004-02-29,0,16,1086435000,170783,Sun,7000,0
60,2004-03-01,0,16,946933500,148945,Mon,7000,1
61,2004-03-02,0,17,274496500,42884,Tue,7000,0
62,2004-03-03,0,17,251059500,39222,Wed,7000,0
63,2004-03-04,0,22,268177000,42865,Thu,7000,0
64,2004-03-05,4,16,361363000,58337,Fri,7000,0
65,2004-03-06,0,15,734293000,112818,Sat,7000,0
66,2004-03-07,0,15,778681500,120947,Sun,7000,0
67,2004-03-08,0,16,230777000,36157,Mon,7000,0
68,2004-03-09,0,16,230522500,35997,Tue,7000,0
69,2004-03-10,0,15,235884000,36777,Wed,7000,0
70,2004-03-11,0,18,256830500,40854,Thu,7000,0
71,2004-03-12,4,15,338408000,55371,Fri,7000,0
72,2004-03-13,0,17,717909500,109900,Sat,7000,0
73,2004-03-14,0,18,832424500,128361,Sun,7000,0
74,2004-03-15,0,17,225152000,35133,Mon,7000,0
75,2004-03-16,0,17,223039500,34927,Tue,7000,0
76,2004-03-17,0,17,224415000,35102,Wed,7000,0
77,2004-03-18,0,16,225912500,36001,Thu,7000,0
78,2004-03-19,6,17,302413500,49305,Fri,7000,0
79,2004-03-20,0,19,661198500,101611,Sat,7000,0
80,2004-03-21,0,19,651894500,100580,Sun,7000,0
81,2004-03-22,0,20,197472500,30965,Mon,7000,0
82,2004-03-23,0,18,176291000,27801,Tue,7000,0
83,2004-03-24,0,19,172800000,27217,Wed,7000,0
84,2004-03-25,1,21,202535000,32688,Thu,7000,0
85,2004-03-26,5,17,310449000,51722,Fri,7000,0
86,2004-03-27,1,18,618239000,96014,Sat,7000,0
87,2004-03-28,0,18,587316500,90815,Sun,7000,0
88,2004-03-29,0,18,168844000,26750,Mon,7000,0
89,2004-03-30,0,18,184566000,29559,Tue,7000,0
90,2004-03-31,0,19,187569000,29743,Wed,7000,0
91,2004-04-01,2,21,261117000,42327,Thu,7000,0
92,2004-04-02,5,16,469515500,77796,Fri,7000,0
93,2004-04-03,0,17,799511500,124865,Sat,7000,0
94,2004-04-04,0,17,953638000,149868,Sun,7000,0
95,2004-04-05,0,16,962199500,152960,Mon,7000,1
96,2004-04-06,0,18,296013500,47726,Tue,7000,0
97,2004-04-07,0,18,311809500,49802,Wed,7000,0
98,2004-04-08,0,19,333379500,54373,Thu,7000,0
99,2004-04-09,5,15,463613000,79438,Fri,7000,0
100,2004-04-10,0,14,798230500,128728,Sat,7000,0
101,2004-04-11,0,14,745971000,119289,Sun,7000,0
102,2004-04-12,0,16,485524000,78448,Mon,7000,0
103,2004-04-13,0,17,481918000,78256,Tue,7000,0
104,2004-04-14,0,19,675059000,109226,Wed,7000,0
105,2004-04-15,4,20,1589387000,251027,Thu,7000,0
106,2004-04-16,1,20,727252000,118175,Fri,7000,0
107,2004-04-17,0,19,1373992500,214170,Sat,7000,0
108,2004-04-18,0,19,1209574000,184775,Sun,7000,0
109,2004-04-19,0,21,477792500,76218,Mon,7000,0
110,2004-04-20,0,19,525352000,83492,Tue,7000,0
111,2004-04-21,0,22,518947000,82895,Wed,7000,0
112,2004-04-22,0,23,549168500,87990,Thu,7000,0
113,2004-04-23,10,21,786443500,127769,Fri,7000,0
114,2004-04-24,0,21,1315216000,203349,Sat,7000,0
115,2004-04-25,0,21,1214380500,183797,Sun,7000,0
116,2004-04-26,0,21,434995500,68834,Mon,7000,0
117,2004-04-27,0,21,472009500,74426,Tue,7000,0
118,2004-04-28,0,23,472251000,76128,Wed,7000,0
119,2004-04-29,0,25,503118500,80691,Thu,7000,0
120,2004-04-30,8,20,621306500,100825,Fri,7000,0
121,2004-05-01,0,19,1097405000,167657,Sat,7000,0
122,2004-05-02,0,20,1029809000,155361,Sun,7000,0
123,2004-05-03,0,20,385590000,60442,Mon,7000,0
124,2004-05-04,0,17,595348500,94038,Tue,7000,0
125,2004-05-05,2,15,1443236000,221033,Wed,7000,1
126,2004-05-06,0,16,496024000,79166,Thu,7000,0
127,2004-05-07,1,16,586042000,95022,Fri,7000,0
128,2004-05-08,0,15,1079063000,165151,Sat,7000,0
129,2004-05-09,0,15,1175730500,177643,Sun,7000,0
130,2004-05-10,0,15,425949500,66939,Mon,7000,0
131,2004-05-11,0,16,405921000,63888,Tue,7000,0
132,2004-05-12,0,16,412794500,64737,Wed,7000,0
133,2004-05-13,0,16,438821000,69360,Thu,7000,0
134,2004-05-14,3,16,635120500,101540,Fri,7000,0
135,2004-05-15,0,16,1201472000,181406,Sat,7000,0
136,2004-05-16,0,17,1157408500,174531,Sun,7000,0
137,2004-05-17,0,16,394319500,62879,Mon,7000,0
138,2004-05-18,0,18,376006000,59208,Tue,7000,0
139,2004-05-19,0,21,411498500,64550,Wed,7000,0
140,2004-05-20,0,18,556304000,86700,Thu,7000,0
141,2004-05-21,4,15,873647100,138281,Fri,7000,0
142,2004-05-22,0,16,1422574500,219599,Sat,7000,0
143,2004-05-23,0,16,1343993000,204988,Sun,7000,0
144,2004-05-24,0,15,520493500,80835,Mon,7000,0
145,2004-05-25,0,18,699074500,109327,Tue,7000,0
146,2004-05-26,3,17,1480650000,228316,Wed,7000,1
147,2004-05-27,0,16,473160000,73632,Thu,7000,0
148,2004-05-28,1,17,678952600,108982,Fri,7000,0
149,2004-05-29,0,17,1268031500,194292,Sat,7000,0
150,2004-05-30,0,17,1178616000,179690,Sun,7000,0
151,2004-05-31,0,17,435246000,67973,Mon,7000,0
152,2004-06-01,0,18,821606000,129788,Tue,7000,0
153,2004-06-02,0,20,1022086000,164064,Wed,7000,0
154,2004-06-03,2,17,1193359500,187432,Thu,7000,0
155,2004-06-04,2,16,1532771500,235879,Fri,7000,0
156,2004-06-05,0,17,2819714000,437751,Sat,7000,0
157,2004-06-06,0,17,2658252000,412759,Sun,7000,1
158,2004-06-07,0,17,996750000,157465,Mon,7000,0
159,2004-06-08,0,18,860360500,134751,Tue,7000,0
160,2004-06-09,0,20,818576000,128327,Wed,7000,0
161,2004-06-10,0,20,874389000,138303,Thu,7000,0
162,2004-06-11,4,18,1236212000,190430,Fri,7000,0
163,2004-06-12,0,19,2580736500,402745,Sat,7000,0
164,2004-06-13,0,18,2359700500,366192,Sun,7000,0
165,2004-06-14,0,19,760615000,119416,Mon,7000,0
166,2004-06-15,0,20,709787500,111791,Tue,7000,0
167,2004-06-16,0,20,731599500,114971,Wed,7000,0
168,2004-06-17,1,20,1036326000,163136,Thu,7000,0
169,2004-06-18,4,19,1501902000,232073,Fri,7000,0
170,2004-06-19,1,18,2700989000,420314,Sat,7000,0
171,2004-06-20,0,19,2643025500,405752,Sun,7000,0
