일자,평균기온,최저기온,최고기온,강수량,전체개봉편수,전체상영편수,전체매출액,전체관객수,요일,가격,공휴일
2004-01-01,3.4,-1.0,8.4,0.0,1,7,727005000,113837,Thu,7000,1
2004-01-02,3.1,-0.8,7.6,1.3,0,7,642276500,104357,Fri,7000,0
2004-01-03,2.5,-2.6,9.0,0.0,0,7,796519500,125234,Sat,7000,0
2004-01-04,0.8,-4.4,8.6,0.0,0,7,763271000,120203,Sun,7000,0
2004-01-05,0.8,-4.9,9.5,0.0,0,7,409269500,64180,Mon,7000,0
2004-01-06,2.5,-3.0,9.0,0.0,0,7,401693000,63149,Tue,7000,0
2004-01-07,2.5,-1.9,8.0,0.0,0,7,384889500,60454,Wed,7000,0
2004-01-08,-0.1,-5.4,7.0,0.0,0,7,408475500,65180,Thu,7000,0
2004-01-09,1.6,-3.5,8.1,0.0,1,7,505649500,82367,Fri,7000,0
2004-01-10,1.6,-2.6,6.6,0.0,0,7,798983000,124788,Sat,7000,0
2004-01-11,-0.1,-5.3,6.9,0.0,0,8,792217500,124158,Sun,7000,0
2004-01-12,0.2,-4.8,5.6,1.3,0,8,390795000,61392,Mon,7000,0
2004-01-13,-3.2,-6.1,-0.2,0.6,0,7,387037500,60668,Tue,7000,0
2004-01-14,-3.3,-8.9,2.7,0.0,0,9,396751000,62235,Wed,7000,0
2004-01-15,-1.3,-6.9,5.0,0.0,0,18,475265000,75829,Thu,7000,0
2004-01-16,0.7,-4.3,5.3,2.4,5,10,697181500,114568,Fri,7000,0
2004-01-17,1.9,-0.1,4.6,4.1,0,10,972025500,153258,Sat,7000,0
2004-01-18,1.2,-0.8,4.1,1.2,0,9,934813500,147951,Sun,7000,0
2004-01-19,0.1,-2.5,3.6,0.2,0,10,525925500,83755,Mon,7000,0
2004-01-20,-1.8,-5.5,2.3,0.7,0,10,621117000,98549,Tue,7000,0
2004-01-21,-9.4,-12.9,-3.6,0.8,0,10,748342500,116753,Wed,7000,1
2004-01-22,-9.6,-13.6,-5.1,0.4,1,10,839071000,129412,Thu,7000,1
2004-01-23,-6.3,-11.5,-0.4,0.1,0,10,1002201500,160313,Fri,7000,1
2004-01-24,-5.6,-11.1,-0.3,0.3,0,10,1018707500,160348,Sat,7000,0
2004-01-25,-5.2,-8.9,-0.7,0.4,0,10,899985500,141873,Sun,7000,0
2004-01-26,-4.0,-9.9,1.7,0.0,0,11,440773000,69662,Mon,7000,0
2004-01-27,-3.1,-8.0,2.3,0.0,0,11,424712500,67432,Tue,7000,0
2004-01-28,-0.7,-6.8,6.0,0.0,0,12,404853000,64106,Wed,7000,0
2004-01-29,1.1,-4.2,7.9,0.0,0,15,379343000,61130,Thu,7000,0
2004-01-30,0.7,-5.0,8.2,0.0,5,14,458991500,76204,Fri,7000,0
2004-01-31,1.1,-5.8,10.2,0.0,0,13,781534000,122722,Sat,7000,0
2004-02-01,2.8,-4.1,11.0,0.0,0,14,775048000,121877,Sun,7000,0
2004-02-02,1.1,-3.1,4.9,0.0,0,14,348863500,55221,Mon,7000,0
2004-02-03,-2.5,-5.7,1.4,0.2,0,15,393559500,62919,Tue,7000,0
2004-02-04,-1.1,-6.5,3.7,1.1,0,15,412493500,65941,Wed,7000,0
2004-02-05,-2.7,-5.7,0.8,0.9,1,13,571219000,92584,Thu,7000,0
2004-02-06,-3.3,-9.0,1.4,1.0,1,14,709107500,116297,Fri,7000,0
2004-02-07,-2.4,-5.5,1.0,0.5,0,14,1053315500,165883,Sat,7000,0
2004-02-08,0.5,-6.6,7.6,0.0,0,14,1053821000,166846,Sun,7000,0
2004-02-09,-1.2,-6.5,5.0,0.0,0,15,581305500,92968,Mon,7000,0
