연도,문화여가지출률(%),가계지출액(원),오락문화비(원),표본수,평일 영화관람률,공휴일 영화관람률,영화관람률
2006,4.16,"2,232,225","92,961",0.0,0.0,0.0,0.0
2007,4.13,"2,320,137","95,828",0.0,0.0,0.0,0.0
2008,4.00,"2,387,917","95,517",0.0,0.0,0.0,0.0
2009,4.04,"2,437,279","98,501",0.0,0.0,0.0,0.0
2010,4.25,"2,597,709","110,427",0.0,0.0,0.0,0.0
2011,4.13,"2,738,529","113,174",0.0,0.0,0.0,0.0
2012,4.20,"2,825,615","118,631",0.0,0.0,0.0,0.0
2013,4.28,"2,846,644","121,720",0.0,0.0,0.0,0.0
2014,4.35,"2,901,814","126,351",0.0,0.0,0.0,0.0
2015,4.44,"2,886,649","128,260",0.0,0.0,0.0,0.0
2016,4.53,"2,857,967","129,494",10602.0,29.5,47.6,77.1
2017,5.27,"3,316,143","174,693",0.0,0.0,0.0,0.0
2018,5.76,"3,326,764","191,772",10498.0,29.7,53.4,83.1
2019,5.41,"3,329,804","180,301",10060.0,29.6,53.6,83.2
2020,4.31,"3,239,681","139,539",10088.0,30.1,46.2,76.3
2021,4.23,"3,374,709","142,607",10049.0,16.5,30.4,46.9
2022,4.70,"3,590,595","168,837",0.0,0.0,0.0,0.0
