강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 서울
기간 : 20031201~20221231

날짜,지점,강수량(mm)
2003-12-01,108,
2003-12-02,108,
2003-12-03,108,
2003-12-04,108,
2003-12-05,108,1
2003-12-06,108,0.5
2003-12-07,108,
2003-12-08,108,0.7
2003-12-09,108,
2003-12-10,108,
2003-12-11,108,
2003-12-12,108,
2003-12-13,108,
2003-12-14,108,
2003-12-15,108,
2003-12-16,108,0.2
2003-12-17,108,3.5
2003-12-18,108,
2003-12-19,108,
2003-12-20,108,
2003-12-21,108,
2003-12-22,108,
2003-12-23,108,
2003-12-24,108,
2003-12-25,108,
2003-12-26,108,
2003-12-27,108,
2003-12-28,108,
2003-12-29,108,1
2003-12-30,108,
2003-12-31,108,0
2004-01-01,108,
2004-01-02,108,3
2004-01-03,108,
2004-01-04,108,
2004-01-05,108,
2004-01-06,108,
2004-01-07,108,
2004-01-08,108,
2004-01-09,108,
2004-01-10,108,
2004-01-11,108,
2004-01-12,108,1.9
2004-01-13,108,0
2004-01-14,108,
2004-01-15,108,
2004-01-16,108,
2004-01-17,108,7.9
2004-01-18,108,4.8
2004-01-19,108,0
2004-01-20,108,2.2
2004-01-21,108,
2004-01-22,108,
2004-01-23,108,
2004-01-24,108,
2004-01-25,108,
2004-01-26,108,
2004-01-27,108,
2004-01-28,108,
2004-01-29,108,
2004-01-30,108,
2004-01-31,108,
2004-02-01,108,
2004-02-02,108,
2004-02-03,108,
2004-02-04,108,0
2004-02-05,108,0
2004-02-06,108,0.4
2004-02-07,108,0
2004-02-08,108,
2004-02-09,108,
2004-02-10,108,
2004-02-11,108,0
2004-02-12,108,
2004-02-13,108,
2004-02-14,108,0.4
2004-02-15,108,
2004-02-16,108,
2004-02-17,108,
2004-02-18,108,
2004-02-19,108,
2004-02-20,108,
2004-02-21,108,46
2004-02-22,108,6.5
2004-02-23,108,
2004-02-24,108,
2004-02-25,108,
2004-02-26,108,0.3
2004-02-27,108,
2004-02-28,108,1
2004-02-29,108,
2004-03-01,108,
2004-03-02,108,
2004-03-03,108,
2004-03-04,108,14.6
2004-03-05,108,0
2004-03-06,108,
2004-03-07,108,
2004-03-08,108,
2004-03-09,108,
2004-03-10,108,
2004-03-11,108,
2004-03-12,108,
2004-03-13,108,
2004-03-14,108,
2004-03-15,108,
2004-03-16,108,1
2004-03-17,108,9
2004-03-18,108,
2004-03-19,108,
2004-03-20,108,
2004-03-21,108,
2004-03-22,108,
2004-03-23,108,
2004-03-24,108,1
2004-03-25,108,
2004-03-26,108,
2004-03-27,108,
2004-03-28,108,
2004-03-29,108,0
2004-03-30,108,2
2004-03-31,108,
2004-04-01,108,10.5
2004-04-02,108,2
2004-04-03,108,0
2004-04-04,108,
2004-04-05,108,
2004-04-06,108,0
2004-04-07,108,0
2004-04-08,108,
2004-04-09,108,
2004-04-10,108,
2004-04-11,108,
2004-04-12,108,
2004-04-13,108,
2004-04-14,108,
2004-04-15,108,
2004-04-16,108,
2004-04-17,108,
2004-04-18,108,2.5
2004-04-19,108,15.5
2004-04-20,108,
2004-04-21,108,
2004-04-22,108,0.1
2004-04-23,108,
2004-04-24,108,
2004-04-25,108,
2004-04-26,108,30.5
2004-04-27,108,13
2004-04-28,108,
2004-04-29,108,
2004-04-30,108,
2004-05-01,108,
2004-05-02,108,1
2004-05-03,108,16.5
2004-05-04,108,0
2004-05-05,108,
2004-05-06,108,
2004-05-07,108,
2004-05-08,108,0
2004-05-09,108,30
2004-05-10,108,10.5
2004-05-11,108,
2004-05-12,108,13.5
2004-05-13,108,1.5
2004-05-14,108,
2004-05-15,108,0.5
2004-05-16,108,
2004-05-17,108,0.5
2004-05-18,108,2
2004-05-19,108,0
2004-05-20,108,17
2004-05-21,108,3
2004-05-22,108,
2004-05-23,108,
2004-05-24,108,
2004-05-25,108,
2004-05-26,108,0
2004-05-27,108,5.5
2004-05-28,108,67
2004-05-29,108,0
2004-05-30,108,
2004-05-31,108,
2004-06-01,108,
2004-06-02,108,
2004-06-03,108,
2004-06-04,108,
2004-06-05,108,
2004-06-06,108,0
2004-06-07,108,0
2004-06-08,108,0
2004-06-09,108,
2004-06-10,108,
2004-06-11,108,
2004-06-12,108,
2004-06-13,108,
2004-06-14,108,
