,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2013-09-11,927,0.274,4373,0.354,885511,0.428,0.422,2496070000,2488861000 ( 34524.4% ),373552,372628 ( 40327.7% ),2571354000,384236,1
1,2013-09-12,1013,0.282,4659,0.371,951067,0.453,0.34,2163104500,-332965500 ( -13.3% ),323209,-50343 ( -13.5% ),4734458500,707445,1
2,2013-09-13,1082,0.289,4966,0.378,1002158,0.459,0.429,3073654500,910550000 ( 42.1% ),429633,106424 ( 32.9% ),7808113000,1137078,1
3,2013-09-14,1190,0.301,5645,0.402,1124830,0.485,0.7,5815874500,2742220000 ( 89.2% ),787183,357550 ( 83.2% ),13623987500,1924261,1
4,2013-09-15,1186,0.302,5469,0.402,1094749,0.487,0.617,4958230500,-857644000 ( -14.7% ),675427,-111756 ( -14.2% ),18582218000,2599688,1
5,2013-09-16,1064,0.295,5037,0.395,1029707,0.485,0.236,1636472500,-3321758000 ( -67.0% ),242648,-432779 ( -64.1% ),20218690500,2842336,1
6,2013-09-17,1119,0.3,5508,0.412,1120056,0.507,0.347,2653740000,1017267500 ( 62.2% ),389164,146516 ( 60.4% ),22872430500,3231500,1
7,2013-09-18,1228,0.294,6068,0.428,1215376,0.52,0.507,4632246500,1978506500 ( 74.6% ),615863,226699 ( 58.3% ),27504677000,3847363,1
8,2013-09-19,1232,0.295,6095,0.43,1218080,0.521,0.662,6161346000,1529099500 ( 33.0% ),806177,190314 ( 30.9% ),33666023000,4653540,1
9,2013-09-20,1240,0.286,6124,0.423,1223100,0.513,0.735,6678015000,516669000 ( 8.4% ),899026,92849 ( 11.5% ),40344038000,5552566,1
10,2013-09-21,1215,0.278,6021,0.416,1209874,0.507,0.657,5877561000,-800454000 ( -12.0% ),795053,-103973 ( -11.6% ),46221599000,6347619,1
11,2013-09-22,1184,0.273,5578,0.402,1123181,0.491,0.469,3877887500,-1999673500 ( -34.0% ),526471,-268582 ( -33.8% ),50099486500,6874090,1
12,2013-09-23,1009,0.284,4820,0.385,984292,0.471,0.152,996813500,-2881074000 ( -74.3% ),149905,-376566 ( -71.5% ),51096300000,7023995,1
13,2013-09-24,1038,0.282,4731,0.381,954045,0.461,0.149,938723500,-58090000 ( -5.8% ),141832,-8073 ( -5.4% ),52035023500,7165827,1
14,2013-09-25,929,0.252,4232,0.337,849199,0.405,0.151,845379000,-93344500 ( -9.9% ),128036,-13796 ( -9.7% ),52880402500,7293863,1
15,2013-09-26,830,0.225,3678,0.282,747053,0.342,0.149,732486500,-112892500 ( -13.4% ),111363,-16673 ( -13.0% ),53612889000,7405226,1
16,2013-09-27,818,0.218,3819,0.28,774024,0.342,0.175,965072000,232585500 ( 31.8% ),135477,24114 ( 21.7% ),54577961000,7540703,1
17,2013-09-28,858,0.208,4034,0.277,821734,0.341,0.309,1906550500,941478500 ( 97.6% ),254253,118776 ( 87.7% ),56484511500,7794956,1
18,2013-09-29,831,0.204,3868,0.275,790739,0.34,0.319,1861629500,-44921000 ( -2.4% ),252051,-2202 ( -0.9% ),58346141000,8047007,1
19,2013-09-30,788,0.217,3603,0.28,722543,0.336,0.119,570448500,-1291181000 ( -69.4% ),86106,-165945 ( -65.8% ),58916589500,8133113,1
20,2013-10-01,801,0.216,3576,0.282,719654,0.339,0.111,532115000,-38333500 ( -6.7% ),79876,-6230 ( -7.2% ),59448704500,8212989,1
