,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2012-07-25,890,0.264,4402,0.363,847704,0.401,0.515,3018752500,2989744500 ( 10306.6% ),436596,432970 ( 11940.7% ),3144987500,452445,1
1,2012-07-26,949,0.281,4553,0.373,887617,0.418,0.462,2855775000,-162977500 ( -5.4% ),410169,-26427 ( -6.1% ),6000762500,862614,1
2,2012-07-27,964,0.28,4849,0.382,942770,0.427,0.524,3605669500,749894500 ( 26.3% ),493558,83389 ( 20.3% ),9606432000,1356172,1
3,2012-07-28,1072,0.299,5369,0.405,1036359,0.449,0.733,5586991000,1981321500 ( 55.0% ),759590,266032 ( 53.9% ),15193423000,2115762,1
4,2012-07-29,1071,0.301,5279,0.408,1017282,0.452,0.738,5543976000,-43015000 ( -0.8% ),750994,-8596 ( -1.1% ),20737399000,2866756,1
5,2012-07-30,1001,0.287,5023,0.401,1001331,0.458,0.491,3456004000,-2087972000 ( -37.7% ),492035,-258959 ( -34.5% ),24193403000,3358791,1
6,2012-07-31,1013,0.286,5007,0.398,999256,0.456,0.5,3478524500,22520500 ( 0.7% ),499297,7262 ( 1.5% ),27671927500,3858088,1
7,2012-08-01,1025,0.281,5041,0.389,1032853,0.458,0.491,3553332500,74808000 ( 2.2% ),506630,7333 ( 1.5% ),31225260000,4364718,1
8,2012-08-02,992,0.269,4987,0.379,1036301,0.453,0.492,3588891500,35559000 ( 1.0% ),509864,3234 ( 0.6% ),34814151500,4874582,1
9,2012-08-03,1020,0.268,5154,0.384,1066042,0.457,0.523,4129366000,540474500 ( 15.1% ),557151,47287 ( 9.3% ),38943517500,5431733,1
10,2012-08-04,1091,0.268,5475,0.398,1121613,0.47,0.687,5740985500,1611619500 ( 39.0% ),770715,213564 ( 38.3% ),44684503000,6202448,1
11,2012-08-05,1090,0.27,5369,0.4,1100648,0.471,0.619,5099267500,-641718000 ( -11.2% ),681369,-89346 ( -11.6% ),49783770500,6883817,1
12,2012-08-06,1041,0.274,5025,0.39,1039249,0.463,0.373,2729707500,-2369560000 ( -46.5% ),387944,-293425 ( -43.1% ),52513478000,7271761,1
13,2012-08-07,1040,0.273,5005,0.389,1035048,0.462,0.314,2267838500,-461869000 ( -16.9% ),324899,-63045 ( -16.3% ),54781316500,7596660,1
14,2012-08-08,747,0.212,3664,0.279,764474,0.332,0.336,1803625500,-464213000 ( -20.5% ),256714,-68185 ( -21.0% ),56584942000,7853374,1
15,2012-08-09,753,0.211,3709,0.281,776012,0.335,0.316,1717669500,-85956000 ( -4.8% ),245469,-11245 ( -4.4% ),58302611500,8098843,1
16,2012-08-10,788,0.215,3800,0.283,790634,0.336,0.348,2032827000,315157500 ( 18.3% ),275092,29623 ( 12.1% ),60335438500,8373935,1
