,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2015-04-23,1731,0.435,8844,0.654,1625956,0.731,0.383,5238813700,5224939700 ( 37659.9% ),622165,621106 ( 58650.2% ),5277228700,625666,1
1,2015-04-24,1767,0.446,9206,0.66,1684239,0.737,0.386,5802155700,563342000 ( 10.8% ),649804,27639 ( 4.4% ),11079384400,1275470,1
2,2015-04-25,1843,0.445,10018,0.682,1813385,0.758,0.637,10122916800,4320761100 ( 74.5% ),1155761,505957 ( 77.9% ),21202301200,2431231,1
3,2015-04-26,1826,0.451,9761,0.683,1766268,0.758,0.574,8833555200,-1289361600 ( -12.7% ),1013207,-142554 ( -12.3% ),30035856400,3444438,1
4,2015-04-27,1695,0.448,8765,0.662,1614836,0.741,0.183,2518290100,-6315265100 ( -71.5% ),295125,-718082 ( -70.9% ),32554146500,3739563,1
5,2015-04-28,1706,0.439,8681,0.654,1598393,0.732,0.162,2185295200,-332994900 ( -13.2% ),258186,-36939 ( -12.5% ),34739441700,3997749,1
6,2015-04-29,1623,0.409,8133,0.596,1508255,0.674,0.213,2370546700,185251500 ( 8.5% ),321740,63554 ( 24.6% ),37109988400,4319489,1
7,2015-04-30,1587,0.406,8200,0.583,1521281,0.661,0.227,2807285400,436738700 ( 18.4% ),344644,22904 ( 7.1% ),39917273800,4664133,1
8,2015-05-01,1634,0.378,8739,0.578,1612221,0.66,0.479,6532486900,3725201500 ( 132.7% ),772772,428128 ( 124.2% ),46449760700,5436905,1
9,2015-05-02,1627,0.362,8743,0.569,1618412,0.652,0.511,7075170700,542683800 ( 8.3% ),826765,53993 ( 7.0% ),53524931400,6263670,1
10,2015-05-03,1613,0.359,8579,0.567,1586728,0.649,0.471,6410312100,-664858600 ( -9.4% ),747935,-78830 ( -9.5% ),59935243500,7011605,1
11,2015-05-04,1602,0.361,8486,0.561,1574162,0.644,0.387,4849160900,-1561151200 ( -24.4% ),608983,-138952 ( -18.6% ),64784404400,7620588,1
12,2015-05-05,1600,0.336,8067,0.535,1495853,0.613,0.476,5973960400,1124799500 ( 23.2% ),712523,103540 ( 17.0% ),70758364800,8333111,1
13,2015-05-06,1526,0.377,7296,0.543,1366488,0.622,0.098,1086960300,-4887000100 ( -81.8% ),133587,-578936 ( -81.3% ),71845325100,8466698,1
14,2015-05-07,1307,0.311,6146,0.442,1193360,0.527,0.089,873807700,-213152600 ( -19.6% ),106327,-27260 ( -20.4% ),72719132800,8573025,1
