,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2005-12-29,207,0.143,1217,0.169,251760,0.189,0.635,958925500,476699500 ( 98.9% ),159832,80774 ( 102.2% ),1446627500,239714,1
1,2005-12-30,223,0.15,1321,0.174,283624,0.202,0.672,1154394000,195468500 ( 20.4% ),190482,30650 ( 19.2% ),2601021500,430196,1
2,2005-12-31,259,0.163,1542,0.19,338764,0.227,0.855,1808482000,654088000 ( 56.7% ),289586,99104 ( 52.0% ),4409503500,719782,1
3,2006-01-01,258,0.17,1450,0.195,322064,0.235,0.893,1827901800,19419800 ( 1.1% ),287755,-1831 ( -0.6% ),6237405300,1007537,1
4,2006-01-02,235,0.164,1368,0.193,311731,0.238,0.577,1115383800,-712518000 ( -39.0% ),179921,-107834 ( -37.5% ),7352789100,1187458,1
5,2006-01-03,240,0.166,1381,0.196,315798,0.242,0.533,1039432600,-75951200 ( -6.8% ),168268,-11653 ( -6.5% ),8392221700,1355726,1
6,2006-01-04,236,0.164,1394,0.199,323662,0.251,0.493,980763200,-58669400 ( -5.6% ),159539,-8729 ( -5.2% ),9372984900,1515265,1
7,2006-01-05,249,0.175,1479,0.202,345112,0.255,0.484,1028675000,47911800 ( 4.9% ),166954,7415 ( 4.6% ),10401659900,1682219,1
8,2006-01-06,265,0.184,1605,0.209,373655,0.263,0.524,1219780000,191105000 ( 18.6% ),195957,29003 ( 17.4% ),11621439900,1878176,1
9,2006-01-07,303,0.198,1769,0.222,417242,0.284,0.791,2091052000,871272000 ( 71.4% ),330206,134249 ( 68.5% ),13712491900,2208382,1
10,2006-01-08,293,0.194,1685,0.223,395934,0.285,0.784,1978748500,-112303500 ( -5.4% ),310347,-19859 ( -6.0% ),15691240400,2518729,1
11,2006-01-09,270,0.186,1578,0.218,378181,0.282,0.45,1064643000,-914105500 ( -46.2% ),170152,-140195 ( -45.2% ),16755883400,2688881,1
12,2006-01-10,273,0.189,1574,0.218,378622,0.284,0.454,1073217000,8574000 ( 0.8% ),171707,1555 ( 0.9% ),17829100400,2860588,1
13,2006-01-11,274,0.19,1581,0.22,376889,0.284,0.453,1067077500,-6139500 ( -0.6% ),170866,-841 ( -0.5% ),18896177900,3031454,1
14,2006-01-12,271,0.19,1625,0.227,381080,0.287,0.431,1014911000,-52166500 ( -4.9% ),164120,-6746 ( -3.9% ),19911088900,3195574,1
15,2006-01-13,276,0.191,1711,0.228,404117,0.291,0.496,1262577500,247666500 ( 24.4% ),200614,36494 ( 22.2% ),21173666400,3396188,1
16,2006-01-14,311,0.205,1901,0.242,448466,0.31,0.807,2293554000,1030976500 ( 81.7% ),361914,161300 ( 80.4% ),23467220400,3758102,1
17,2006-01-15,313,0.209,1818,0.244,427352,0.312,0.806,2196202500,-97351500 ( -4.2% ),344518,-17396 ( -4.8% ),25663422900,4102620,1
18,2006-01-16,284,0.195,1695,0.233,408623,0.304,0.433,1103721500,-1092481000 ( -49.7% ),176853,-167665 ( -48.7% ),26767144400,4279473,1
19,2006-01-17,289,0.198,1706,0.235,411310,0.307,0.422,1081954500,-21767000 ( -2.0% ),173754,-3099 ( -1.8% ),27849098900,4453227,1
20,2006-01-18,291,0.193,1714,0.237,410905,0.307,0.402,1029555500,-52399000 ( -4.8% ),165122,-8632 ( -5.0% ),28878654400,4618349,1
21,2006-01-19,270,0.179,1608,0.217,350720,0.256,0.424,921396000,-108159500 ( -10.5% ),148750,-16372 ( -9.9% ),29800050400,4767099,2
22,2006-01-20,281,0.181,1727,0.221,372074,0.257,0.462,1081039000,159643000 ( 17.3% ),172070,23320 ( 15.7% ),30881089400,4939169,2
23,2006-01-21,312,0.189,1875,0.229,392058,0.258,0.747,1860928000,779889000 ( 72.1% ),292740,120670 ( 70.1% ),32742017400,5231909,2
24,2006-01-22,302,0.185,1754,0.227,366613,0.257,0.758,1774354500,-86573500 ( -4.7% ),277999,-14741 ( -5.0% ),34516371900,5509908,2
25,2006-01-23,279,0.183,1668,0.225,351563,0.256,0.38,834680000,-939674500 ( -53.0% ),133700,-144299 ( -51.9% ),35351051900,5643608,2
26,2006-01-24,275,0.179,1646,0.223,343624,0.252,0.379,808457500,-26222500 ( -3.1% ),130131,-3569 ( -2.7% ),36159509400,5773739,2
27,2006-01-25,273,0.18,1651,0.224,342104,0.251,0.348,734225500,-74232000 ( -9.2% ),118945,-11186 ( -8.6% ),36893734900,5892684,2
28,2006-01-26,266,0.173,1570,0.195,330504,0.225,0.363,737287500,3062000 ( 0.4% ),119980,1035 ( 0.9% ),37631022400,6012664,2
29,2006-01-27,278,0.179,1711,0.197,361585,0.228,0.495,1132884000,395596500 ( 53.7% ),179117,59137 ( 49.3% ),38763906400,6191781,2
30,2006-01-28,300,0.185,1838,0.208,384019,0.237,0.624,1541099500,408215500 ( 36.0% ),239688,60571 ( 33.8% ),40305005900,6431469,2
31,2006-01-29,308,0.189,1863,0.212,388358,0.241,0.71,1796628500,255529000 ( 16.6% ),275748,36060 ( 15.0% ),42101634400,6707217,2
