,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2013-11-26,1,0.0,1,0.0,326,0.0,1.0,1630000,1630000 ( 100.0% ),326,326 ( 100.0% ),1630000,326,25
1,2013-11-29,4,0.001,4,0.0,1060,0.0,1.0,8480000,8480000 ( 100.0% ),1060,1060 ( 100.0% ),10110000,1386,17
2,2013-11-30,3,0.001,4,0.0,1000,0.0,0.773,5071000,-3409000 ( -40.2% ),773,-287 ( -27.1% ),15181000,2159,22
3,2013-12-01,8,0.002,8,0.001,1778,0.001,1.0,13877000,8806000 ( 173.7% ),1778,1005 ( 130.0% ),29058000,3937,16
4,2013-12-03,2,0.001,2,0.0,591,0.0,1.0,4137000,4137000 ( 100.0% ),591,591 ( 100.0% ),33195000,4528,21
5,2013-12-05,1,0.0,1,0.0,144,0.0,0.986,852000,852000 ( 100.0% ),142,142 ( 100.0% ),34047000,4670,54
6,2013-12-07,6,0.001,6,0.0,1492,0.001,0.978,8951000,8951000 ( 100.0% ),1459,1459 ( 100.0% ),42998000,6129,19
7,2013-12-08,3,0.001,4,0.0,769,0.0,0.889,4847000,-4104000 ( -45.8% ),684,-775 ( -53.1% ),47845000,6813,23
8,2013-12-09,12,0.003,12,0.001,2580,0.001,0.986,17404000,12557000 ( 259.1% ),2544,1860 ( 271.9% ),65249000,9357,13
9,2013-12-10,16,0.004,16,0.001,3551,0.002,1.0,23271000,5867000 ( 33.7% ),3551,1007 ( 39.6% ),88520000,12908,12
10,2013-12-11,16,0.004,16,0.001,4136,0.002,0.999,31238000,7967000 ( 34.2% ),4132,581 ( 16.4% ),119758000,17040,10
11,2013-12-12,6,0.002,6,0.0,1194,0.001,0.97,7348000,-23890000 ( -76.5% ),1158,-2974 ( -72.0% ),127106000,18198,16
12,2013-12-16,6,0.002,6,0.001,1249,0.001,1.0,7964000,7964000 ( 100.0% ),1249,1249 ( 100.0% ),135070000,19447,15
13,2013-12-17,3,0.001,3,0.0,750,0.0,0.661,2980000,-4984000 ( -62.6% ),496,-753 ( -60.3% ),138050000,19943,23
