,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2009-07-22,537,0.206,3116,0.275,679117,0.333,0.251,1208362000,1193882000 ( 8245.0% ),170700,168386 ( 7276.8% ),1307090000,185599,1
1,2009-07-23,580,0.228,3238,0.286,714154,0.351,0.375,1869390500,661028500 ( 54.7% ),267500,96800 ( 56.7% ),3176480500,453099,1
2,2009-07-24,619,0.237,3479,0.294,766112,0.362,0.406,2257056500,387666000 ( 20.7% ),310756,43256 ( 16.2% ),5433537000,763855,1
3,2009-07-25,727,0.258,4048,0.325,870966,0.392,0.704,4397179000,2140122500 ( 94.8% ),612950,302194 ( 97.2% ),9830716000,1376805,1
4,2009-07-26,754,0.266,4008,0.333,861506,0.401,0.718,4451706500,54527500 ( 1.2% ),618333,5383 ( 0.9% ),14282422500,1995138,1
5,2009-07-27,625,0.236,3460,0.306,770976,0.38,0.371,2022682500,-2429024000 ( -54.6% ),285834,-332499 ( -53.8% ),16305105000,2280972,1
6,2009-07-28,637,0.239,3482,0.308,777983,0.383,0.375,2053435500,30753000 ( 1.5% ),291481,5647 ( 2.0% ),18358540500,2572453,1
7,2009-07-29,615,0.222,3354,0.276,735569,0.339,0.418,2153836000,100400500 ( 4.9% ),307646,16165 ( 5.5% ),20512376500,2880099,1
8,2009-07-30,623,0.22,3419,0.277,756942,0.344,0.433,2276734500,122898500 ( 5.7% ),327569,19923 ( 6.5% ),22789111000,3207668,1
9,2009-07-31,666,0.228,3624,0.287,798131,0.354,0.483,2754067000,477332500 ( 21.0% ),385564,57995 ( 17.7% ),25543178000,3593232,1
10,2009-08-01,764,0.244,4197,0.317,920834,0.389,0.681,4545750500,1791683500 ( 65.1% ),627454,241890 ( 62.7% ),30088928500,4220686,1
