천만영화,영화수1,비천만영화,영화수2,천만영화관객,비천만영화관객
35231838,2,39793544,2,17615919.0,19896772.0
195196056,12,368888078,19,16266338.0,19415162.0
43243974,3,113123520,6,14414658.0,18853920.0
85586868,6,18707598,1,14264478.0,18707598.0
195686428,14,164444508,9,13977602.0,18271612.0
96254676,7,144026864,8,13750668.0,18003358.0
26828968,2,0,0,13414484.0,0.0
93372041,7,155991744,9,13338863.0,17332416.0
25969402,2,17321602,1,12984701.0,17321602.0
38436432,3,0,0,12812144.0,0.0
25595854,2,0,0,12797927.0,0.0
25413894,2,16391484,1,12706947.0,16391484.0
12693415,1,0,0,12693415.0,0.0
