,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2016-09-07,1221,0.245,5479,0.376,1082680,0.449,0.265,2131489500,2085876600,287228,282771,2296654900,305761,1
1,2016-09-08,1246,0.248,5635,0.381,1111078,0.454,0.235,1947281450,-184208050,260642,-26586,4243936350,566403,1
2,2016-09-09,1333,0.254,6100,0.394,1193748,0.47,0.283,2743951138,796669688,337358,76716,6987887488,903761,1
3,2016-09-10,1444,0.252,6967,0.417,1349708,0.496,0.49,5593638839,2849687701,661311,323953,12581526327,1565072,1
4,2016-09-11,1435,0.251,6783,0.417,1312526,0.496,0.464,5134317100,-459321739,609044,-52267,17715843427,2174116,1
5,2016-09-12,1320,0.256,6005,0.414,1181523,0.496,0.165,1443382400,-3690934700,194553,-414491,19159225827,2368669,1
6,2016-09-13,1264,0.216,6123,0.389,1210592,0.471,0.255,2325566700,882184300,309009,114456,21484792527,2677678,1
7,2016-09-14,1300,0.22,6435,0.376,1278847,0.459,0.429,4683667200,2358100500,548388,239379,26168459727,3226066,1
8,2016-09-15,1342,0.226,6569,0.386,1300738,0.47,0.585,6540636060,1856968860,760862,212474,32709095787,3986928,1
9,2016-09-16,1365,0.221,6698,0.385,1321423,0.468,0.651,7207961571,667325511,860728,99866,39917057358,4847656,1
10,2016-09-17,1368,0.222,6737,0.388,1326295,0.47,0.556,6187830613,-1020130958,737834,-122894,46104887971,5585490,1
11,2016-09-18,1336,0.224,6337,0.384,1257318,0.468,0.369,3877793400,-2310037213,464352,-273482,49982681371,6049842,1
12,2016-09-19,1142,0.248,5298,0.372,1028216,0.436,0.113,852774100,-3025019300,116606,-347746,50835455471,6166448,1
13,2016-09-20,1162,0.249,5291,0.372,1023166,0.434,0.094,704666700,-148107400,96608,-19998,51540122171,6263056,1
14,2016-09-21,1100,0.243,4976,0.354,948244,0.406,0.094,644758500,-59908200,88955,-7653,52184880671,6352011,1
15,2016-09-22,1026,0.21,4582,0.316,881478,0.367,0.096,611702900,-33055600,84219,-4736,52796583571,6436230,1
16,2016-09-23,1052,0.208,4764,0.317,920263,0.371,0.115,854569268,242866368,105609,21390,53651152839,6541839,1
17,2016-09-24,1104,0.172,4801,0.294,957840,0.36,0.201,1641072454,786503186,192760,87151,55292225293,6734599,1
18,2016-09-25,1058,0.167,4609,0.291,926039,0.357,0.183,1441655900,-199416554,169406,-23354,56733881193,6904005,1
19,2016-09-26,1024,0.216,4490,0.324,855940,0.372,0.073,455227500,-986428400,62617,-106789,57189108693,6966622,1
20,2016-09-27,1059,0.217,4538,0.327,862754,0.375,0.079,486287200,31059700,68006,5389,57675395893,7034628,1
21,2016-09-28,519,0.109,1480,0.098,209340,0.084,0.204,247495500,-238791700,42739,-25267,57922891393,7077367,3
22,2016-09-29,512,0.107,1491,0.096,204395,0.08,0.165,233160680,-14334820,33756,-8983,58156052073,7111123,4
23,2016-09-30,522,0.106,1490,0.093,205953,0.079,0.217,340380668,107219988,44666,10910,58496432741,7155789,4
24,2016-10-01,467,0.083,1350,0.08,182261,0.066,0.329,501618990,161238322,59886,15220,58998051731,7215675,5
25,2016-10-02,480,0.084,1352,0.08,183369,0.066,0.419,648711900,147092910,76761,16875,59646763631,7292436,5
26,2016-10-03,488,0.086,1314,0.08,176530,0.066,0.377,547643800,-101068100,66543,-10218,60194407431,7358979,5
27,2016-10-04,439,0.094,1375,0.091,182774,0.073,0.095,123019700,-424624100,17355,-49188,60317427131,7376334,5
28,2016-10-05,416,0.09,1151,0.074,146829,0.057,0.097,102656300,-20363400,14219,-3136,60420083431,7390553,6
29,2016-10-06,373,0.074,929,0.059,120859,0.047,0.098,85113900,-17542400,11838,-2381,60505197331,7402391,6
30,2016-10-07,386,0.074,928,0.058,120075,0.045,0.125,120300800,35186900,15059,3221,60625498131,7417450,6
31,2016-10-08,372,0.061,843,0.049,108437,0.039,0.213,194811100,74510300,23130,8071,60820309231,7440580,7
32,2016-10-09,367,0.061,792,0.048,101597,0.037,0.18,153452200,-41358900,18244,-4886,60973761431,7458824,7
33,2016-10-10,365,0.076,870,0.058,111935,0.045,0.076,61560100,-91892100,8488,-9756,61035321531,7467312,6
34,2016-10-11,364,0.075,851,0.057,110194,0.044,0.07,55672500,-5887600,7743,-745,61090994031,7475055,7
35,2016-10-12,358,0.073,843,0.056,108803,0.043,0.073,47953500,-7719000,7984,241,61138947531,7483039,7
36,2016-10-13,168,0.034,268,0.017,33038,0.013,0.067,15714500,-32239000,2214,-5770,61154662031,7485253,12
37,2016-10-14,166,0.032,263,0.016,32637,0.012,0.08,20266000,4551500,2597,383,61174928031,7487850,11
38,2016-10-15,165,0.029,242,0.014,28435,0.01,0.113,26785400,6519400,3214,617,61201713431,7491064,14
39,2016-10-16,157,0.028,235,0.014,27765,0.01,0.117,27666000,880600,3243,29,61229379431,7494307,14
40,2016-10-17,161,0.033,244,0.016,29537,0.011,0.048,9900000,-17766000,1406,-1837,61239279431,7495713,12
41,2016-10-18,165,0.033,235,0.015,28601,0.011,0.047,9528600,-371400,1353,-53,61248808031,7497066,12
42,2016-10-19,51,0.01,70,0.005,8338,0.003,0.055,3148500,-6380100,462,-891,61251956531,7497528,24
