영화,개봉일,누적관객수
명량,2014-07-30,17615919
극한직업,2019-01-23,16266338
신과함께-죄와 벌,2017-12-20,14414658
국제시장,2014-12-17,14264478
어벤져스: 엔드게임,2019-04-24,13977602
겨울왕국 2,2019-11-21,13750668
베테랑,2015-08-05,13414484
아바타,2009-12-17,13338863
도둑들,2012-07-25,12984701
7번방의 선물,2013-01-23,12812144
알라딘,2019-05-23,12797927
암살,2015-07-22,12706947
범죄도시2,2022-05-18,12693415
"광해, 왕이 된 남자",2012-09-13,12324062
신과함께-인과 연,2018-08-01,12278010
택시운전사,2017-08-02,12189706
태극기 휘날리며,2004-02-05,11746135
부산행,2016-07-20,11567815
변호인,2013-12-18,11375399
해운대,2009-07-22,11325117
어벤져스: 인피니티 워,2018-04-25,11233176
실미도,2003-12-24,11081000
괴물,2006-07-27,10917400
아바타: 물의 길,2022-12-14,10802350
왕의 남자,2005-12-29,10514177
어벤져스: 에이지 오브 울트론,2015-04-23,10504487
인터스텔라,2014-11-06,10342523
기생충,2019-05-30,10313519
겨울왕국,2014-01-16,10305051
보헤미안 랩소디,2018-10-31,9948386
검사외전,2016-02-03,9707581
엑시트,2019-07-31,9426960
설국열차,2013-08-01,9353799
관상,2013-09-11,9135806
아이언맨 3,2013-04-25,9001679
캡틴 아메리카: 시빌 워,2016-04-27,8678761
해적: 바다로 간 산적,2014-08-06,8666208
수상한 그녀,2014-01-22,8660801
백두산,2019-12-19,8253427
과속스캔들,2008-12-03,8223342
탑건: 매버릭,2022-06-22,8195742
국가대표,2009-07-29,8035181
스파이더맨: 파 프롬 홈,2019-07-02,8023606
디워,2007-08-01,7855474
공조,2017-01-18,7817686
트랜스포머 3,2011-06-29,7785189
히말라야,2015-12-16,7759761
스파이더맨: 노 웨이 홈,2021-12-15,7551990
미션임파서블:고스트프로토콜,2011-12-15,7508976
밀정,2016-09-07,7500457
최종병기 활,2011-08-10,7470633
트랜스포머,2007-06-28,7402732
트랜스포머: 패자의 역습,2009-06-24,7393443
써니,2011-05-04,7363142
한산: 용의 출현,2022-07-27,7264934
스파이더맨: 홈 커밍,2017-07-05,7258678
1987,2017-12-27,7232452
베를린,2013-01-30,7166688
마스터,2016-12-21,7150586
터널,2016-08-10,7120780
어벤져스,2012-04-26,7087971
내부자들,2015-11-19,7073581
인천상륙작전,2016-07-27,7051237
공조2: 인터내셔날,2022-09-07,6982940
럭키,2016-10-13,6975631
은밀하게 위대하게,2013-06-05,6959083
범죄도시,2017-10-03,6880546
곡성,2016-05-12,6879989
화려한 휴가,2007-07-25,6855433
"좋은 놈, 나쁜 놈, 이상한 놈",2008-07-17,6686075
늑대소년,2012-10-31,6655501
군함도,2017-07-26,6592151
미션 임파서블: 폴아웃,2018-07-25,6584915
웰컴 투 동막골,2005-08-04,6436900
다크 나이트 라이즈,2012-07-19,6428574
사도,2015-09-16,6247745
아저씨,2010-08-04,6179525
킹스맨 : 시크릿 에이전트,2015-02-11,6129681
미션 임파서블: 로그네이션,2015-07-30,6126488
미녀는 괴로워,2006-12-14,6081480
전우치,2009-12-23,6065474
연평해전,2015-06-24,6045393
인셉션,2010-07-21,5998647
레미제라블,2012-12-19,5939011
닥터 스트레인지: 대혼돈의 멀티버스,2022-05-04,5884587
캡틴 마블,2019-03-06,5802810
타짜,2006-09-28,5692997
쥬라기 월드: 폴른 킹덤,2018-06-06,5661128
청년경찰,2017-08-09,5653444
숨바꼭질,2013-08-14,5604106
덕혜옹주,2016-08-03,5599995
더 테러 라이브,2013-07-31,5584295
쥬라기 월드,2015-06-11,5547463
감시자들,2013-07-03,5509019
앤트맨과 와스프,2018-07-04,5448357
닥터 스트레인지,2016-10-26,5447269
검은 사제들,2015-11-05,5443232
안시성,2018-09-19,5441020
의형제,2010-02-04,5416923
블랙 팬서,2018-02-14,5400241
2012,2009-11-12,5397597
